"sponsor","data_name","klarner_name","klarner_id","term","chamber","LES","LES_rank","BILL_wshare","AIC_wshare","ABC_wshare","PASS_wshare","LAW_wshare","all_bills","all_aic","all_abc","all_pass","all_law","ss_bills","ss_aic","ss_abc","ss_pass","ss_law","s_bills","s_aic","s_abc","s_pass","s_law","c_bills","c_aic","c_abc","c_pass","c_law","LES_nw","num_sponsored_bills","sponsor_pass_rate","sponsor_law_rate","num_cosponsored_bills"
"hamner, millie","hamner m.","hamner, millie",309440,"2015_2016","House",3.9071893820735,1,0.0448475184373131,0.0448475184373131,0.0584950810954533,0.0592123381988433,0.0798908807482463,43,43,42,41,39,2,2,2,2,2,41,41,40,39,37,0,0,0,0,0,4.33361639288852,43,0.953488372093023,0.906976744186046,NA
"becker, k. c.","becker k.","becker, k. c.",322574,"2015_2016","House",2.53900646753839,2,0.0368746262706797,0.0368746262706797,0.0398830098378091,0.0399339025061966,0.0331254871395168,32,32,26,25,16,5,5,4,4,1,27,27,22,21,15,0,0,0,0,0,2.59897018076343,32,0.78125,0.5,NA
"singer, jonathan","singer j.","singer, jonathan",309304,"2015_2016","House",2.11413857056571,3,0.0289017341040462,0.0289017341040462,0.0345652751927679,0.0358028091434866,0.0272798129384256,23,23,20,20,12,6,6,6,6,2,17,17,14,14,10,0,0,0,0,0,1.95576612642074,23,0.869565217391304,0.521739130434783,NA
"young, dave","young d.","young, dave",309409,"2015_2016","House",2.08267364137585,4,0.0249152880207295,0.0249152880207295,0.0332358415315076,0.03304874690168,0.0370226032735776,24,24,24,23,18,1,1,1,1,1,23,23,23,22,17,0,0,0,0,0,2.31961117241156,24,0.958333333333333,0.75,NA
"melton, jovan","melton j.","melton, jovan",309390,"2015_2016","House",2.03859540728731,5,0.0298983456248754,0.0298983456248754,0.030576974208987,0.0302946846598733,0.029228371005456,26,26,20,19,13,4,4,3,3,2,22,22,17,16,11,0,0,0,0,0,2.05879858550208,26,0.730769230769231,0.5,NA
"krafttharp, tracy","kraft-tharp t.","krafttharp, tracy",309358,"2015_2016","House",1.89873902642744,6,0.0209288419374128,0.0209288419374128,0.0279181068864664,0.02891765353897,0.0409197194076383,17,17,17,17,17,4,4,4,4,4,13,13,13,13,13,0,0,0,0,0,1.78680547703944,17,1,1,NA
"pabon, dan","pabon d.","pabon, dan",295923,"2015_2016","House",1.85782822749865,7,0.0249152880207295,0.0249152880207295,0.030576974208987,0.02891765353897,0.0272798129384256,20,20,19,18,12,5,5,4,3,2,15,15,15,15,10,0,0,0,0,0,1.79555284608663,20,0.9,0.6,NA
"mccann, beth","mccann e.","mccann, beth",283563,"2015_2016","House",1.74095157546764,8,0.0229220649790712,0.0229220649790712,0.0279181068864664,0.02891765353897,0.0253312548713952,19,19,17,17,11,4,4,4,4,2,15,15,13,13,9,0,0,0,0,0,1.66913002713484,19,0.894736842105263,0.578947368421053,NA
"primavera, dianne","primavera d.","primavera, dianne",260097,"2015_2016","House",1.6396204563713,9,0.0209288419374128,0.0209288419374128,0.0252592395639458,0.0261635912971633,0.0272798129384256,18,18,16,16,11,3,3,3,3,3,15,15,13,13,8,0,0,0,0,0,1.59417903324612,18,0.888888888888889,0.611111111111111,NA
"ginal, joann","ginal j.","ginal, joann",309414,"2015_2016","House",1.62150027678195,10,0.021925453458242,0.021925453458242,0.0252592395639458,0.02478656017626,0.0253312548713952,18,18,16,15,11,4,4,3,3,2,14,14,13,12,9,0,0,0,0,0,1.57217256075421,18,0.833333333333333,0.611111111111111,NA
