"sponsor","data_name","legiscan_id","term","chamber","district","party","LES","LES_rank","BILL_wshare","AIC_wshare","ABC_wshare","PASS_wshare","LAW_wshare","all_bills","all_aic","all_abc","all_pass","all_law","ss_bills","ss_aic","ss_abc","ss_pass","ss_law","s_bills","s_aic","s_abc","s_pass","s_law","c_bills","c_aic","c_abc","c_pass","c_law","LES_nw","num_sponsored_bills","sponsor_pass_rate","sponsor_law_rate","num_cosponsored_bills"
"Shannon Bird","s. bird",20127,"2023_2024","House","HD-029","D",9.61487877034163,1,0.123807360290777,0.123807360290777,0.144988738738739,0.147058823529412,0.157068062827225,106,106,100,100,99,3,3,3,3,3,103,103,97,97,96,0,0,0,0,0,10.437462710792,106,0.943396226415094,0.933962264150943,NA
"Judith Amabile","j. amabile",22219,"2023_2024","House","HD-049","D",3.63673719695652,2,0.046569741026806,0.046569741026806,0.0563063063063063,0.0571102227298686,0.0569756698490915,36,36,35,35,32,5,5,5,5,5,31,31,30,30,27,0,0,0,0,0,3.55178239938379,36,0.972222222222222,0.888888888888889,NA
"Jennifer Bacon","j. bacon",22220,"2023_2024","House","HD-007","D",2.37815096452522,3,0.0352112676056338,0.0352112676056338,0.0351914414414414,0.0328383780696745,0.033877425315676,25,25,19,18,17,6,6,6,5,5,19,19,13,13,12,0,0,0,0,0,2.085276264752,25,0.72,0.68,NA
"Lorena Garcia","l. garcia",24385,"2023_2024","House","HD-035","D",2.07189350665694,4,0.0306678782371649,0.0306678782371649,0.0295608108108108,0.029982866933181,0.0292577764089929,23,23,17,17,15,4,4,4,4,4,19,19,13,13,11,0,0,0,0,0,1.90241089653655,23,0.739130434782609,0.652173913043478,NA
"Monica Duran","m. duran",20148,"2023_2024","House","HD-023","D",2.02475336512216,5,0.026124488868696,0.026124488868696,0.0323761261261261,0.0328383780696745,0.0292577764089929,18,18,18,18,16,5,5,5,5,3,13,13,13,13,13,0,0,0,0,0,1.79795469175539,18,1,0.888888888888889,NA
"Junie Joseph","j. joseph",23956,"2023_2024","House","HD-010","D",1.98899673002869,6,0.026124488868696,0.026124488868696,0.0295608108108108,0.029982866933181,0.0323375423467816,21,21,19,19,19,2,2,2,2,2,19,19,17,17,17,0,0,0,0,0,2.01733210915793,21,0.904761904761905,0.904761904761905,NA
"Andrew Boesenecker","a. boesenecker",22921,"2023_2024","House","HD-053","D",1.91409419181741,7,0.0272603362108133,0.0272603362108133,0.0295608108108108,0.029982866933181,0.0246381275023098,20,20,17,17,13,4,4,4,4,3,16,16,13,13,10,0,0,0,0,0,1.75107727435284,20,0.85,0.65,NA
"Lindsey Daugherty","l. daugherty",22223,"2023_2024","House","HD-024","D",1.81331909764241,8,0.0227169468423444,0.0227169468423444,0.0281531531531532,0.0285551113649343,0.0292577764089929,15,15,15,15,14,5,5,5,5,5,10,10,10,10,9,0,0,0,0,0,1.51424011719072,15,1,0.933333333333333,NA
"Emily Sirota","e. sirota",20024,"2023_2024","House","HD-009","D",1.65111253435184,9,0.02044525215811,0.02044525215811,0.0253378378378378,0.0256996002284409,0.0277178934400986,18,18,18,18,18,0,0,0,0,0,18,18,18,18,18,0,0,0,0,0,1.84578831393909,18,1,1,NA
"Marc Snyder","m. snyder",20138,"2023_2024","House","HD-018","D",1.61247880833594,10,0.0227169468423444,0.0227169468423444,0.0239301801801802,0.0228440890919475,0.0246381275023098,17,17,14,13,13,3,3,3,3,3,14,14,11,10,10,0,0,0,0,0,1.49297409974966,17,0.764705882352941,0.764705882352941,NA
"Meghan Lukens","m. lukens",23960,"2023_2024","House","HD-026","D",1.59073344686362,11,0.02044525215811,0.02044525215811,0.0239301801801802,0.0242718446601942,0.0261780104712042,15,15,14,14,14,3,3,3,3,3,12,12,11,11,11,0,0,0,0,0,1.47011313306374,15,0.933333333333333,0.933333333333333,NA
"Ryan Armagost","r. armagost",23965,"2023_2024","House","HD-064","R",1.56170374601783,12,0.0215810995002272,0.0215810995002272,0.0225225225225225,0.0228440890919475,0.0246381275023098,17,17,14,14,14,2,2,2,2,2,15,15,12,12,12,0,0,0,0,0,1.53911313306374,17,0.823529411764706,0.823529411764706,NA
"Kyle Brown","k. brown",24873,"2023_2024","House","HD-012","D",1.54045336104709,13,0.0215810995002272,0.0215810995002272,0.0225225225225225,0.0228440890919475,0.0230982445334155,17,17,14,14,13,2,2,2,2,2,15,15,12,12,11,0,0,0,0,0,1.51519632197189,17,0.823529411764706,0.764705882352941,NA
"Marc Catlin","m. catlin",19200,"2023_2024","House","HD-058","R",1.37824679775652,14,0.0193094048159927,0.0193094048159927,0.0197072072072072,0.019988577955454,0.0215583615645211,15,15,12,12,12,2,2,2,2,2,13,13,10,10,10,0,0,0,0,0,1.33402554262606,15,0.8,0.8,NA
"Javier Mabrey","j. mabrey",23954,"2023_2024","House","HD-001","D",1.35362434536177,15,0.0193094048159927,0.0193094048159927,0.0211148648648649,0.0214163335237007,0.016938712657838,16,16,14,14,10,1,1,1,1,1,15,15,13,13,9,0,0,0,0,0,1.40894588869632,16,0.875,0.625,NA
"Cathy Kipp","c. kipp",20159,"2023_2024","House","HD-052","D",1.32382231684827,16,0.0181735574738755,0.0181735574738755,0.0211148648648649,0.019988577955454,0.0184785956267324,15,15,14,13,11,1,1,1,1,1,14,14,13,12,10,0,0,0,0,0,1.37614047756595,15,0.866666666666667,0.733333333333333,NA
"Lisa Frizell","l. frizell",23958,"2023_2024","House","HD-045","R",1.31786771026829,17,0.0193094048159927,0.0193094048159927,0.0182995495495495,0.0185608223872073,0.0200184785956267,16,16,12,12,12,1,1,1,1,1,15,15,11,11,11,0,0,0,0,0,1.36852554262606,16,0.75,0.75,NA
"Iman Jodeh","i. jodeh",22225,"2023_2024","House","HD-041","D",1.2909255720769,18,0.0170377101317583,0.0170377101317583,0.0211148648648649,0.0214163335237007,0.016938712657838,10,10,10,10,8,5,5,5,5,3,5,5,5,5,5,0,0,0,0,0,0.977604330004677,10,1,0.8,NA
"Matthew Martinez","m. martinez",23959,"2023_2024","House","HD-062","D",1.25516893698342,19,0.0170377101317583,0.0170377101317583,0.0182995495495495,0.0185608223872073,0.0200184785956267,14,14,12,12,12,1,1,1,1,1,13,13,11,11,11,0,0,0,0,0,1.29952554262606,14,0.857142857142857,0.857142857142857,NA
"William Lindstedt","w. lindstedt",23969,"2023_2024","House","HD-033","D",1.19247016369855,20,0.0147660154475239,0.0147660154475239,0.0182995495495495,0.0185608223872073,0.0200184785956267,12,12,12,12,12,1,1,1,1,1,11,11,11,11,11,0,0,0,0,0,1.23052554262606,12,1,1,NA
"Matt Soper","m. soper",20139,"2023_2024","House","HD-054","R",1.13441076200698,21,0.0170377101317583,0.0170377101317583,0.0154842342342342,0.0157053112507139,0.016938712657838,15,15,11,11,11,0,0,0,0,0,15,15,11,11,11,0,0,0,0,0,1.26598174740722,15,0.733333333333333,0.733333333333333,NA
"Mandy Lindsay","m. lindsay",23046,"2023_2024","House","HD-042","D",1.13209107621033,22,0.0147660154475239,0.0147660154475239,0.0168918918918919,0.0171330668189606,0.0184785956267324,11,11,10,10,10,2,2,2,2,2,9,9,8,8,8,0,0,0,0,0,1.05993795218839,11,0.909090909090909,0.909090909090909,NA
"Mary Bradfield","m. bradfield",22222,"2023_2024","House","HD-021","R",1.11084069123959,23,0.0147660154475239,0.0147660154475239,0.0168918918918919,0.0171330668189606,0.016938712657838,12,12,11,11,10,1,1,1,1,1,11,11,10,10,9,0,0,0,0,0,1.13856493631537,12,0.916666666666667,0.833333333333333,NA
"Elisabeth Epps","e. epps",23951,"2023_2024","House","HD-006","D",1.10978830961223,24,0.0170377101317583,0.0170377101317583,0.0168918918918919,0.0171330668189606,0.0123190637511549,14,14,11,11,7,1,1,1,1,1,13,13,10,10,6,0,0,0,0,0,1.13581450303981,14,0.785714285714286,0.5,NA
"Leslie Herod","l. herod",18721,"2023_2024","House","HD-008","D",1.10074168956789,25,0.0136301681054066,0.0136301681054066,0.0168918918918919,0.0171330668189606,0.0184785956267324,10,10,10,10,10,2,2,2,2,2,8,8,8,8,8,0,0,0,0,0,1.02543795218839,10,1,1,NA
"Brandi Bradley","b. bradley",23950,"2023_2024","House","HD-039","R",0.94212211624326,26,0.0181735574738755,0.0181735574738755,0.0112612612612613,0.0114220445459737,0.00923929781336618,15,15,7,7,5,1,1,1,1,1,14,14,6,6,4,0,0,0,0,0,0.945972944348161,15,0.466666666666667,0.333333333333333,NA
"Meg Froelich","m. froelich",20739,"2023_2024","House","HD-003","D",0.857400630319937,27,0.0136301681054066,0.0136301681054066,0.0126689189189189,0.0114220445459737,0.0107791807822605,12,12,9,8,7,0,0,0,0,0,12,12,9,8,7,0,0,0,0,0,0.956338312563616,12,0.666666666666667,0.583333333333333,NA
"Tisha Mauro","t. mauro",24616,"2023_2024","House","HD-046","D",0.856905653818356,28,0.0113584734211722,0.0113584734211722,0.0126689189189189,0.0128498001142204,0.0138589467200493,8,8,7,7,7,2,2,2,2,2,6,6,5,5,5,0,0,0,0,0,0.75230656653187,8,0.875,0.875,NA
