"sponsor","data_name","legiscan_id","term","chamber","district","party","LES","LES_rank","BILL_wshare","AIC_wshare","ABC_wshare","PASS_wshare","LAW_wshare","all_bills","all_aic","all_abc","all_pass","all_law","ss_bills","ss_aic","ss_abc","ss_pass","ss_law","s_bills","s_aic","s_abc","s_pass","s_law","c_bills","c_aic","c_abc","c_pass","c_law","LES_nw","num_sponsored_bills","sponsor_pass_rate","sponsor_law_rate","num_cosponsored_bills"
"Daneya Esgar","d. esgar",16570,"2019_2020","House","HD-046","D",6.97142338820929,1,0.0814761562425114,0.081573896353167,0.107095046854083,0.109870945238926,0.117942768754834,65,65,61,60,58,3,3,3,3,3,62,62,58,57,55,0,0,0,0,0,7.22839224691806,65,0.923076923076923,0.892307692307692,NA
"Leslie Herod","l. herod",18721,"2019_2020","House","HD-008","D",3.25462847176791,2,0.037143541816439,0.0371880998080614,0.0518741633199465,0.0540634809905825,0.0522041763341067,21,21,21,21,18,10,10,10,10,9,11,11,11,11,9,0,0,0,0,0,2.38963600454964,21,1,0.857142857142857,NA
"Jennifer Arndt","j. arndt",16567,"2019_2020","House","HD-053","D",3.14752768454797,3,0.0395398993529835,0.0395873320537428,0.0485274431057564,0.0488315312173003,0.0483372003093581,33,33,29,28,25,0,0,0,0,0,33,33,29,28,25,0,0,0,0,0,3.42037547808052,33,0.848484848484849,0.757575757575758,NA
"Julie McCluskie","j. mccluskie",20025,"2019_2020","House","HD-061","D",2.39445716748886,4,0.0311526479750779,0.031190019193858,0.035140562248996,0.0348796651552145,0.0386697602474865,25,25,20,19,19,1,1,1,1,1,24,24,19,18,18,0,0,0,0,0,2.48326490489858,25,0.76,0.76,NA
"Matt Gray","m. gray",18722,"2019_2020","House","HD-033","D",2.25240727125648,5,0.0287562904385334,0.0287907869481766,0.0334672021419009,0.0331356818974538,0.0367362722351121,22,22,18,17,17,2,2,2,2,2,20,20,16,15,15,0,0,0,0,0,2.21139642319432,22,0.772727272727273,0.772727272727273,NA
"Dylan Roberts","d. roberts",19512,"2019_2020","House","HD-026","D",2.06763488368158,6,0.0239635753654445,0.0239923224568138,0.0317938420348059,0.0331356818974538,0.0348027842227378,18,18,17,17,16,2,2,2,2,2,16,16,15,15,14,0,0,0,0,0,2.0129393762849,18,0.944444444444444,0.888888888888889,NA
"Shannon Bird","s. bird",20127,"2019_2020","House","HD-035","D",1.8764690943135,7,0.0251617541337168,0.0251919385796545,0.0267737617135207,0.0279037321241716,0.0290023201856148,18,18,13,13,12,3,3,3,3,3,15,15,10,10,9,0,0,0,0,0,1.68362496350582,18,0.722222222222222,0.666666666666667,NA
"Yadira Caraveo","y. caraveo",20130,"2019_2020","House","HD-031","D",1.7474197906858,8,0.0251617541337168,0.0251919385796545,0.0251004016064257,0.0261597488664109,0.0232018561484919,17,17,11,11,9,4,4,4,4,3,13,13,7,7,6,0,0,0,0,0,1.45331613543017,17,0.647058823529412,0.529411764705882,NA
"Marc Catlin","m. catlin",19200,"2019_2020","House","HD-058","R",1.73441919808112,9,0.0227653965971723,0.0227927063339731,0.0251004016064257,0.0261597488664109,0.0270688321732405,17,17,13,13,12,2,2,2,2,2,15,15,11,11,10,0,0,0,0,0,1.64788787173424,17,0.764705882352941,0.705882352941177,NA
"Janet Buckner","j. buckner",18719,"2019_2020","House","HD-040","D",1.68028153373463,10,0.0227653965971723,0.0227927063339731,0.0251004016064257,0.0261597488664109,0.0232018561484919,18,18,14,14,11,1,1,1,1,1,17,17,13,13,10,0,0,0,0,0,1.70612450687153,18,0.777777777777778,0.611111111111111,NA
