"sponsor","data_name","legiscan_id","term","chamber","district","party","LES","LES_rank","BILL_wshare","AIC_wshare","ABC_wshare","PASS_wshare","LAW_wshare","all_bills","all_aic","all_abc","all_pass","all_law","ss_bills","ss_aic","ss_abc","ss_pass","ss_law","s_bills","s_aic","s_abc","s_pass","s_law","c_bills","c_aic","c_abc","c_pass","c_law","LES_nw","num_sponsored_bills","sponsor_pass_rate","sponsor_law_rate","num_cosponsored_bills"
"Karen McCormick","k. mccormick",22228,"2021_2022","House","HD-011","D",0.457835925914577,50,0.00761808024377857,0.00761808024377857,0.00621697233447311,0.00625586487331874,0.00645786244752987,6,6,4,4,4,0,0,0,0,0,6,6,4,4,4,0,0,0,0,0,0.485282872134432,6,0.666666666666667,0.666666666666667,NA
"Naquetta Ricks","n. ricks",22231,"2021_2022","House","HD-040","D",0.457835925914577,51,0.00761808024377857,0.00761808024377857,0.00621697233447311,0.00625586487331874,0.00645786244752987,6,6,4,4,4,0,0,0,0,0,6,6,4,4,4,0,0,0,0,0,0.485282872134432,6,0.666666666666667,0.666666666666667,NA
"Steven Woodrow","s. woodrow",21549,"2021_2022","House","HD-006","D",0.423808500825699,52,0.00634840020314881,0.00634840020314881,0.00621697233447311,0.00625586487331874,0.00645786244752987,5,5,4,4,4,0,0,0,0,0,5,5,4,4,4,0,0,0,0,0,0.449453995129084,5,0.8,0.8,NA
"Kim Ransom","k. ransom",16576,"2021_2022","House","HD-044","R",0.399055088401676,53,0.0101574403250381,0.0101574403250381,0.00310848616723656,0.00312793243665937,0.00322893122376493,8,8,2,2,2,0,0,0,0,0,8,8,2,2,2,0,0,0,0,0,0.421785821093954,8,0.25,0.25,NA
"Kerry Tipper","k. tipper",20141,"2021_2022","House","HD-028","D",0.360390656980371,54,0.00634840020314881,0.00634840020314881,0.00466272925085483,0.00469189865498905,0.0048433968356474,4,4,2,2,2,1,1,1,1,1,3,3,1,1,1,0,0,0,0,0,0.278470313072564,4,0.5,0.5,NA
"Tim Geitner","t. geitner",20133,"2021_2022","House","HD-019","R",0.301609819467471,55,0.00888776028440833,0.00888776028440833,0.00155424308361828,0.00156396621832968,0.00161446561188247,7,7,1,1,1,0,0,0,0,0,7,7,1,1,1,0,0,0,0,0,0.31837954156302,7,0.142857142857143,0.142857142857143,NA
"Dave Williams","d. williams",18714,"2021_2022","House","HD-015","R",0.279975980268246,56,0.00888776028440833,0.00888776028440833,0.00155424308361828,0.00156396621832968,0,7,7,1,1,0,0,0,0,0,0,7,7,1,1,0,0,0,0,0,0,0.295394978955816,7,0.142857142857143,0,NA
"Stephanie Luck","s. luck",22226,"2021_2022","House","HD-047","R",0.272219400711021,57,0.0101574403250381,0.0101574403250381,0,0,0,8,8,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0.286631016042781,8,0,0,NA
"Janice Rich","j. rich",20137,"2021_2022","House","HD-055","R",0.262945388046166,58,0.00507872016251905,0.00507872016251905,0.00310848616723656,0.00312793243665937,0.00322893122376493,4,4,2,2,2,0,0,0,0,0,4,4,2,2,2,0,0,0,0,0,0.278470313072564,4,0.5,0.5,NA
"Dan Woog","d. woog",22233,"2021_2022","House","HD-063","R",0.238191975622143,59,0.00888776028440833,0.00888776028440833,0,0,0,7,7,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0.250802139037433,7,0,0,NA
"Michael Weissman","m. weissman",18723,"2021_2022","House","HD-036","D",0.228917962957288,60,0.00380904012188928,0.00380904012188928,0.00310848616723656,0.00312793243665937,0.00322893122376493,3,3,2,2,2,0,0,0,0,0,3,3,2,2,2,0,0,0,0,0,0.242641436067216,3,0.666666666666667,0.666666666666667,NA
"Ron Hanks","r. hanks",22224,"2021_2022","House","HD-060","R",0.204164550533266,61,0.00761808024377857,0.00761808024377857,0,0,0,6,6,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0.214973262032086,6,0,0,NA
"Tom Sullivan","t. sullivan",20140,"2021_2022","House","HD-037","D",0.194890537868411,62,0.00253936008125952,0.00253936008125952,0.00310848616723656,0.00312793243665937,0.00322893122376493,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0.206812559061868,2,1,1,NA
"Perry Will","p. will",21293,"2021_2022","House","HD-057","R",0.165500119111961,63,0.00380904012188928,0.00380904012188928,0.00155424308361828,0.00156396621832968,0.00161446561188247,3,3,1,1,1,0,0,0,0,0,3,3,1,1,1,0,0,0,0,0,0.175064033541629,3,0.333333333333333,0.333333333333333,NA
"Shane Sandridge","s. sandridge",19536,"2021_2022","House","HD-014","R",0.13610970035551,64,0.00507872016251905,0.00507872016251905,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0.14331550802139,4,0,0,NA
