bill_number,session,session_type,action_date,action,order
HB15-1001,2015,RS,2015-01-07,Introduced In House - Assigned to Education + Appropriations,1
HB15-1001,2015,RS,2015-01-26,House Committee on Education Refer Amended to Appropriations,2
HB15-1001,2015,RS,2015-04-10,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB15-1001,2015,RS,2015-04-13,House Second Reading Laid Over Daily - No Amendments,4
HB15-1001,2015,RS,2015-04-17,"House Second Reading Passed with Amendments - Committee, Floor",5
HB15-1001,2015,RS,2015-04-20,House Third Reading Laid Over Daily - No Amendments,6
HB15-1001,2015,RS,2015-04-22,House Third Reading Passed - No Amendments,7
HB15-1001,2015,RS,2015-04-22,Introduced In Senate - Assigned to Education + Appropriations,8
HB15-1001,2015,RS,2015-04-30,Senate Committee on Education Postpone Indefinitely,9
HB15-1002,2015,RS,2015-01-07,Introduced In House - Assigned to Business Affairs and Labor + Appropriations,1
HB15-1002,2015,RS,2015-02-03,House Committee on Business Affairs and Labor Witness Testimony and/or Committee Discussion Only,2
HB15-1002,2015,RS,2015-03-05,House Committee on Business Affairs and Labor Refer Amended to Appropriations,3
HB15-1002,2015,RS,2015-04-02,House Committee on Appropriations Refer Amended to House Committee of the Whole,4
HB15-1002,2015,RS,2015-04-06,House Second Reading Passed with Amendments - Committee,5
HB15-1002,2015,RS,2015-04-07,House Third Reading Passed - No Amendments,6
HB15-1002,2015,RS,2015-04-09,"Introduced In Senate - Assigned to Business, Labor, & Technology",7
HB15-1002,2015,RS,2015-04-29,"Senate Committee on Business, Labor, & Technology Postpone Indefinitely",8
HB15-1003,2015,RS,2015-01-07,Introduced In House - Assigned to Transportation & Energy,1
HB15-1003,2015,RS,2015-04-15,House Committee on Transportation & Energy Refer Amended to Appropriations,2
HB15-1003,2015,RS,2015-04-22,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB15-1003,2015,RS,2015-04-23,House Second Reading Passed with Amendments - Committee,4
HB15-1003,2015,RS,2015-04-27,House Third Reading Passed - No Amendments,5
HB15-1003,2015,RS,2015-04-27,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",6
HB15-1003,2015,RS,2015-05-04,"Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",7
HB15-1004,2015,RS,2015-01-07,Introduced In House - Assigned to Transportation & Energy,1
HB15-1004,2015,RS,2015-01-21,House Committee on Transportation & Energy Refer Unamended to Appropriations,2
HB15-1004,2015,RS,2015-01-30,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB15-1004,2015,RS,2015-02-03,House Second Reading Passed with Amendments - Committee,4
HB15-1004,2015,RS,2015-02-04,House Third Reading Passed - No Amendments,5
HB15-1004,2015,RS,2015-02-06,Introduced In Senate - Assigned to Transportation,6
HB15-1004,2015,RS,2015-02-19,Senate Committee on Transportation Refer Unamended to Appropriations,7
HB15-1004,2015,RS,2015-03-13,Senate Committee on Appropriations Refer Unamended to Senate Committee of the Whole,8
HB15-1004,2015,RS,2015-03-17,Senate Second Reading Laid Over Daily - No Amendments,9
HB15-1004,2015,RS,2015-03-18,Senate Second Reading Passed - No Amendments,10
HB15-1004,2015,RS,2015-03-19,Senate Third Reading Passed - No Amendments,11
HB15-1004,2015,RS,2015-03-20,Signed by the Speaker of the House,12
HB15-1004,2015,RS,2015-03-20,Signed by the President of the Senate,13
HB15-1004,2015,RS,2015-03-20,Sent to the Governor,14
HB15-1004,2015,RS,2015-03-30,Governor Signed,15
HB15-1005,2015,RS,2015-01-07,"Introduced In House - Assigned to State, Veterans, & Military Affairs + Appropriations",1
HB15-1005,2015,RS,2015-01-26,"House Committee on State, Veterans, & Military Affairs Postpone Indefinitely",2
HB15-1006,2015,RS,2015-01-07,"Introduced In House - Assigned to Agriculture, Livestock, & Natural Resources + Appropriations",1
HB15-1006,2015,RS,2015-02-02,"House Committee on Agriculture, Livestock, & Natural Resources Refer Amended to Appropriations",2
HB15-1006,2015,RS,2015-04-22,"House Committee on Appropriations Re-Refer Unamended to Agriculture, Livestock, & Natural Resources",3
HB15-1006,2015,RS,2015-04-27,"House Committee on Agriculture, Livestock, & Natural Resources Witness Testimony and/or Committee Discussion Only",4
HB15-1006,2015,RS,2015-04-29,"House Committee on Agriculture, Livestock, & Natural Resources Re-Refer Amended to Appropriations",5
HB15-1006,2015,RS,2015-05-01,House Committee on Appropriations Refer Amended to House Committee of the Whole,6
HB15-1006,2015,RS,2015-05-01,House Second Reading Special Order - Passed with Amendments - Committee,7
HB15-1006,2015,RS,2015-05-04,House Third Reading Passed - No Amendments,8
HB15-1006,2015,RS,2015-05-04,"Introduced In Senate - Assigned to Agriculture, Natural Resources, & Energy + Appropriations",9
HB15-1006,2015,RS,2015-05-04,"Senate Committee on Agriculture, Natural Resources, & Energy Refer Unamended to Appropriations",10
HB15-1006,2015,RS,2015-05-05,Senate Committee on Appropriations Refer Unamended to Senate Committee of the Whole,11
HB15-1006,2015,RS,2015-05-05,Senate Second Reading Special Order - Passed - No Amendments,12
HB15-1006,2015,RS,2015-05-06,Senate Third Reading Passed - No Amendments,13
HB15-1006,2015,RS,2015-05-08,Signed by the Speaker of the House,14
HB15-1006,2015,RS,2015-05-08,Signed by the President of the Senate,15
HB15-1006,2015,RS,2015-05-11,Sent to the Governor,16
HB15-1006,2015,RS,2015-05-12,Governor Signed,17
HB15-1007,2015,RS,2015-01-07,Introduced In House - Assigned to Finance,1
HB15-1007,2015,RS,2015-02-11,House Committee on Finance Refer Amended to House Committee of the Whole,2
HB15-1007,2015,RS,2015-02-17,House Second Reading Laid Over Daily - No Amendments,3
HB15-1007,2015,RS,2015-04-27,"House Second Reading Passed with Amendments - Committee, Floor",4
HB15-1007,2015,RS,2015-04-28,House Third Reading Passed - No Amendments,5
HB15-1007,2015,RS,2015-04-28,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",6
HB15-1007,2015,RS,2015-05-01,"Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",7
HB15-1008,2015,RS,2015-01-07,"Introduced In House - Assigned to Agriculture, Livestock, & Natural Resources + Finance",1
HB15-1008,2015,RS,2015-02-04,"House Committee on Agriculture, Livestock, & Natural Resources Refer Amended to Finance",2
HB15-1008,2015,RS,2015-02-18,House Committee on Finance Refer Amended to House Committee of the Whole,3
HB15-1008,2015,RS,2015-02-24,House Second Reading Passed with Amendments - Committee,4
HB15-1008,2015,RS,2015-02-25,House Third Reading Passed - No Amendments,5
HB15-1008,2015,RS,2015-03-03,Introduced In Senate - Assigned to Local Government,6
HB15-1008,2015,RS,2015-03-24,Senate Committee on Local Government Refer Unamended - Consent Calendar to Senate Committee of the Whole,7
HB15-1008,2015,RS,2015-03-27,Senate Second Reading Passed - No Amendments,8
HB15-1008,2015,RS,2015-03-30,Senate Third Reading Passed - No Amendments,9
HB15-1008,2015,RS,2015-04-01,Signed by the Speaker of the House,10
HB15-1008,2015,RS,2015-04-02,Signed by the President of the Senate,11
HB15-1008,2015,RS,2015-04-02,Sent to the Governor,12
HB15-1008,2015,RS,2015-04-10,Governor Signed,13
HB15-1009,2015,RS,2015-01-07,"Introduced In House - Assigned to State, Veterans, & Military Affairs",1
HB15-1009,2015,RS,2015-02-02,"House Committee on State, Veterans, & Military Affairs Postpone Indefinitely",2
HB15-1010,2015,RS,2015-01-07,Introduced In House - Assigned to Business Affairs and Labor,1
HB15-1010,2015,RS,2015-01-20,House Committee on Business Affairs and Labor Refer Unamended to House Committee of the Whole,2
HB15-1010,2015,RS,2015-01-23,House Second Reading Passed - No Amendments,3
HB15-1010,2015,RS,2015-01-26,House Third Reading Passed - No Amendments,4
HB15-1010,2015,RS,2015-01-28,"Introduced In Senate - Assigned to Business, Labor, & Technology",5
HB15-1010,2015,RS,2015-02-25,"Senate Committee on Business, Labor, & Technology Refer Unamended - Consent Calendar to Senate Committee of the Whole",6
HB15-1010,2015,RS,2015-03-02,Senate Second Reading Passed - No Amendments,7
HB15-1010,2015,RS,2015-03-03,Senate Third Reading Passed - No Amendments,8
HB15-1010,2015,RS,2015-03-06,Signed by the Speaker of the House,9
HB15-1010,2015,RS,2015-03-09,Signed by the President of the Senate,10
HB15-1010,2015,RS,2015-03-09,Sent to the Governor,11
HB15-1010,2015,RS,2015-03-18,Governor Signed,12
HB15-1011,2015,RS,2015-01-07,"Introduced In House - Assigned to State, Veterans, & Military Affairs",1
HB15-1011,2015,RS,2015-01-28,"House Committee on State, Veterans, & Military Affairs Postpone Indefinitely",2
HB15-1012,2015,RS,2015-01-07,Introduced In House - Assigned to Finance + Transportation & Energy + Appropriations,1
HB15-1012,2015,RS,2015-01-21,House Committee on Finance Refer Amended to Transportation & Energy,2
HB15-1012,2015,RS,2015-01-28,House Committee on Transportation & Energy Refer Unamended to Appropriations,3
HB15-1012,2015,RS,2015-02-06,House Committee on Appropriations Refer Unamended to House Committee of the Whole,4
HB15-1012,2015,RS,2015-02-13,House Second Reading Passed with Amendments - Committee,5
HB15-1012,2015,RS,2015-02-17,House Third Reading Laid Over Daily - No Amendments,6
HB15-1012,2015,RS,2015-02-19,House Third Reading Passed - No Amendments,7
HB15-1012,2015,RS,2015-02-25,Introduced In Senate - Assigned to Finance,8
HB15-1012,2015,RS,2015-03-05,Senate Committee on Finance Refer Unamended - Consent Calendar to Senate Committee of the Whole,9
HB15-1012,2015,RS,2015-03-10,Senate Second Reading Passed - No Amendments,10
HB15-1012,2015,RS,2015-03-11,Senate Third Reading Passed - No Amendments,11
HB15-1012,2015,RS,2015-03-13,Signed by the President of the Senate,12
HB15-1012,2015,RS,2015-03-13,Signed by the Speaker of the House,13
HB15-1012,2015,RS,2015-03-16,Sent to the Governor,14
HB15-1012,2015,RS,2015-03-26,Governor Signed,15
HB15-1013,2015,RS,2015-01-07,"Introduced In House - Assigned to Agriculture, Livestock, & Natural Resources + Appropriations",1
HB15-1013,2015,RS,2015-01-26,"House Committee on Agriculture, Livestock, & Natural Resources Refer Amended to Appropriations",2
HB15-1013,2015,RS,2015-04-02,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB15-1013,2015,RS,2015-04-06,House Second Reading Laid Over to 04/10/2015 - No Amendments,4
HB15-1013,2015,RS,2015-04-10,House Second Reading Passed with Amendments - Committee,5
HB15-1013,2015,RS,2015-04-13,House Third Reading Passed - No Amendments,6
HB15-1013,2015,RS,2015-04-14,"Introduced In Senate - Assigned to Agriculture, Natural Resources, & Energy + Appropriations",7
HB15-1013,2015,RS,2015-04-23,"Senate Committee on Agriculture, Natural Resources, & Energy Refer Amended to Appropriations",8
HB15-1013,2015,RS,2015-04-28,Senate Committee on Appropriations Refer Unamended to Senate Committee of the Whole,9
HB15-1013,2015,RS,2015-04-30,"Senate Second Reading Passed with Amendments - Committee, Floor",10
HB15-1013,2015,RS,2015-05-01,Senate Third Reading Passed - No Amendments,11
HB15-1013,2015,RS,2015-05-04,House Considered Senate Amendments - Result was to Not Concur - Request Conference Committee,12
HB15-1013,2015,RS,2015-05-06,First Conference Committee Result was to Adopt Rerevised w/ Amendments,13
HB15-1013,2015,RS,2015-05-06,Senate Consideration of First Conference Committee Report result was to Adopt Committee Report - Repass,14
HB15-1013,2015,RS,2015-05-06,House Consideration of First Conference Committee Report result was to Adopt Committee Report - Repass,15
HB15-1013,2015,RS,2015-05-14,Signed by the Speaker of the House,16
HB15-1013,2015,RS,2015-05-18,Signed by the President of the Senate,17
HB15-1013,2015,RS,2015-05-18,Sent to the Governor,18
HB15-1013,2015,RS,2015-05-29,Governor Signed,19
HB15-1014,2015,RS,2015-01-07,Introduced In House - Assigned to Transportation & Energy + Finance,1
HB15-1014,2015,RS,2015-02-04,House Committee on Transportation & Energy Refer Unamended to Finance,2
HB15-1014,2015,RS,2015-03-05,House Committee on Finance Refer Amended to Appropriations,3
HB15-1014,2015,RS,2015-04-02,House Committee on Appropriations Postpone Indefinitely,4
HB15-1015,2015,RS,2015-01-07,Introduced In House - Assigned to Public Health Care & Human Services,1
HB15-1015,2015,RS,2015-01-27,House Committee on Public Health Care & Human Services Refer Amended to Appropriations,2
HB15-1015,2015,RS,2015-02-06,House Committee on Appropriations Refer Unamended to House Committee of the Whole,3
HB15-1015,2015,RS,2015-02-13,House Second Reading Passed with Amendments - Committee,4
HB15-1015,2015,RS,2015-02-17,House Third Reading Laid Over Daily - No Amendments,5
HB15-1015,2015,RS,2015-02-19,House Third Reading Passed - No Amendments,6
HB15-1015,2015,RS,2015-02-25,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",7
HB15-1015,2015,RS,2015-03-11,"Senate Committee on State, Veterans, & Military Affairs Refer Unamended to Appropriations",8
HB15-1015,2015,RS,2015-04-17,Senate Committee on Appropriations Refer Unamended - Consent Calendar to Senate Committee of the Whole,9
HB15-1015,2015,RS,2015-04-20,Senate Second Reading Special Order - Passed - No Amendments,10
HB15-1015,2015,RS,2015-04-21,Senate Third Reading Passed - No Amendments,11
HB15-1015,2015,RS,2015-04-24,Signed by the Speaker of the House,12
HB15-1015,2015,RS,2015-04-28,Signed by the President of the Senate,13
HB15-1015,2015,RS,2015-04-28,Sent to the Governor,14
HB15-1015,2015,RS,2015-05-08,Governor Signed,15
HB15-1016,2015,RS,2015-01-07,"Introduced In House - Assigned to Agriculture, Livestock, & Natural Resources + Finance",1
HB15-1016,2015,RS,2015-02-02,"House Committee on Agriculture, Livestock, & Natural Resources Witness Testimony and/or Committee Discussion Only",2
HB15-1016,2015,RS,2015-02-25,"House Committee on Agriculture, Livestock, & Natural Resources Refer Amended to Appropriations",3
HB15-1016,2015,RS,2015-03-02,"House Committee on Agriculture, Livestock, & Natural Resources Refer Amended to Finance",4
HB15-1016,2015,RS,2015-03-19,House Committee on Finance Refer Amended to Appropriations,5
HB15-1016,2015,RS,2015-04-02,House Committee on Appropriations Refer Amended to House Committee of the Whole,6
HB15-1016,2015,RS,2015-04-06,House Second Reading Passed with Amendments - Committee,7
HB15-1016,2015,RS,2015-04-07,House Third Reading Passed - No Amendments,8
HB15-1016,2015,RS,2015-04-09,"Introduced In Senate - Assigned to Agriculture, Natural Resources, & Energy",9
HB15-1016,2015,RS,2015-04-16,"Senate Committee on Agriculture, Natural Resources, & Energy Refer Amended to Appropriations",10
HB15-1016,2015,RS,2015-04-24,Senate Committee on Appropriations Refer Unamended - Consent Calendar to Senate Committee of the Whole,11
HB15-1016,2015,RS,2015-04-24,Senate Second Reading Special Order - Passed with Amendments - Committee,12
HB15-1016,2015,RS,2015-04-27,Senate Third Reading Passed - No Amendments,13
HB15-1016,2015,RS,2015-04-30,House Considered Senate Amendments - Result was to Concur - Repass,14
HB15-1016,2015,RS,2015-04-30,House Considered Senate Amendments - Result was to Laid Over Daily,15
HB15-1016,2015,RS,2015-05-06,Signed by the Speaker of the House,16
HB15-1016,2015,RS,2015-05-08,Sent to the Governor,17
HB15-1016,2015,RS,2015-05-08,Signed by the President of the Senate,18
HB15-1016,2015,RS,2015-05-29,Governor Signed,19
HB15-1017,2015,RS,2015-01-07,Introduced In House - Assigned to Local Government,1
HB15-1017,2015,RS,2015-01-21,House Committee on Local Government Refer Unamended to House Committee of the Whole,2
HB15-1017,2015,RS,2015-01-27,House Second Reading Passed with Amendments - Floor,3
HB15-1017,2015,RS,2015-01-28,House Third Reading Passed - No Amendments,4
HB15-1017,2015,RS,2015-02-06,Introduced In Senate - Assigned to Local Government,5
HB15-1017,2015,RS,2015-02-10,Senate Committee on Local Government Refer Unamended - Consent Calendar to Senate Committee of the Whole,6
HB15-1017,2015,RS,2015-02-13,Senate Second Reading Passed - No Amendments,7
HB15-1017,2015,RS,2015-02-17,Senate Third Reading Passed - No Amendments,8
HB15-1017,2015,RS,2015-02-17,Senate Third Reading Reconsidered - No Amendments,9
HB15-1017,2015,RS,2015-02-17,Senate Third Reading Passed - No Amendments,10
HB15-1017,2015,RS,2015-03-02,Signed by the Speaker of the House,11
HB15-1017,2015,RS,2015-03-03,Signed by the President of the Senate,12
HB15-1017,2015,RS,2015-03-03,Sent to the Governor,13
HB15-1017,2015,RS,2015-03-11,Governor Signed,14
HB15-1018,2015,RS,2015-01-07,Introduced In House - Assigned to Judiciary + Public Health Care & Human Services,1
HB15-1018,2015,RS,2015-02-03,House Committee on Judiciary Refer Amended to Public Health Care & Human Services,2
HB15-1018,2015,RS,2015-02-20,House Committee on Public Health Care & Human Services Refer Amended to Appropriations,3
HB15-1018,2015,RS,2015-04-10,House Committee on Appropriations Refer Amended to House Committee of the Whole,4
HB15-1018,2015,RS,2015-04-13,House Second Reading Laid Over Daily - No Amendments,5
HB15-1018,2015,RS,2015-04-14,House Second Reading Passed with Amendments - Committee,6
HB15-1018,2015,RS,2015-04-15,House Third Reading Passed - No Amendments,7
HB15-1018,2015,RS,2015-04-16,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",8
HB15-1018,2015,RS,2015-04-20,"Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",9
HB15-1019,2015,RS,2015-01-07,Introduced In House - Assigned to Judiciary,1
HB15-1019,2015,RS,2015-02-17,House Committee on Judiciary Refer Amended to Appropriations,2
HB15-1019,2015,RS,2015-03-27,House Committee on Appropriations Refer Unamended to House Committee of the Whole,3
HB15-1019,2015,RS,2015-03-30,House Second Reading Passed with Amendments - Committee,4
HB15-1019,2015,RS,2015-03-31,House Third Reading Passed - No Amendments,5
HB15-1019,2015,RS,2015-04-08,Introduced In Senate - Assigned to Judiciary,6
HB15-1019,2015,RS,2015-04-20,Senate Committee on Judiciary Refer Unamended - Consent Calendar to Senate Committee of the Whole,7
HB15-1019,2015,RS,2015-04-23,Senate Second Reading Special Order - Passed - No Amendments,8
HB15-1019,2015,RS,2015-04-24,Senate Third Reading Passed - No Amendments,9
HB15-1019,2015,RS,2015-05-01,Signed by the Speaker of the House,10
HB15-1019,2015,RS,2015-05-01,Signed by the President of the Senate,11
HB15-1019,2015,RS,2015-05-01,Sent to the Governor,12
HB15-1019,2015,RS,2015-05-29,Governor Signed,13
HB15-1020,2015,RS,2015-01-07,Introduced In House - Assigned to Education + Appropriations,1
HB15-1020,2015,RS,2015-01-26,House Committee on Education Refer Unamended to Appropriations,2
HB15-1020,2015,RS,2015-04-02,House Committee on Appropriations Postpone Indefinitely,3
HB15-1021,2015,RS,2015-01-07,Introduced In House - Assigned to Judiciary,1
HB15-1021,2015,RS,2015-01-22,House Committee on Judiciary Refer Unamended to House Committee of the Whole,2
HB15-1021,2015,RS,2015-01-26,House Second Reading Passed - No Amendments,3
HB15-1021,2015,RS,2015-01-27,House Third Reading Passed - No Amendments,4
HB15-1021,2015,RS,2015-01-28,Introduced In Senate - Assigned to Judiciary,5
HB15-1021,2015,RS,2015-02-18,Senate Committee on Judiciary Refer Unamended to Senate Committee of the Whole,6
HB15-1021,2015,RS,2015-02-24,Senate Second Reading Passed - No Amendments,7
HB15-1021,2015,RS,2015-02-25,Senate Third Reading Laid Over Daily - No Amendments,8
HB15-1021,2015,RS,2015-02-26,Senate Third Reading Passed - No Amendments,9
HB15-1021,2015,RS,2015-03-04,Signed by the Speaker of the House,10
HB15-1021,2015,RS,2015-03-05,Signed by the President of the Senate,11
HB15-1021,2015,RS,2015-03-05,Sent to the Governor,12
HB15-1021,2015,RS,2015-03-13,Governor Signed,13
HB15-1022,2015,RS,2015-01-07,Introduced In House - Assigned to Judiciary,1
HB15-1022,2015,RS,2015-01-29,House Committee on Judiciary Refer Amended to House Committee of the Whole,2
HB15-1022,2015,RS,2015-02-03,"House Second Reading Passed with Amendments - Committee, Floor",3
HB15-1022,2015,RS,2015-02-04,House Third Reading Passed - No Amendments,4
HB15-1022,2015,RS,2015-02-06,Introduced In Senate - Assigned to Judiciary,5
HB15-1022,2015,RS,2015-02-24,Senate Committee on Judiciary Refer Unamended - Consent Calendar to Senate Committee of the Whole,6
HB15-1022,2015,RS,2015-02-27,Senate Second Reading Passed - No Amendments,7
HB15-1022,2015,RS,2015-03-02,Senate Third Reading Passed - No Amendments,8
HB15-1022,2015,RS,2015-03-06,Signed by the Speaker of the House,9
HB15-1022,2015,RS,2015-03-09,Signed by the President of the Senate,10
HB15-1022,2015,RS,2015-03-09,Sent to the Governor,11
HB15-1022,2015,RS,2015-03-18,Governor Signed,12
HB15-1023,2015,RS,2015-01-07,Introduced In House - Assigned to Public Health Care & Human Services + Appropriations,1
HB15-1023,2015,RS,2015-01-20,House Committee on Public Health Care & Human Services Refer Unamended to Appropriations,2
HB15-1023,2015,RS,2015-01-30,House Committee on Appropriations Refer Unamended to House Committee of the Whole,3
HB15-1023,2015,RS,2015-02-03,House Second Reading Passed - No Amendments,4
HB15-1023,2015,RS,2015-02-04,House Third Reading Passed - No Amendments,5
HB15-1023,2015,RS,2015-02-06,Introduced In Senate - Assigned to Health & Human Services,6
HB15-1023,2015,RS,2015-02-18,Senate Committee on Health & Human Services Refer Unamended - Consent Calendar to Senate Committee of the Whole,7
HB15-1023,2015,RS,2015-02-24,Senate Second Reading Laid Over Daily - No Amendments,8
HB15-1023,2015,RS,2015-02-25,Senate Second Reading Laid Over Daily - No Amendments,9
HB15-1023,2015,RS,2015-02-26,Senate Second Reading Passed - No Amendments,10
HB15-1023,2015,RS,2015-02-27,Senate Third Reading Passed - No Amendments,11
HB15-1023,2015,RS,2015-03-04,Signed by the Speaker of the House,12
HB15-1023,2015,RS,2015-03-05,Signed by the President of the Senate,13
HB15-1023,2015,RS,2015-03-05,Sent to the Governor,14
HB15-1023,2015,RS,2015-03-13,Governor Signed,15
HB15-1024,2015,RS,2015-01-07,Introduced In House - Assigned to Education + Appropriations,1
HB15-1024,2015,RS,2015-01-26,House Committee on Education Refer Unamended to Appropriations,2
HB15-1024,2015,RS,2015-04-02,House Committee on Appropriations Postpone Indefinitely,3
HB15-1025,2015,RS,2015-01-07,Introduced In House - Assigned to Judiciary,1
HB15-1025,2015,RS,2015-01-29,House Committee on Judiciary Witness Testimony and/or Committee Discussion Only,2
HB15-1025,2015,RS,2015-02-26,House Committee on Judiciary Postpone Indefinitely,3
HB15-1026,2015,RS,2015-01-07,"Introduced In House - Assigned to State, Veterans, & Military Affairs + Transportation & Energy",1
HB15-1026,2015,RS,2015-02-11,"House Committee on State, Veterans, & Military Affairs Refer Unamended to Transportation & Energy",2
HB15-1026,2015,RS,2015-02-18,House Committee on Transportation & Energy Refer Unamended to Finance,3
HB15-1026,2015,RS,2015-02-25,House Committee on Finance Refer Unamended to Appropriations,4
HB15-1026,2015,RS,2015-03-06,House Committee on Appropriations Refer Amended to House Committee of the Whole,5
HB15-1026,2015,RS,2015-03-09,House Second Reading Passed with Amendments - Committee,6
HB15-1026,2015,RS,2015-03-10,House Third Reading Passed - No Amendments,7
HB15-1026,2015,RS,2015-03-12,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",8
HB15-1026,2015,RS,2015-03-18,"Senate Committee on State, Veterans, & Military Affairs Refer Unamended to Finance",9
HB15-1026,2015,RS,2015-03-24,Senate Committee on Finance Refer Amended to Appropriations,10
HB15-1026,2015,RS,2015-04-17,Senate Committee on Appropriations Refer Unamended to Senate Committee of the Whole,11
HB15-1026,2015,RS,2015-04-21,Senate Second Reading Passed with Amendments - Committee,12
HB15-1026,2015,RS,2015-04-22,Senate Third Reading Passed - No Amendments,13
HB15-1026,2015,RS,2015-04-27,House Considered Senate Amendments - Result was to Concur - Repass,14
HB15-1026,2015,RS,2015-04-27,House Considered Senate Amendments - Result was to Laid Over Daily,15
HB15-1026,2015,RS,2015-05-01,Signed by the Speaker of the House,16
HB15-1026,2015,RS,2015-05-01,Signed by the President of the Senate,17
HB15-1026,2015,RS,2015-05-01,Sent to the Governor,18
HB15-1026,2015,RS,2015-05-27,Governor Signed,19
HB15-1027,2015,RS,2015-01-07,Introduced In House - Assigned to Education + Appropriations,1
HB15-1027,2015,RS,2015-01-26,House Committee on Education Refer Unamended to Appropriations,2
HB15-1027,2015,RS,2015-04-22,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB15-1027,2015,RS,2015-04-23,House Second Reading Passed with Amendments - Committee,4
HB15-1027,2015,RS,2015-04-27,House Third Reading Passed - No Amendments,5
HB15-1027,2015,RS,2015-04-27,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",6
HB15-1027,2015,RS,2015-05-01,"Senate Committee on State, Veterans, & Military Affairs Witness Testimony and/or Committee Discussion Only",7
HB15-1027,2015,RS,2015-05-04,"Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",8
HB15-1028,2015,RS,2015-01-07,Introduced In House - Assigned to Business Affairs and Labor,1
HB15-1028,2015,RS,2015-01-20,House Committee on Business Affairs and Labor Refer Unamended to House Committee of the Whole,2
HB15-1028,2015,RS,2015-01-23,House Second Reading Passed - No Amendments,3
HB15-1028,2015,RS,2015-01-26,House Third Reading Passed - No Amendments,4
HB15-1028,2015,RS,2015-01-28,"Introduced In Senate - Assigned to Business, Labor, & Technology",5
HB15-1028,2015,RS,2015-02-25,"Senate Committee on Business, Labor, & Technology Refer Unamended - Consent Calendar to Senate Committee of the Whole",6
HB15-1028,2015,RS,2015-03-02,Senate Second Reading Passed - No Amendments,7
HB15-1028,2015,RS,2015-03-03,Senate Third Reading Passed - No Amendments,8
HB15-1028,2015,RS,2015-03-06,Signed by the Speaker of the House,9
HB15-1028,2015,RS,2015-03-09,Signed by the President of the Senate,10
HB15-1028,2015,RS,2015-03-09,Sent to the Governor,11
HB15-1028,2015,RS,2015-03-18,Governor Signed,12
HB15-1029,2015,RS,2015-01-07,"Introduced In House - Assigned to Health, Insurance, & Environment",1
HB15-1029,2015,RS,2015-01-22,"House Committee on Health, Insurance, & Environment Refer Amended to House Committee of the Whole",2
HB15-1029,2015,RS,2015-01-27,House Second Reading Passed with Amendments - Committee,3
HB15-1029,2015,RS,2015-01-28,House Third Reading Passed - No Amendments,4
HB15-1029,2015,RS,2015-02-06,Introduced In Senate - Assigned to Health & Human Services,5
HB15-1029,2015,RS,2015-02-19,Senate Committee on Health & Human Services Refer Amended to Senate Committee of the Whole,6
HB15-1029,2015,RS,2015-02-24,Senate Second Reading Passed with Amendments - Committee,7
HB15-1029,2015,RS,2015-02-25,Senate Third Reading Laid Over Daily - No Amendments,8
HB15-1029,2015,RS,2015-02-26,Senate Third Reading Laid Over Daily - No Amendments,9
HB15-1029,2015,RS,2015-02-27,Senate Third Reading Passed - No Amendments,10
HB15-1029,2015,RS,2015-02-27,Senate Third Reading Reconsidered - No Amendments,11
HB15-1029,2015,RS,2015-02-27,Senate Third Reading Passed - No Amendments,12
HB15-1029,2015,RS,2015-03-02,House Considered Senate Amendments - Result was to Laid Over Daily,13
HB15-1029,2015,RS,2015-03-04,House Considered Senate Amendments - Result was to Concur - Repass,14
HB15-1029,2015,RS,2015-03-11,Signed by the Speaker of the House,15
HB15-1029,2015,RS,2015-03-12,Sent to the Governor,16
HB15-1029,2015,RS,2015-03-12,Signed by the President of the Senate,17
HB15-1029,2015,RS,2015-03-20,Governor Signed,18
HB15-1030,2015,RS,2015-01-07,"Introduced In House - Assigned to State, Veterans, & Military Affairs + Appropriations",1
HB15-1030,2015,RS,2015-01-26,"House Committee on State, Veterans, & Military Affairs Refer Unamended to Appropriations",2
HB15-1030,2015,RS,2015-04-10,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB15-1030,2015,RS,2015-04-13,House Second Reading Laid Over Daily with Amendments - Committee,4
HB15-1030,2015,RS,2015-04-17,House Second Reading Passed with Amendments - Floor,5
HB15-1030,2015,RS,2015-04-20,House Third Reading Passed - No Amendments,6
HB15-1030,2015,RS,2015-04-20,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",7
HB15-1030,2015,RS,2015-04-22,"Senate Committee on State, Veterans, & Military Affairs Refer Unamended to Appropriations",8
