bill_number,session,session_type,chamber,action_date,action,order
HB23-1001,2023,RS,House,2023-01-09,Introduced In House - Assigned to Education,1
HB23-1001,2023,RS,House,2023-01-26,House Committee on Education Refer Amended to House Committee of the Whole,2
HB23-1001,2023,RS,House,2023-01-31,House Second Reading Laid Over Daily - No Amendments,3
HB23-1001,2023,RS,House,2023-02-01,House Second Reading Passed with Amendments - Committee,4
HB23-1001,2023,RS,House,2023-02-02,House Third Reading Passed - No Amendments,5
HB23-1001,2023,RS,Senate,2023-02-06,Introduced In Senate - Assigned to Education,6
HB23-1001,2023,RS,Senate,2023-03-13,Senate Committee on Education Refer Amended to Senate Committee of the Whole,7
HB23-1001,2023,RS,Senate,2023-03-16,Senate Second Reading Passed with Amendments - Committee,8
HB23-1001,2023,RS,Senate,2023-03-17,Senate Third Reading Passed - No Amendments,9
HB23-1001,2023,RS,House,2023-03-20,House Considered Senate Amendments - Result was to Concur - Repass,10
HB23-1001,2023,RS,House,2023-03-31,Signed by the Speaker of the House,11
HB23-1001,2023,RS,Senate,2023-04-03,Signed by the President of the Senate,12
HB23-1001,2023,RS,Governor,2023-04-03,Sent to the Governor,13
HB23-1001,2023,RS,Governor,2023-04-10,Governor Signed,14
HB23-1002,2023,RS,House,2023-01-09,Introduced In House - Assigned to Health & Insurance,1
HB23-1002,2023,RS,House,2023-02-03,House Committee on Health & Insurance Refer Amended to Appropriations,2
HB23-1002,2023,RS,House,2023-03-03,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB23-1002,2023,RS,House,2023-03-07,"House Second Reading Passed with Amendments - Committee, Floor",4
HB23-1002,2023,RS,House,2023-03-08,House Third Reading Passed - No Amendments,5
HB23-1002,2023,RS,Senate,2023-03-09,Introduced In Senate - Assigned to Health & Human Services,6
HB23-1002,2023,RS,Senate,2023-04-12,Senate Committee on Health & Human Services Refer Amended to Appropriations,7
HB23-1002,2023,RS,Senate,2023-04-18,Senate Committee on Appropriations Refer Amended to Senate Committee of the Whole,8
HB23-1002,2023,RS,Senate,2023-04-20,"Senate Second Reading Passed with Amendments - Committee, Floor",9
HB23-1002,2023,RS,Senate,2023-04-21,Senate Third Reading Passed - No Amendments,10
HB23-1002,2023,RS,House,2023-04-26,House Considered Senate Amendments - Result was to Not Concur - Request Conference Committee,11
HB23-1002,2023,RS,Senate,2023-05-04,Senate Consideration of First Conference Committee Report result was to Adopt Committee Report - Repass,12
HB23-1002,2023,RS,House,2023-05-07,House Consideration of First Conference Committee Report result was to Adopt Committee Report - Repass,13
