bill_number,session,session_type,bill_type,title,keywords,status,primary_sponsors,sponsors,cosponsors,house_committee,senate_committee,long_title,summary,bill_url
HB17-1001,2017,RS,Bill,Employee Leave Attend Child's Academic Activities,Labor & Employment,Introduced; Lost,Representative Janet Buckner; Senator Andy Kerr,,,Education,"State, Veterans, & Military Affairs",Concerning the ability of an employee of an employer who employs at least fifty employees to take up to eighteen hours of leave from work for purposes of attending his or her child's academic activities.,"In 2009, the general assembly enacted the 'Parental Involvement in K-12 Education Act' (2009 act), which allowed an employee of an employer who is subject to the federal 'Family and Medical Leave Act of 1993' to take leave from work for the purpose of attending academic activities for or with the employee's child. Under the 2009 act, academic activities included parent-teacher conferences or meetings related to special education services, interventions, dropout prevention, attendance, truancy, or discipline issues. The leave was allowed for an employee who is the parent or legal guardian of a child enrolled in a public or private school or in a nonpublic home-based educational program in this state in kindergarten through twelfth grade. Leave under the 2009 act was limited to 6 hours per month and 18 hours in any academic year. The 2009 act permitted employers to: Restrict the use of leave in cases of emergency or other situations that may endanger a person's health or safety or if the employee's absence would halt the employer's service or production; and Limit the leave to 3-hour increments at a time and require the employee to submit written verification from the school or school district of the activity necessitating the leave. An employee was required to provide the employer with at least one week's notice of the leave except in emergency situations. The 2009 act specified that the 2009 act would repeal on September 1, 2015. The repeal provision was never amended, so the 2009 act repealed on September 1, 2015. The bill recreates and reenacts the 2009 act with the following modifications: School districts and institute charter schools must post on their websites, and include in district-wide or school-wide communications sent to parents and the community at large, information about the act; The Colorado state advisory council for parent involvement in education must also provide information about the act to the extent possible within existing resources; and The act continues indefinitely and the original repeal date in the 2009 act is amended to specify that the repeal was to apply only to the 2009 act. (Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)",https://leg.colorado.gov/bills/HB17-1001
HB17-1002,2017,RS,Bill,Child Care Expenses Income Tax Credit Extension,Fiscal Policy & Taxes,Introduced; Passed; Became Law,Representative Brittany Pettersen; Representative Tony Exum; Senator John Kefalas; Senator Beth Humenik,,Sen. I. Aguilar; Sen. R. Fields; Sen. B. Gardner; Sen. C. Jahn; Sen. M. Jones; Sen. A. Kerr; Sen. M. Merrifield; Sen. D. Moreno; Sen. J. Tate; Sen. N. Todd; Sen. A. Williams; Sen. R. Zenzinger,Finance,Finance,Concerning the extension of the income tax credit for child care expenses paid by a resident individual with a federal adjusted gross income of twenty-five thousand dollars or less.,"For the 3 income tax years prior to January 1, 2017, a residential individual who has a federal adjusted gross income of $25,000 or less may claim a refundable state income tax credit for child care expenses. The tax credit is equal to 25% of eligible child care expenses that the individual incurred during the taxable year, up to a maximum amount of $500 for a single dependent or $1,000 for 2 or more dependents. The bill extends the tax credit for 3 more income tax years. (Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)",https://leg.colorado.gov/bills/HB17-1002
HB17-1003,2017,RS,Bill,Strategic Plan To Address Teacher Shortages,Education & School Finance (Pre & K-12),Introduced; Passed; Became Law,Representative Barbara McLachlan; Senator Don Coram,,Sen. I. Aguilar; Sen. L. Court; Sen. L. Crowder; Sen. K. Donovan; Sen. S. Fenberg; Sen. R. Fields; Sen. L. Garcia; Sen. L. Guzman; Sen. C. Jahn; Sen. M. Jones; Sen. J. Kefalas; Sen. A. Kerr; Sen. M. Merrifield; Sen. D. Moreno; Sen. N. Todd; Sen. R. Zenzinger,Education,Education,Concerning a strategic action plan to address teacher shortages in Colorado.,"The bill requires the department of higher education in partnership with the department of education to examine recruitment, preparation, and retention of teachers and to prepare a strategic plan to address teacher shortages in school districts and public schools within the state. The departments must collaborate with institutions of higher education, school districts, and other education interest groups in preparing the plan. The department of higher education must submit the plan to the Colorado commission on higher education, the state board of education, and the education committees of the general assembly by December 1, 2017. (Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)",https://leg.colorado.gov/bills/HB17-1003
HB17-1004,2017,RS,Bill,College Credit For Military Education And Training,Higher Education; Military & Veterans,Introduced; Passed; Became Law,Representative Dafna Michaelson Jenet; Representative Jessie Danielson; Senator Owen Hill; Senator Leroy Garcia,,Sen. I. Aguilar; Sen. R. Baumgardner; Sen. J. Cooke; Sen. D. Coram; Sen. L. Court; Sen. L. Crowder; Sen. K. Donovan; Sen. S. Fenberg; Sen. R. Fields; Sen. B. Gardner; Sen. K. Grantham; Sen. C. Holbert; Sen. C. Jahn; Sen. M. Jones; Sen. D. Kagan; Sen. J. Kefalas; Sen. A. Kerr; Sen. K. Lambert; Sen. K. Lundberg; Sen. V. Marble; Sen. B. Martinez Humenik; Sen. M. Merrifield; Sen. D. Moreno; Sen. T. Neville; Sen. K. Priola; Sen. R. Scott; Sen. J. Smallwood; Sen. J. Sonnenberg; Sen. J. Tate; Sen. N. Todd; Sen. A. Williams; Sen. R. Zenzinger,Education,Education,Concerning a statewide policy for awarding college credit for military education and training.,"The bill requires the governing board of each institution of higher education to adopt, make public, and implement a prior learning assessment policy for awarding academic credit for college-level learning acquired while in the military. The policy adopted by the governing board must require each campus to use the American Council on Education's recommendations on the joint services transcript and, at its discretion, assign appropriate credit. Further, the institutions shall provide specific guidance to active duty and veteran military members in selecting a program of study and optimizing prior learning assessment credit. Finally, the institutions shall accept in transfer from other state institutions prior learning assessment credit awarded for courses with guaranteed-transfer designation. During the 2018 legislative session, the department of higher education shall report to certain committees of the general assembly concerning the policies adopted by the institutions. (Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)",https://leg.colorado.gov/bills/HB17-1004
HB17-1005,2017,RS,Bill,Modernize Laws Relating To Office Of State Auditor,State Government,Introduced; Passed; Became Law,Representative Jeni Arndt; Senator Jack Tate,Rep. D. Thurlow; Sen. A. Kerr; Sen. D. Moreno,,"State, Veterans, and Military Affairs","State, Veterans, & Military Affairs",Concerning modernization of various laws relating to the office of the state auditor.,"Statutory Revision Committee. The bill updates various statutes pertaining to the office of the state auditor (OSA). Currently, the legislative audit committee (LAC) has the discretion to direct the state auditor to conduct a performance audit of any public highway authority; except that the LAC may not do so in any year during which the interim transportation legislation review committee (TLRC) meets. However, the TLRC is statutorily required to meet every year. Consequently, section 1 of the bill repeals the timing limitation so that such a performance audit can be requested at any time. The executive director of the department of revenue (DOR) is currently required to account monthly to the state treasurer regarding working capital retained by DOR and to provide copies of this accounting to the governor and the state auditor. Because DOR does not retain working capital, section 2 repeals this obsolete provision. Additionally, the state treasurer must provide copies of receipts for money transmitted daily from the executive director of DOR to the state auditor, in addition to providing one copy to the executive director and retaining one copy for his or her files. Section 2 also removes the requirement to provide the state auditor these copies. Pursuant to a statute created in 1881, holders of warrants from counties with more than $50,000 in floating indebtedness may exchange those warrants for county bonds, if the exchange is approved by election. County bonds so exchanged must be registered with OSA, and a ten-cent fee must be paid to OSA for recording each bond. Because this registration provision is obsolete, section 3 repeals the registration and recording fee requirements. Section 4 repeals an obsolete provision relating to an audit of the estimated actual operating costs of the enhanced emissions inspections program contractor, which audit was required to be completed by the end of 2001. (Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)",https://leg.colorado.gov/bills/HB17-1005
HB17-1006,2017,RS,Bill,Correct Statutory Citation In Rule Without Hearing,State Government,Introduced; Passed; Became Law,Representative Mike Foote; Senator Daniel Kagan,,,Judiciary,"State, Veterans, & Military Affairs",Concerning the authorization of a process to correct statutory citations contained in executive branch agency rules published in the code of Colorado regulations without the requirement to follow rule-making procedures.,"Committee on Legal Services. Under current law, if an executive branch agency rule, including a form incorporated into a rule, contains a citation to statute and the general assembly later relocates the statute in a way that renders the rule's citation to the statute inaccurate, to update the statutory citation the agency must conduct a rule-making hearing, including issuing a notice and receiving comments. The bill allows agencies to correct statutory citations in the code of Colorado regulations without notice, comment, or a hearing by submitting to the secretary of state a specific, written determination by the attorney general. (Note: This summary applies to this bill as introduced.)",https://leg.colorado.gov/bills/HB17-1006
HB17-1007,2017,RS,Bill,Tax Benefit Employer Collegeinvest Contribution,Fiscal Policy & Taxes,Introduced; Lost,Representative Alec Garnett; Senator Bob Gardner,,,Education,,"Concerning a tax benefit for an employer who contributes to an employee's collegeinvest account, and, in connection therewith, enacting the ""Increase College Savings Act"".","The starting point for determining state income tax liability is federal taxable income. This number is adjusted for additions and subtractions (deductions) that are used to determine Colorado taxable income, which amount is multiplied by the state's 4.63% income tax rate. The bill allows an employer, whether filing as an individual or a corporation, to claim a deduction for any amount that the employer contributes to an employee's college trust account or savings account that is administered by collegeinvest. This deduction may be claimed even if the contribution has already been deducted from the employer's federal taxable income. (Note: This summary applies to this bill as introduced.)",https://leg.colorado.gov/bills/HB17-1007
HB17-1008,2017,RS,Bill,Graywater Regulation Exemption For Scientific Research,Agriculture; Water,Introduced; Passed; Became Law,Representative Jeni Arndt; Senator Jerry Sonnenberg,Rep. J. Becker,Sen. R. Baumgardner; Sen. J. Cooke; Sen. L. Crowder; Sen. K. Grantham; Sen. J. Kefalas; Sen. V. Marble; Sen. B. Martinez Humenik; Sen. R. Scott; Sen. J. Tate,"Agriculture, Livestock, & Natural Resources","Agriculture, Natural Resources, & Energy",Concerning an exemption from the water quality control commission's graywater control regulations for graywater used for the purpose of scientific research involving human exposure.,"Water Resources Review Committee. The water quality control commission in the department of public health and environment (commission) is responsible for developing requirements, prohibitions, and standards that protect public health and water quality for the use of graywater for nondrinking purposes. Scientific research on graywater that might involve graywater uses and systems that do not strictly comply with the requirements, prohibitions, and standards developed by the commission would not be permitted under the control regulations. To facilitate scientific research related to graywater uses and systems, the bill creates an exemption from the commission's graywater control regulations for scientific research whereby a water utility, an institution of higher education in Colorado, or a public or private entity that a water utility or an institution of higher education in Colorado contracts with to conduct graywater research may collect, treat, and use graywater for purposes of scientific research if the entity: Utilizes a graywater treatment works system that incorporates a secondary water supply to provide an alternative source of water if any portion of the system does not function properly; however, scientific research involving the use of graywater exclusively for irrigation purposes need not incorporate a secondary water supply; and Collects, treats, and uses graywater in accordance with the terms and conditions of the decrees, contracts, and well permits applicable to the use of the source water rights or source water and any return flows. Only an institution of higher education or a person contracting with an institution of higher education may collect, treat, and use graywater for research involving human exposure. The entity conducting the research is required to report to the water resources review committee on an annual basis the results of periodic monitoring conducted to assess the continued functioning of the graywater treatment works system used in the project and, if the scientific research involves human exposure, the project's compliance with federal rules concerning the protection of human research subjects. (Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)",https://leg.colorado.gov/bills/HB17-1008
HB17-1009,2017,RS,Bill,Restore Nonessential Articles Tax Exemptions,Fiscal Policy & Taxes,Introduced; Lost,Representative Kevin Van Winkle,Rep. J. Becker; Rep. L. Landgraf; Rep. T. Leonard; Rep. L. Liston; Rep. H. McKean; Rep. C. Navarro; Rep. P. Neville; Rep. L. Saine,,"State, Veterans, and Military Affairs",,Concerning the reinstatement of the exemptions from state sales and use taxes for nonessential articles sold to sellers of items intended for human consumption that are furnished by the sellers to their customers with the items without the addition of a separate charge that were eliminated by House Bill 10-1194.,"Before March 1, 2010, state law exempted from state sales and use taxes all articles sold to sellers of food, meal, or beverage items that sellers furnish to their customers along with the items without adding a separate charge. Effective March 1, 2010, House Bill 10-1194 narrowed the exemptions by subjecting to state sales and use taxes any such articles that the department of revenue determined to be nonessential to the customer. Effective January 1, 2018, the bill reinstates the exemptions from state sales and use taxes for nonessential articles. (Note: This summary applies to this bill as introduced.)",https://leg.colorado.gov/bills/HB17-1009
HB17-1010,2017,RS,Bill,Dental Practice Act And Dental Hygiene,Public Health; State Government,Introduced; Passed; Became Law,Representative Joann Ginal; Senator Larry Crowder,,Sen. K. Grantham; Sen. M. Jones; Sen. J. Kefalas; Sen. M. Merrifield; Sen. J. Smallwood; Sen. J. Tate; Sen. N. Todd,"Health, Insurance, & Environment",Health & Human Services,Concerning the authority of the Colorado dental board to promulgate rules based on clarifications to existing laws that relate to collaborative dental agreements.,The bill clarifies that the Colorado dental board may promulgate rules for the use of lasers for dental and dental hygiene purposes within the defined scopes of practice and with appropriate supervision. The bill makes clarifications as to what is considered the practice of unsupervised dental hygiene. The bill also corrects a statutory reference. (Note: This summary applies to this bill as introduced.),https://leg.colorado.gov/bills/HB17-1010
