bill_number,session,session_type,bill_type,title,keywords,status,primary_sponsors,sponsors,cosponsors,house_committee,senate_committee,long_title,summary,bill_url
HB16-1001,2016,RS,Bill,State Contract Certify Compliance With Equal Pay Laws,Labor & Employment; State Government,Introduced; Lost,Representative Jessie Danielson; Representative Janet Buckner; Senator Jessie Ulibarri,Rep. J. Arndt; Rep. K. Becker; Rep. L. Court; Rep. C. Duran; Rep. D. Esgar; Rep. R. Fields; Rep. M. Foote; Rep. A. Garnett; Rep. J. Ginal; Rep. M. Hamner; Rep. D. Hullinghorst; Rep. D. Kagan; Rep. T. Kraft-Tharp; Rep. S. Lebsock; Rep. P. Lee; Rep. S. Lontine; Rep. E. McCann; Rep. J. Melton; Rep. D. Mitsch Bush; Rep. D. Moreno; Rep. D. Pabon; Rep. B. Pettersen; Rep. D. Primavera; Rep. P. Rosenthal; Rep. S. Ryden; Rep. J. Salazar; Rep. J. Singer; Rep. M. Tyler; Rep. E. Vigil; Rep. A. Williams; Rep. F. Winter; Rep. D. Young,,Business Affairs and Labor,"State, Veterans, & Military Affairs",Concerning a requirement that a business performing work for the state pursuant to a state contract comply with equal pay standards.,"The bill requires a business that bids for a contract with a governmental body to be in compliance with the equal pay standards specified in the bill; except that this requirement does not apply to businesses that have 50 or fewer employees. A business that is awarded a contract is required to include in the contact for subcontractor that it uses to fulfill the terms of the contract that the subcontractor is in compliance with the equal pay standards specified in the bill. All businesses that are awarded contracts by a governmental body or that are subcontractors for a business that was awarded a contract by a governmental body are required to keep and maintain certain information related to their employees, broken down into categories by race, sex, and national origin, for the term of the contract with the governmental body. The department of labor and employment (department) may receive complaints about a contractor or subcontractor's potential violation of the equal pay requirements specified in the bill and may investigate the records that the contractor or subcontractor, as applicable, is required to keep. If the department determines that the contractor or subcontractor, as applicable, has knowingly violated the equal pay standards, the department may impose a specified fine on the contractor or subcontractor. If, after awarding a contract to a business, a governmental body determines that the business was knowingly not in compliance with the equal pay standards required by the bill, the governmental body may terminate the contract. (Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)",https://leg.colorado.gov/bills/HB16-1001
HB16-1002,2016,RS,Bill,Employee Leave Attend Child's Academic Activities,Education & School Finance (Pre & K-12); Labor & Employment,Introduced; Lost,Representative Janet Buckner; Senator Andy Kerr,Rep. R. Fields,Rep. J. Arndt; Rep. K. Becker; Rep. L. Court; Rep. J. Danielson; Rep. C. Duran; Rep. D. Esgar; Rep. M. Foote; Rep. A. Garnett; Rep. J. Ginal; Rep. M. Hamner; Rep. D. Hullinghorst; Rep. D. Kagan; Rep. T. Kraft-Tharp; Rep. S. Lebsock; Rep. P. Lee; Rep. S. Lontine; Rep. E. McCann; Rep. J. Melton; Rep. D. Mitsch Bush; Rep. D. Moreno; Rep. B. Pettersen; Rep. D. Primavera; Rep. P. Rosenthal; Rep. S. Ryden; Rep. J. Salazar; Rep. J. Singer; Rep. M. Tyler; Rep. E. Vigil; Rep. A. Williams; Rep. F. Winter; Rep. D. Young,Education,"State, Veterans, & Military Affairs",Concerning the ability of an employee of an employer who employs at least fifty employees to take up to eighteen hours of leave from work for purposes of attending his or her child's academic activities.,"In 2009, the general assembly enacted the 'Parental Involvement in K-12 Education Act' (2009 act), which allowed an employee of an employer who is subject to the federal 'Family and Medical Leave Act' to take leave from work for the purpose of attending academic activities for or with the employee's child. Under the 2009 act, academic activities included parent-teacher conferences or meetings related to special education services, interventions, dropout prevention, attendance, truancy, or discipline issues. The leave was allowed for an employee who is the parent or legal guardian of a child enrolled in a public or private school or in a nonpublic home-based educational program in this state in kindergarten through twelfth grade.Leave under the 2009 act was limited to 6 hours per month and 18 hours in any academic year. The 2009 act permitted employers to: Restrict the use of leave in cases of emergency or other situations that may endanger a person's health or safety or if the employee's absence would halt the employer's service or production; and Limit the leave to 3-hour increments at a time and require the employee to submit written verification from the school or school district of the activity necessitating the leave. An employee was required to provide the employer with at least one week's notice of the leave except in emergency situations.The 2009 act specified that the 2009 act would repeal on September 1, 2015. The repeal provision was never amended, so the 2009 act repealed on September 1, 2015.The bill recreates and reenacts the 2009 act with some modifications as follows: Requires school districts and institute charter schools to post on their websites, and include in district-wide or school-wide communications sent to parents and the community at large, information about the act; Requires the Colorado state advisory council for parent involvement in education to also provide information about the act to the extent possible within existing resources; and Continues the act indefinitely and amends the original repeal date in the 2009 act to specify that the repeal was to apply only to the 2009 act. (Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)",https://leg.colorado.gov/bills/HB16-1002
HB16-1003,2016,RS,Bill,Middle Class College Savings Act,Fiscal Policy & Taxes; Higher Education,Introduced; Lost,Representative Brittany Pettersen; Representative Dave Young; Senator Michael Merrifield; Senator Nancy Todd,,Rep. J. Buckner; Rep. L. Court; Rep. C. Duran; Rep. D. Esgar; Rep. R. Fields; Rep. A. Garnett; Rep. J. Ginal; Rep. M. Hamner; Rep. D. Hullinghorst; Rep. P. Lee; Rep. S. Lontine; Rep. J. Melton; Rep. D. Mitsch Bush; Rep. D. Moreno; Rep. P. Rosenthal; Rep. S. Ryden; Rep. J. Salazar; Rep. J. Singer; Rep. A. Williams; Rep. F. Winter,Education,"State, Veterans, & Military Affairs",Concerning the state income tax deductions for contributions to and distributions of investment earnings from the qualified state tuition program established by collegeinvest.,"For purposes of calculating a taxpayer's Colorado taxable income, current state law begins from a base of the taxpayer's federal taxable income and provides for various modifications to that base, including subtractions from federal taxable income (state income tax deductions) in amounts equal to the full amounts of both contributions made by a taxpayer to the qualified state tuition program established by collegeinvest and distributions of investment earnings taken from the plan. The bill modifies these state income tax deductions by making the percentages of the amounts of contributions or distributions allowed to be subtracted from a taxpayer's taxable income dependent upon the amount of the taxpayer's federal adjusted gross income as follows: 200% of the amounts of contributions or distributions for a taxpayer whose federal adjusted gross income is $150,000 or less; 150% of the amounts of contributions or distributions for a taxpayer whose federal adjusted gross income is more than $150,000 but not more than $250,000; and 40% of the amounts of contributions or distributions for a taxpayer whose federal adjusted gross income is more than $250,000 but not more than $500,000. The bill eliminates deductions for a taxpayer whose federal adjusted gross income is more than $500,000. (Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)",https://leg.colorado.gov/bills/HB16-1003
HB16-1004,2016,RS,Bill,Measurable Goals Deadlines Colorado Climate Action Plan,Energy; Natural Resources & Environment,Introduced; Lost,Representative Faith Winter; Representative Jeni Arndt; Senator John Kefalas,,Rep. K. Becker; Rep. J. Buckner; Rep. L. Court; Rep. J. Danielson; Rep. C. Duran; Rep. D. Esgar; Rep. R. Fields; Rep. M. Foote; Rep. A. Garnett; Rep. J. Ginal; Rep. M. Hamner; Rep. D. Hullinghorst; Rep. T. Kraft-Tharp; Rep. P. Lee; Rep. S. Lontine; Rep. E. McCann; Rep. J. Melton; Rep. D. Mitsch Bush; Rep. D. Moreno; Rep. D. Pabon; Rep. B. Pettersen; Rep. D. Primavera; Rep. P. Rosenthal; Rep. S. Ryden; Rep. J. Salazar; Rep. A. Williams; Rep. D. Young,"Health, Insurance, & Environment","Agriculture, Natural Resources, & Energy",Concerning a requirement to include measurable goals that are subject to deadlines in Colorado's climate action plan.,"The bill requires: The state climate action plan to include specific measurable goals based on the best available science, the achievement of which will both reduce Colorado's greenhouse gas emissions and increase Colorado's adaptive capability to respond to climate change, along with associated near-term, mid-term, and long-term deadlines to achieve the goals; and The annual climate report to the general assembly to include an analysis of the progress made in meeting the measurable goals and deadlines specified in the plan. The analysis must include an estimate of the economic, social, and health impact on low-income individuals in Colorado that results or would result from meeting the deadlines as planned. (Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)",https://leg.colorado.gov/bills/HB16-1004
HB16-1005,2016,RS,Bill,Residential Precipitation Collection,Water,Introduced; Passed; Became Law,Representative Daneya Esgar; Representative Jessie Danielson; Senator Michael Merrifield,,Rep. J. Arndt; Rep. K. Becker; Rep. J. Buckner; Rep. L. Court; Rep. C. Duran; Rep. R. Fields; Rep. M. Foote; Rep. J. Ginal; Rep. M. Hamner; Rep. D. Hullinghorst; Rep. T. Kraft-Tharp; Rep. P. Lee; Rep. S. Lontine; Rep. J. Melton; Rep. D. Mitsch Bush; Rep. D. Moreno; Rep. D. Pabon; Rep. B. Pettersen; Rep. K. Priola; Rep. B. Rankin; Rep. P. Rosenthal; Rep. J. Singer; Rep. M. Tyler; Rep. A. Williams; Rep. F. Winter; Rep. D. Young; Sen. I. Aguilar; Sen. M. Carroll; Sen. K. Donovan; Sen. L. Garcia; Sen. R. Heath; Sen. O. Hill; Sen. C. Jahn; Sen. M. Johnston; Sen. M. Jones; Sen. J. Kefalas; Sen. A. Kerr; Sen. L. Newell; Sen. E. Roberts; Sen. P. Steadman; Sen. N. Todd,"Agriculture, Livestock, & Natural Resources","Agriculture, Natural Resources, & Energy",Concerning the use of rain barrels to collect precipitation from a residential rooftop for nonpotable outdoor uses.,"Section 1 of the act allows the collection of precipitation from a residential rooftop if: A maximum of 2 rain barrels with a combined storage capacity of 110 gallons or less are used; Precipitation is collected from the rooftop of a building that is used primarily as a single-family residence or a multi-family residence with 4 or fewer units; The collected precipitation is used on the residential property on which the precipitation is collected; and The collected precipitation is applied to outdoor purposes such as lawn irrigation and gardening. Section 1 also requires the state engineer, to the extent practicable within existing resources, to provide information on the permitted use of rain barrels on the state engineer's website. Section 1 further sets forth the procedure by which the state engineer could curtail the use of rain barrels based on a determination of material injury. Finally, section 1 requires the state engineer to report to the agriculture committees in the general assembly in 2019 and 2022 on whether residential precipitation collection has caused any discernible injury to downstream water rights. Section 2 requires the department of public health and environment, to the extent practicable within existing resources, to develop best practices for nonpotable usage of collected precipitation and vector control and to post any best practices developed on the department's website. Section 3 prevents a homeowners' association from prohibiting a unit owner from using rain barrels for precipitation collection, with certain exceptions for leased or attached units or common elements. Section 3 allows a homeowners' association to impose reasonable aesthetic requirements on the placement or appearance of a rain barrel. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB16-1005
HB16-1006,2016,RS,Bill,Clarify Tax Exemptions For Housing Authorities,Fiscal Policy & Taxes; Housing; Local Government,Introduced; Passed; Became Law,Representative KC Becker; Representative Alec Garnett; Senator Owen Hill,,Rep. R. Fields; Rep. D. Hullinghorst; Rep. D. Kagan; Rep. T. Kraft-Tharp; Rep. S. Lebsock; Rep. S. Lontine; Rep. J. Melton; Rep. D. Mitsch Bush; Rep. D. Moreno; Rep. D. Pabon; Rep. B. Pettersen; Rep. K. Priola; Rep. S. Ryden; Rep. J. Singer; Rep. M. Tyler; Rep. A. Williams; Rep. F. Winter; Rep. D. Young; Sen. L. Garcia; Sen. C. Holbert; Sen. C. Jahn; Sen. J. Kefalas; Sen. A. Kerr; Sen. J. Ulibarri; Sen. L. Woods,Finance,Finance,"Concerning clarification of the scope of the exemption from government charges for property owned by or leased to a housing authority or owned by, leased to, or under construction by an entity that is wholly owned by an authority, an entity in which an authority has an ownership interest, or an entity in which an entity wholly owned by an authority or of which an authority is the sole member has an ownership interest.","House Bill 00-1284, concerning housing authorities, extended to housing authority subsidiaries the same exemptions from payment of taxes and fees levied by the state and its subdivisions (government charges) as enjoyed by public housing authorities. In 2013, the department of revenue (department) revised its interpretation of that law, resulting in certain exemptions for housing authority subsidiaries being disallowed. The act clarifies the scope of the exemption from government charges for property owned by or leased to a housing authority or owned by, leased to, or under construction by an entity that is wholly owned by an authority, an entity in which an authority has an ownership interest, or an entity in which an entity wholly owned by an authority or of which an authority is the sole member has an ownership interest so that the department again allows the exemption to subsidiaries to the same extent as it had been allowing them before the department's 2013 reinterpretation of the law. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB16-1006
HB16-1007,2016,RS,Bill,Offenses Against Unborn Children,"Crimes, Corrections, & Enforcement",Introduced; Lost,Representative Janak Joshi,Rep. G. Klingenschmitt; Rep. L. Landgraf; Rep. P. Lundeen; Rep. C. Navarro; Rep. K. Ransom; Rep. L. Saine; Rep. J. Windholz,,Business Affairs and Labor,,Concerning offenses against an unborn child.,"The bill provides that, if the commission of any crime codified in the criminal code or traffic code is the proximate cause of death or injury to an unborn member of the species homo sapiens, the prosecuting attorney, in charging the underlying offense, may also charge the homicide or assault offense that is appropriate to the death or injury. (Note: This summary applies to this bill as introduced.)",https://leg.colorado.gov/bills/HB16-1007
HB16-1008,2016,RS,Bill,Roadway Shoulder Access For Buses,Transportation & Motor Vehicles,Introduced; Passed; Became Law,Representative Faith Winter; Representative Jon Becker; Senator John Cooke; Senator Rollie Heath,,Rep. K. Becker; Rep. C. Duran; Rep. D. Esgar; Rep. A. Garnett; Rep. D. Hullinghorst; Rep. D. Kagan; Rep. T. Kraft-Tharp; Rep. S. Lebsock; Rep. S. Lontine; Rep. D. Mitsch Bush; Rep. D. Moreno; Rep. B. Pettersen; Rep. S. Ryden; Sen. M. Carroll; Sen. L. Guzman; Sen. M. Jones; Sen. A. Kerr; Sen. N. Todd; Sen. J. Ulibarri,Transportation & Energy,Transportation,Concerning authorization for the department of transportation to designate an area on a roadway not otherwise laned for traffic for use by commercial vehicles designed to transport sixteen passengers or more that are operated by a governmental entity or government-owned business that transports the general public or by a contractor on behalf of such an entity or government-owned business.,"The department of transportation (CDOT) is authorized to designate an area on a roadway not otherwise laned for traffic for use by commercial vehicles that are designed to transport 16 passengers or more, including the driver, and that are operated by a governmental entity or a government-owned business that transports the general public or by a contractor on behalf of such an entity or government-owned business. Only a vehicle authorized by CDOT and operating under conditions of use established by CDOT may travel on such a designated area but, subject to the conditions of use, the driver of an authorized vehicle has sole discretion to decide whether or not to drive on such an area based on the driver's assessment of the safety of doing so. CDOT must consult with the Colorado state patrol before making such a designation and establishing conditions of use for the designated area and must work with local governmental agencies in implementing such a designation and associated conditions of use. CDOT must impose and each authorized user must acknowledge the conditions of use for the designated area by written agreement. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB16-1008
HB16-1009,2016,RS,Bill,Fallen Heroes License Plates Local Authorities,Transportation & Motor Vehicles,Introduced; Lost,Representative Perry Buck; Senator John Cooke,,Rep. K. Becker; Rep. C. Duran; Rep. R. Fields; Rep. J. Ginal; Rep. M. Hamner; Rep. D. Kagan; Rep. T. Kraft-Tharp; Rep. S. Lebsock; Rep. D. Pabon; Rep. B. Pettersen; Rep. K. Priola; Rep. L. Saine; Rep. A. Williams; Rep. D. Young,Transportation & Energy,Finance,"Concerning the issuance of fallen heroes license plates, and, in connection therewith, making an appropriation.","The bill authorizes local authorities to be issued fallen hero license plates. If issued to a local authority, the plate must have the government indicator. Local authorities need only pay the required donation. The bill clarifies that the fallen hero license plate is a distinctive special license plate. The retirement date of the plate is repealed. $37,490 is appropriated to the department of revenue to implement the bill. (Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)",https://leg.colorado.gov/bills/HB16-1009
HB16-1010,2016,RS,Bill,Destructive Rodent Pest Release Authorization Requirements,Agriculture; Local Government; Natural Resources & Environment; State Government,Introduced; Lost,Representative Kevin Priola; Senator Jerry Sonnenberg,Rep. T. Dore; Rep. J. Windholz,,"State, Veterans, and Military Affairs",,Concerning the authorization process for the release of destructive rodent pests into a county.,"The bill: Requires a person who plans to release destructive rodent pests into a county to notify any conservation district that includes a release location of the planned release; and With respect to the existing requirement that the parks and wildlife commission and the board of county commissioners approve the release of destructive rodent pests into a county, repeals the existing exception for a release that occurs in the same county in which the pests were originally captured. (Note: This summary applies to this bill as introduced.)",https://leg.colorado.gov/bills/HB16-1010
