bill_number,session,session_type,chamber,action_date,action,order
HB18-1001,2018,RS,House,2018-01-10,Introduced In House - Assigned to Business Affairs and Labor,1
HB18-1001,2018,RS,House,2018-02-06,House Committee on Business Affairs and Labor Refer Amended to Finance,2
HB18-1001,2018,RS,House,2018-03-07,House Committee on Finance Refer Unamended to Appropriations,3
HB18-1001,2018,RS,House,2018-04-06,House Committee on Appropriations Refer Amended to House Committee of the Whole,4
HB18-1001,2018,RS,House,2018-04-06,House Second Reading Special Order - Passed with Amendments - Committee,5
HB18-1001,2018,RS,House,2018-04-09,House Third Reading Laid Over to 04/16/2018 - No Amendments,6
HB18-1001,2018,RS,House,2018-04-16,House Third Reading Passed - No Amendments,7
HB18-1001,2018,RS,Senate,2018-04-20,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",8
HB18-1001,2018,RS,Senate,2018-04-30,"Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",9
HB18-1002,2018,RS,House,2018-01-10,Introduced In House - Assigned to Education,1
HB18-1002,2018,RS,House,2018-01-29,House Committee on Education Refer Amended to Appropriations,2
HB18-1002,2018,RS,House,2018-04-11,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB18-1002,2018,RS,House,2018-04-12,House Second Reading Special Order - Laid Over Daily - No Amendments,4
HB18-1002,2018,RS,House,2018-04-13,House Second Reading Special Order - Laid Over to 04/16/2018 - No Amendments,5
HB18-1002,2018,RS,House,2018-04-16,"House Second Reading Passed with Amendments - Committee, Floor",6
HB18-1002,2018,RS,House,2018-04-17,House Third Reading Passed - No Amendments,7
HB18-1002,2018,RS,Senate,2018-04-17,Introduced In Senate - Assigned to Education,8
HB18-1002,2018,RS,Senate,2018-04-25,Senate Committee on Education Refer Unamended to Appropriations,9
HB18-1002,2018,RS,Senate,2018-05-04,Senate Committee on Appropriations Refer Unamended to Senate Committee of the Whole,10
HB18-1002,2018,RS,Senate,2018-05-07,Senate Second Reading Special Order - Passed - No Amendments,11
HB18-1002,2018,RS,Senate,2018-05-08,Senate Third Reading Passed - No Amendments,12
HB18-1002,2018,RS,House,2018-05-16,Signed by the Speaker of the House,13
HB18-1002,2018,RS,Senate,2018-05-16,Signed by the President of the Senate,14
HB18-1002,2018,RS,Governor,2018-05-16,Sent to the Governor,15
HB18-1002,2018,RS,Governor,2018-05-25,Governor Signed,16
HB18-1003,2018,RS,House,2018-01-10,Introduced In House - Assigned to Public Health Care & Human Services,1
HB18-1003,2018,RS,House,2018-03-13,House Committee on Public Health Care & Human Services Refer Amended to Appropriations,2
HB18-1003,2018,RS,House,2018-04-19,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB18-1003,2018,RS,House,2018-04-19,"House Second Reading Special Order - Passed with Amendments - Committee, Floor",4
HB18-1003,2018,RS,House,2018-04-20,House Third Reading Passed - No Amendments,5
HB18-1003,2018,RS,Senate,2018-04-23,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",6
HB18-1003,2018,RS,Senate,2018-04-25,"Senate Committee on State, Veterans, & Military Affairs Refer Amended to Legislative Council",7
HB18-1003,2018,RS,Senate,2018-04-26,Senate Committee on Legislative Council Refer Unamended to Appropriations,8
HB18-1003,2018,RS,Senate,2018-04-27,Senate Committee on Appropriations Refer Amended to Senate Committee of the Whole,9
HB18-1003,2018,RS,Senate,2018-05-01,"Senate Second Reading Passed with Amendments - Committee, Floor",10
HB18-1003,2018,RS,Senate,2018-05-02,Senate Third Reading Passed - No Amendments,11
HB18-1003,2018,RS,House,2018-05-02,House Considered Senate Amendments - Result was to Laid Over Daily,12
HB18-1003,2018,RS,House,2018-05-04,House Considered Senate Amendments - Result was to Concur - Repass,13
