bill_number,session,session_type,chamber,action_date,action,order
HB20-1001,2020,RS,House,2020-01-08,Introduced In House - Assigned to Health & Insurance,1
HB20-1001,2020,RS,House,2020-02-12,House Committee on Health & Insurance Refer Amended to Finance,2
HB20-1001,2020,RS,House,2020-03-02,House Committee on Finance Refer Unamended to Appropriations,3
HB20-1001,2020,RS,House,2020-03-06,House Committee on Appropriations Refer Amended to House Committee of the Whole,4
HB20-1001,2020,RS,House,2020-03-06,House Second Reading Special Order - Laid Over Daily - No Amendments,5
HB20-1001,2020,RS,House,2020-03-09,"House Second Reading Passed with Amendments - Committee, Floor",6
HB20-1001,2020,RS,House,2020-03-10,House Third Reading Passed - No Amendments,7
HB20-1001,2020,RS,Senate,2020-03-13,Introduced In Senate - Assigned to Finance,8
HB20-1001,2020,RS,Senate,2020-05-26,Senate Committee on Finance Refer Unamended to Appropriations,9
HB20-1001,2020,RS,Senate,2020-06-02,Senate Committee on Appropriations Refer Unamended to Senate Committee of the Whole,10
HB20-1001,2020,RS,Senate,2020-06-04,Senate Second Reading Passed with Amendments - Floor,11
HB20-1001,2020,RS,Senate,2020-06-05,Senate Third Reading Passed with Amendments - Floor,12
HB20-1001,2020,RS,House,2020-06-08,House Considered Senate Amendments - Result was to Laid Over Daily,13
HB20-1001,2020,RS,House,2020-06-12,House Considered Senate Amendments - Result was to Concur - Repass,14
HB20-1001,2020,RS,House,2020-07-02,Signed by the Speaker of the House,15
HB20-1001,2020,RS,Senate,2020-07-02,Signed by the President of the Senate,16
HB20-1001,2020,RS,Governor,2020-07-02,Sent to the Governor,17
HB20-1001,2020,RS,Governor,2020-07-14,Governor Signed,18
HB20-1002,2020,RS,House,2020-01-08,Introduced In House - Assigned to Education + Appropriations,1
HB20-1002,2020,RS,House,2020-01-28,House Committee on Education Refer Amended to Appropriations,2
HB20-1002,2020,RS,House,2020-03-13,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB20-1002,2020,RS,House,2020-05-28,House Second Reading Laid Over Daily - No Amendments,4
HB20-1002,2020,RS,House,2020-06-01,House Second Reading Passed with Amendments - Committee,5
HB20-1002,2020,RS,House,2020-06-02,House Third Reading Laid Over Daily - No Amendments,6
HB20-1002,2020,RS,House,2020-06-04,House Third Reading Passed - No Amendments,7
HB20-1002,2020,RS,Senate,2020-06-05,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",8
HB20-1002,2020,RS,Senate,2020-06-06,"Senate Committee on State, Veterans, & Military Affairs Refer Unamended to Finance",9
HB20-1002,2020,RS,Senate,2020-06-08,Senate Committee on Finance Refer Unamended to Appropriations,10
HB20-1002,2020,RS,Senate,2020-06-09,Senate Committee on Appropriations Refer Unamended - Consent Calendar to Senate Committee of the Whole,11
HB20-1002,2020,RS,Senate,2020-06-09,Senate Second Reading Special Order - Passed - No Amendments,12
HB20-1002,2020,RS,Senate,2020-06-10,Senate Third Reading Passed - No Amendments,13
HB20-1002,2020,RS,Senate,2020-06-26,Signed by the President of the Senate,14
HB20-1002,2020,RS,House,2020-06-26,Signed by the Speaker of the House,15
HB20-1002,2020,RS,Governor,2020-06-26,Sent to the Governor,16
HB20-1002,2020,RS,Governor,2020-07-08,Governor Signed,17
HB20-1003,2020,RS,House,2020-01-08,Introduced In House - Assigned to Rural Affairs & Agriculture,1
HB20-1003,2020,RS,House,2020-01-27,House Committee on Rural Affairs & Agriculture Refer Unamended to Finance,2
HB20-1003,2020,RS,House,2020-02-06,House Committee on Finance Refer Amended to Appropriations,3
HB20-1003,2020,RS,House,2020-03-06,House Committee on Appropriations Refer Amended to House Committee of the Whole,4
HB20-1003,2020,RS,House,2020-03-06,House Second Reading Special Order - Passed with Amendments - Committee,5
HB20-1003,2020,RS,House,2020-03-09,House Third Reading Passed - No Amendments,6
HB20-1003,2020,RS,Senate,2020-03-11,Introduced In Senate - Assigned to Finance,7
HB20-1003,2020,RS,Senate,2020-05-26,Senate Committee on Finance Refer Unamended to Appropriations,8
HB20-1003,2020,RS,Senate,2020-06-02,Senate Committee on Appropriations Refer Amended - Consent Calendar to Senate Committee of the Whole,9
HB20-1003,2020,RS,Senate,2020-06-03,Senate Second Reading Special Order - Passed with Amendments - Committee,10
HB20-1003,2020,RS,Senate,2020-06-04,Senate Third Reading Passed - No Amendments,11
HB20-1003,2020,RS,House,2020-06-05,House Considered Senate Amendments - Result was to Laid Over Daily,12
HB20-1003,2020,RS,House,2020-06-10,House Considered Senate Amendments - Result was to Concur - Repass,13
HB20-1003,2020,RS,Senate,2020-06-26,Signed by the President of the Senate,14
HB20-1003,2020,RS,House,2020-06-26,Signed by the Speaker of the House,15
HB20-1003,2020,RS,Governor,2020-06-26,Sent to the Governor,16
HB20-1003,2020,RS,Governor,2020-07-06,Governor Signed,17
HB20-1004,2020,RS,House,2020-01-08,Introduced In House - Assigned to Rural Affairs & Agriculture,1
HB20-1004,2020,RS,House,2020-01-27,House Committee on Rural Affairs & Agriculture Refer Amended to Finance,2
HB20-1004,2020,RS,House,2020-02-24,House Committee on Finance Refer Amended to Appropriations,3
HB20-1004,2020,RS,House,2020-06-16,House Committee on Appropriations Lay Over Unamended - Amendment(s) Failed,4
HB20-1005,2020,RS,House,2020-01-08,Introduced In House - Assigned to Education,1
HB20-1005,2020,RS,House,2020-02-06,House Committee on Education Refer Amended to Appropriations,2
HB20-1005,2020,RS,House,2020-03-06,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB20-1005,2020,RS,House,2020-03-06,House Second Reading Special Order - Passed with Amendments - Committee,4
HB20-1005,2020,RS,House,2020-03-09,House Third Reading Passed - No Amendments,5
HB20-1005,2020,RS,Senate,2020-03-10,Introduced In Senate - Assigned to Education,6
HB20-1005,2020,RS,Senate,2020-05-27,Senate Committee on Education Postpone Indefinitely,7
HB20-1006,2020,RS,House,2020-01-08,Introduced In House - Assigned to Public Health Care & Human Services + Appropriations,1
