bill_number,session,session_type,bill_type,title,keywords,status,primary_sponsors,sponsors,cosponsors,house_committee,senate_committee,long_title,summary,bill_url
HB19-1001,2019,RS,Bill,Hospital Transparency Measures To Analyze Efficacy,Health Care & Health Insurance,Introduced; Passed; Became Law,Representative Chris Kennedy; Senator Dominick Moreno; Senator Bob Rankin,,Rep. J. Arndt; Rep. K. Becker; Rep. A. Benavidez; Rep. S. Bird; Rep. J. Buckner; Rep. B. Buentello; Rep. Y. Caraveo; Rep. T. Carver; Rep. J. Coleman; Rep. L. Cutter; Rep. M. Duran; Rep. D. Esgar; Rep. T. Exum; Rep. M. Froelich; Rep. R. Galindo; Rep. A. Garnett; Rep. S. Gonzales-Gutierrez; Rep. M. Gray; Rep. C. Hansen; Rep. L. Herod; Rep. E. Hooton; Rep. D. Jackson; Rep. S. Jaquez Lewis; Rep. C. Kipp; Rep. T. Kraft-Tharp; Rep. C. Larson; Rep. L. Liston; Rep. S. Lontine; Rep. J. McCluskie; Rep. J. Melton; Rep. D. Michaelson Jenet; Rep. K. Mullica; Rep. K. Ransom; Rep. D. Roberts; Rep. J. Singer; Rep. E. Sirota; Rep. M. Snyder; Rep. T. Sullivan; Rep. K. Tipper; Rep. B. Titone; Rep. A. Valdez; Rep. M. Weissman; Sen. J. Bridges; Sen. D. Coram; Sen. L. Court; Sen. J. Danielson; Sen. K. Donovan; Sen. S. Fenberg; Sen. L. Garcia; Sen. J. Ginal; Sen. P. Lee; Sen. B. Pettersen; Sen. R. Rodriguez; Sen. N. Todd; Sen. A. Williams; Sen. F. Winter,Health & Insurance,Health & Human Services,Concerning hospital transparency measures required to analyze the efficacy of hospital delivery system reform incentive payments.,"Hospitals - healthcare affordability and sustainability enterprise board - annual hospital expenditure report - hospital report card and hospital charge report recommendations. The act requires the department of health care policy and financing (department), in consultation with the Colorado healthcare affordability and sustainability enterprise board, to develop and prepare an annual report detailing uncompensated hospital costs and the different categories of expenditures made by hospitals in the state (hospital expenditure report). In compiling the hospital expenditure report, the department shall use publicly available data sources whenever possible. Each hospital in the state is required to make available to the department certain information. Prior to issuing the hospital expenditure report, each hospital referenced in the report has 15 days to review the report and submit clarifications or corrections to the department. Additionally, the department is required to provide a statewide hospital association any information it receives from hospitals in the development of the hospital expenditure report. The department is required to submit the hospital expenditure report to the governor, specified committees of the general assembly, and the medical services board in the department by January 15, 2020, and each year thereafter. The department is also directed to post the hospital expenditure report on the department's website. The act requires the department, in consultation with the department of public health and environment and the division of insurance, to determine whether the hospital report card and the hospital charge report that exist under current law require any structural or substantive changes. Any such recommendations to that effect are required to be made to the general assembly by November 1, 2019. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB19-1001
HB19-1002,2019,RS,Bill,Leadership Professional Development For School Principals,Education & School Finance (Pre & K-12),Introduced; Passed; Became Law,Representative Barbara McLachlan; Representative James Wilson; Senator Rachel Zenzinger; Senator Kevin Priola,,Rep. S. Bird; Rep. J. Buckner; Rep. B. Buentello; Rep. Y. Caraveo; Rep. M. Catlin; Rep. L. Cutter; Rep. C. deGruy Kennedy; Rep. M. Duran; Rep. D. Esgar; Rep. T. Exum; Rep. R. Galindo; Rep. M. Gray; Rep. C. Hansen; Rep. E. Hooton; Rep. D. Jackson; Rep. C. Kipp; Rep. S. Lontine; Rep. J. Melton; Rep. D. Michaelson Jenet; Rep. M. Snyder; Rep. K. Tipper; Rep. B. Titone; Rep. D. Valdez; Sen. J. Bridges; Sen. L. Court; Sen. S. Fenberg; Sen. R. Fields; Sen. L. Garcia; Sen. J. Ginal; Sen. P. Lee; Sen. D. Moreno; Sen. B. Pettersen; Sen. T. Story; Sen. N. Todd; Sen. F. Winter,Education,"State, Veterans, & Military Affairs","Concerning professional development in leadership for public school principals, and, in connection therewith, making an appropriation.","School leadership pilot program - appropriation. The act creates the school leadership pilot program (program) to provide professional development for public elementary, middle, and high school principals. During the 2019-20 budget year, the department of education (department) is directed to design and implement the program or contract with a nonprofit entity or institution of higher education (contracted entity) to design and implement the program. The program must include identification of high-quality school principals who will interact with the school principals selected to receive professional development through the program. The program must also include professional development in distributive and collaborative leadership skills with the goal of improving educator retention, school climate and culture, and student outcomes. School principals may apply to receive professional development through the program during the 2020-21 and 2021-22 budget years. The department or the contracted entity must review the applications and select the participants. Subject to available appropriations, the department must provide grants to the employers of the school principals who participate in the program either as high-quality school principals or to receive professional development. By March 15, 2020, the department must report to the education committees of the general assembly concerning the design of the program. By January 15, 2022, the department must report to the education committees concerning implementation of the program, including recommendations for whether the program should be continued. The program is repealed, effective July 1, 2022. For the 2019-20 fiscal year, the act appropriates $272,929 from the general fund to the department to implement the program. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB19-1002
HB19-1003,2019,RS,Bill,Community Solar Gardens Modernization Act,Business & Economic Development; Energy,Introduced; Passed; Became Law,Representative Chris Hansen; Representative Alex Valdez; Senator Mike Foote; Senator Tammy Story,,Rep. J. Arndt; Rep. K. Becker; Rep. S. Bird; Rep. J. Coleman; Rep. L. Cutter; Rep. C. deGruy Kennedy; Rep. T. Exum; Rep. E. Hooton; Rep. S. Jaquez Lewis; Rep. C. Kipp; Rep. S. Lontine; Rep. J. McCluskie; Rep. D. Michaelson Jenet; Rep. D. Roberts; Rep. J. Singer; Rep. E. Sirota; Rep. M. Snyder; Rep. D. Valdez; Rep. M. Weissman; Sen. J. Bridges; Sen. L. Court; Sen. J. Danielson; Sen. K. Donovan; Sen. S. Fenberg; Sen. R. Fields; Sen. L. Garcia; Sen. J. Ginal; Sen. P. Lee; Sen. D. Moreno; Sen. B. Pettersen; Sen. R. Rodriguez; Sen. N. Todd; Sen. F. Winter,Energy & Environment,Transportation & Energy,Concerning community solar gardens.,"Electric utilities - solar energy - community solar gardens - allowable size and location - standards for construction and installation of components. The act amends the current statute authorizing the creation of community solar gardens (CSGs) by: Increasing the maximum size of a CSG from 2 megawatts to 5 megawatts, with the option for the public utilities commission (PUC) to authorize construction of a CSG up to 10 megawatts beginning July 1, 2023; Removing the requirement that a CSG subscriber's identified physical location be in the same county as, or a county adjacent to, that of the CSG, while retaining the requirement that it be within the service territory of the same investor-owned utility; and Requiring all photovoltaic electrical work on a CSG of greater than 2 megawatts to be supervised by a licensed master electrician, licensed journeyman electrician, or licensed residential wireman, and comply with all applicable electrical codes and standards. If an investor-owned utility owns all or part of a CSG, the utility is required to use either its own employees or a contractor whose employees have access to specified apprenticeship programs to operate and maintain the CSG. Beginning in 2020, all photovoltaic electrical work for installations of at least 300 kilowatts must be performed by a licensed master electrician, licensed journeyman electrician, licensed residential wireman, or properly supervised electrical apprentices and must comply with all applicable electrical codes and standards. The PUC shall determine the conditions under which a subscriber to a CSG may choose to retain or sell the renewable energy credits attributable to the subscriber's participation in the CSG. Section 4 of the act is contingent upon House Bill 19-1172 becoming law. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB19-1003
HB19-1004,2019,RS,Bill,Proposal For Affordable Health Coverage Option,Health Care & Health Insurance,Introduced; Passed; Became Law,Representative Dylan Roberts; Representative Marc Catlin; Senator Kerry Donovan,,Rep. J. Arndt; Rep. K. Becker; Rep. S. Bird; Rep. J. Buckner; Rep. B. Buentello; Rep. Y. Caraveo; Rep. L. Cutter; Rep. C. deGruy Kennedy; Rep. M. Duran; Rep. D. Esgar; Rep. T. Exum; Rep. M. Froelich; Rep. R. Galindo; Rep. A. Garnett; Rep. M. Gray; Rep. L. Herod; Rep. E. Hooton; Rep. D. Jackson; Rep. S. Jaquez Lewis; Rep. C. Kipp; Rep. S. Lontine; Rep. J. McCluskie; Rep. B. McLachlan; Rep. D. Michaelson Jenet; Rep. K. Mullica; Rep. J. Singer; Rep. E. Sirota; Rep. M. Snyder; Rep. K. Tipper; Rep. A. Valdez; Rep. D. Valdez; Rep. M. Weissman; Rep. J. Wilson; Sen. J. Bridges; Sen. L. Court; Sen. J. Danielson; Sen. S. Fenberg; Sen. R. Fields; Sen. M. Foote; Sen. L. Garcia; Sen. J. Ginal; Sen. J. Gonzales; Sen. P. Lee; Sen. D. Moreno; Sen. B. Pettersen; Sen. T. Story; Sen. N. Todd; Sen. A. Williams; Sen. F. Winter; Sen. R. Zenzinger,Health & Insurance,Health & Human Services,"Concerning a proposal for implementing a competitive state option for more affordable health care coverage in Colorado, and, in connection therewith, requesting authorization to use existing federal money for the proposed state option and taking other actions toward the implementation of the state option, and making an appropriation.","Proposal for a state option for health care coverage - creation - division of insurance - appropriation. The act requires the department of health care policy and financing and the division of insurance in the department of regulatory agencies (departments) to develop and submit a proposal (proposal) to certain committees of the general assembly concerning the design, costs, benefits, and implementation of a state option for health care coverage. Additionally, the departments shall present a summary of the proposal at the annual joint hearings with the legislative committees of reference during the interim before the 2020 legislative session. The proposal must contain a detailed description of a state option and must identify the most effective implementation of a state option based on affordability to consumers at different income levels, administrative and financial burden to the state, ease of implementation, and likelihood of success in meeting the objectives described in the act. The proposal must also identify any necessary changes to state law to implement the proposal. In developing the proposal, the departments shall engage in a stakeholder process that includes public and private health insurance experts, consumers, consumer advocates, employers, providers, and carriers. Further, the departments shall review any information relating to a pilot program operated by the state personnel director as a result of legislation that may be enacted during the 2019 legislative session. The departments shall prepare and submit any necessary federal waivers or state plan amendments to implement the proposal, unless a bill is filed within the filing deadlines for the 2020 legislative session that substantially alters the federal authorization required for the proposal and the bill is not postponed indefinitely in the first committee. For the 2018-19 state fiscal year, the act appropriates $75,000 from the general fund to the department of health care policy and financing for professional services, and $115,500 from the general fund to the department of regulatory agencies for the division of insurance for personal services. For the 2019-20 state fiscal year, the act appropriates $150,000 from the general fund to the department of health care policy and financing for professional services, and $231,000 from the general fund to the department of regulatory agencies for the division of insurance for personal services. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB19-1004
HB19-1005,2019,RS,Bill,Income Tax Credit For Early Childhood Educators,Fiscal Policy & Taxes,Introduced; Passed; Became Law,Representative Janet Buckner; Representative James Wilson; Senator Nancy Todd; Senator Kevin Priola,,Rep. J. Arndt; Rep. S. Bird; Rep. Y. Caraveo; Rep. J. Coleman; Rep. L. Cutter; Rep. M. Duran; Rep. D. Esgar; Rep. M. Froelich; Rep. R. Galindo; Rep. S. Gonzales-Gutierrez; Rep. M. Gray; Rep. C. Hansen; Rep. L. Herod; Rep. E. Hooton; Rep. D. Jackson; Rep. S. Jaquez Lewis; Rep. C. Kipp; Rep. S. Lontine; Rep. J. McCluskie; Rep. B. McLachlan; Rep. J. Melton; Rep. D. Michaelson Jenet; Rep. K. Mullica; Rep. D. Roberts; Rep. E. Sirota; Rep. M. Snyder; Rep. B. Titone; Rep. A. Valdez; Rep. D. Valdez; Sen. J. Bridges; Sen. K. Donovan; Sen. S. Fenberg; Sen. R. Fields; Sen. M. Foote; Sen. J. Gonzales; Sen. B. Pettersen; Sen. B. Rankin; Sen. T. Story; Sen. F. Winter,Education,Finance,Concerning an income tax credit for certain early childhood educators.,"Income tax - tax credit - eligible early childhood educators. The act provides a refundable income tax credit to an eligible early childhood educator with a federal adjusted gross income less than or equal to $75,000 for an individual filing a single return, or less than or equal to $85,000 for an individual filing a joint return, who, for at least 6 months of the taxable year for which the credit is claimed, holds an early childhood professional credential and is either the licensee of an eligible program or employed by an eligible program. The act specifies that an eligible program means either an early childhood education program or a licensed family child care home and the eligible program must have held at least a level 2 quality rating under the Colorado shines quality rating and improvement system for the income tax year for which the credit is claimed and, for the income tax year for which the credit is claimed, either have fiscal agreements with the Colorado child care assistance program or be a program that meets the federal early head start or head start standards. The amount of the credit is dependent on the eligible early childhood educator's credentialing level and is annually adjusted for inflation. The department of human services is required to provide to the department of revenue an annual report of each individual who held an early childhood professional credential during the previous calendar year for which the income tax credit is allowed. The act takes effect only if, at the November 2019 statewide election, a majority of voters do not approve a referred measure that allows the state to increase the cigarette tax, increase the tobacco products tax, and to create a new tax on nicotine products and use a significant portion of the tax revenue for preschool programs and expanded learning opportunities. If the voters at the November 2019 statewide election do not approve such a measure, then the act takes effect on the date of the official declaration of the vote thereon by the governor. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB19-1005
HB19-1006,2019,RS,Bill,Wildfire Mitigation Wildland-urban Interface Areas,Natural Resources & Environment,Introduced; Passed; Became Law,Representative Barbara McLachlan; Representative Terri Carver; Senator Rhonda Fields,,Rep. J. Arndt; Rep. K. Becker; Rep. S. Bird; Rep. B. Buentello; Rep. Y. Caraveo; Rep. M. Catlin; Rep. L. Cutter; Rep. M. Duran; Rep. D. Esgar; Rep. T. Exum; Rep. M. Froelich; Rep. R. Galindo; Rep. T. Geitner; Rep. C. Hansen; Rep. E. Hooton; Rep. D. Jackson; Rep. S. Jaquez Lewis; Rep. C. Kipp; Rep. S. Lontine; Rep. J. McCluskie; Rep. J. Melton; Rep. D. Michaelson Jenet; Rep. D. Roberts; Rep. J. Singer; Rep. E. Sirota; Rep. M. Snyder; Rep. M. Soper; Rep. K. Tipper; Rep. B. Titone; Rep. D. Valdez; Rep. M. Weissman; Rep. P. Will; Sen. J. Bridges; Sen. D. Coram; Sen. L. Court; Sen. K. Donovan; Sen. S. Fenberg; Sen. L. Garcia; Sen. B. Gardner; Sen. J. Ginal; Sen. D. Hisey; Sen. C. Holbert; Sen. P. Lee; Sen. P. Lundeen; Sen. D. Moreno; Sen. K. Priola; Sen. B. Rankin; Sen. T. Story; Sen. J. Tate; Sen. N. Todd; Sen. A. Williams; Sen. F. Winter; Sen. R. Woodward,Rural Affairs & Agriculture,Appropriations,"Concerning measures to mitigate the effects of wildfires within wildland-urban interface areas, and, in connection therewith, clarifying the legislative intent that state funding of the existing forest restoration and wildfire risk mitigation grant program be increased and making an appropriation.","Forest restoration and wildfire risk mitigation grant program cash fund - appropriations. The act permits the forest restoration and wildfire risk mitigation grant program cash fund (fund) to accept as a component of the fund money appropriated or transferred to the fund by the general assembly. The act also expresses the intent of the general assembly that any additional amount of money appropriated for the 2019-20 state fiscal year to the fund be expended on grants that will support the maximum number of effective forest management fuels reduction projects to reduce the impacts to life, property, and critical infrastructure caused by wildfire. The act exempts appropriations made to the fund from existing statutory requirements relating to appropriations for financial assistance to students attending postsecondary education institutions. For the 2019-20 state fiscal year, the act appropriates $1 million from the general fund to be deposited into the fund for the use of the forest restoration and wildfire risk mitigation grant program. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB19-1006
HB19-1007,2019,RS,Bill,Contribution Limits For County Offices,Elections & Redistricting,Introduced; Passed; Became Law,Representative Emily Sirota; Senator Rachel Zenzinger,,Rep. K. Becker; Rep. S. Bird; Rep. B. Buentello; Rep. C. deGruy Kennedy; Rep. M. Duran; Rep. M. Froelich; Rep. R. Galindo; Rep. A. Garnett; Rep. S. Gonzales-Gutierrez; Rep. M. Gray; Rep. C. Hansen; Rep. L. Herod; Rep. E. Hooton; Rep. C. Kipp; Rep. S. Lontine; Rep. J. McCluskie; Rep. J. Melton; Rep. K. Mullica; Rep. D. Roberts; Rep. J. Singer; Rep. M. Snyder; Rep. T. Sullivan; Rep. K. Tipper; Rep. B. Titone; Rep. A. Valdez; Rep. M. Weissman; Sen. L. Court; Sen. S. Fenberg; Sen. R. Fields; Sen. M. Foote; Sen. L. Garcia; Sen. J. Gonzales; Sen. P. Lee; Sen. D. Moreno; Sen. N. Todd; Sen. F. Winter,"State, Veterans, & Military Affairs","State, Veterans, & Military Affairs","Concerning the establishment of contribution limits under the ""Fair Campaign Practices Act"" for candidates for county offices, and, in connection therewith, making an appropriation.","Campaign contribution limits - county offices - appropriation. Current law regulating campaign finance does not set limits on contributions to candidates for a county office. The act sets the maximum amount of aggregate contributions that a person may make to a candidate committee of a candidate for a county office, and that a candidate committee for such candidate may accept from such person, as follows: In the case of any person other than a small donor committee or a political party, $1,250 for both the primary and general elections; In the case of a small donor committee, $12,500 for both the primary and general elections; and In the case of a political party, $22,125 for the applicable election cycle. The act defines ""county office"" to mean a county commissioner, county clerk and recorder, sheriff, coroner, treasurer, assessor, or surveyor. The act specifies that the contribution limits in the act are required to be adjusted for inflation in the same manner as other contribution limits specified in the state constitution. The act also makes statutory requirements governing the disclosure of campaign finance information and the filing of disclosure reports applicable to a contribution made to, or received by, a candidate committee of a candidate for a county office. For the 2019-20 state fiscal year, the act appropriates $7,000 to the department of state cash fund for personal services related to information technology services. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB19-1007
HB19-1008,2019,RS,Bill,Include Career And Technical Education In Building Excellent Schools Today Program,Education & School Finance (Pre & K-12),Introduced; Passed; Became Law,Representative Tracy Kraft-Tharp; Representative Colin Larson; Senator Nancy Todd; Senator Paul Lundeen,Rep. M. Soper,Rep. K. Becker; Rep. S. Beckman; Rep. S. Bird; Rep. J. Buckner; Rep. B. Buentello; Rep. Y. Caraveo; Rep. T. Carver; Rep. M. Catlin; Rep. L. Cutter; Rep. C. deGruy Kennedy; Rep. M. Duran; Rep. D. Esgar; Rep. T. Exum; Rep. R. Galindo; Rep. A. Garnett; Rep. T. Geitner; Rep. S. Gonzales-Gutierrez; Rep. M. Gray; Rep. C. Hansen; Rep. E. Hooton; Rep. D. Jackson; Rep. C. Kipp; Rep. S. Lontine; Rep. J. McCluskie; Rep. H. McKean; Rep. B. McLachlan; Rep. J. Melton; Rep. D. Michaelson Jenet; Rep. K. Mullica; Rep. P. Neville; Rep. R. Pelton; Rep. J. Rich; Rep. D. Roberts; Rep. L. Saine; Rep. S. Sandridge; Rep. J. Singer; Rep. E. Sirota; Rep. M. Snyder; Rep. T. Sullivan; Rep. K. Tipper; Rep. B. Titone; Rep. A. Valdez; Rep. D. Valdez; Rep. K. Van Winkle; Rep. M. Weissman; Rep. D. Williams; Sen. J. Bridges; Sen. D. Coram; Sen. L. Court; Sen. L. Crowder; Sen. K. Donovan; Sen. S. Fenberg; Sen. R. Fields; Sen. M. Foote; Sen. L. Garcia; Sen. B. Gardner; Sen. J. Ginal; Sen. O. Hill; Sen. D. Hisey; Sen. P. Lee; Sen. V. Marble; Sen. K. Priola; Sen. B. Rankin; Sen. R. Rodriguez; Sen. J. Smallwood; Sen. J. Sonnenberg; Sen. T. Story; Sen. J. Tate; Sen. A. Williams; Sen. R. Woodward,Education,Education,"Concerning the provision of grants for career and technical education capital construction through the ""Building Excellent Schools Today Act"".","School district capital construction assistance program - grants to support career and technical education. The act amends the ""Building Excellent Schools Today Act"" to allow the public school capital construction assistance board (board) to provide grants to support career and technical education capital construction, which is defined as: New construction or retrofitting of public school facilities for certain career and technical education programs; and Equipment necessary for individual student learning and classroom instruction, including equipment that provides access to instructional materials or that is necessary for professional use by a classroom teacher. The act requires the board to report annually to the capital development committee and to the education and finance committees of the house of representatives and the senate, or to any successor committees, concerning the issuance and denial of career and technical education capital construction grants during the preceding year. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB19-1008
HB19-1009,2019,RS,Bill,Substance Use Disorders Recovery,Health Care & Health Insurance,Introduced; Passed; Became Law,Representative Chris Kennedy; Representative Jonathan Singer; Senator Kevin Priola; Senator Brittany Pettersen,,Rep. J. Arndt; Rep. K. Becker; Rep. A. Benavidez; Rep. S. Bird; Rep. J. Buckner; Rep. B. Buentello; Rep. Y. Caraveo; Rep. L. Cutter; Rep. M. Duran; Rep. D. Esgar; Rep. M. Froelich; Rep. R. Galindo; Rep. S. Gonzales-Gutierrez; Rep. M. Gray; Rep. C. Hansen; Rep. L. Herod; Rep. E. Hooton; Rep. D. Jackson; Rep. S. Jaquez Lewis; Rep. C. Kipp; Rep. S. Lontine; Rep. J. McCluskie; Rep. B. McLachlan; Rep. J. Melton; Rep. D. Michaelson Jenet; Rep. K. Mullica; Rep. D. Roberts; Rep. E. Sirota; Rep. M. Snyder; Rep. T. Sullivan; Rep. K. Tipper; Rep. B. Titone; Rep. A. Valdez; Rep. M. Weissman; Sen. J. Bridges; Sen. S. Fenberg; Sen. M. Foote; Sen. L. Garcia; Sen. J. Ginal; Sen. J. Gonzales; Sen. P. Lee; Sen. D. Moreno; Sen. T. Story; Sen. N. Todd; Sen. F. Winter; Sen. R. Zenzinger,Public Health Care & Human Services,"State, Veterans, & Military Affairs","Concerning supports for persons recovering from substance use disorders, and, in connection therewith, expanding a program in the department of local affairs that provides vouchers for housing assistance to certain individuals, creating standards for recovery residences for purposes of referrals and title protection, creating the opioid crisis recovery funds advisory committee, creating the recovery residence certification grant program, and making an appropriation.","Recovery from substance use disorders - housing vouchers - recovery residence standards and requirements - recovery residence certification grant program - creation of the opioid crisis recovery funds advisory committee - appropriation. The act: Expands the housing voucher program currently within the department of local affairs to include individuals with a substance use disorder; Establishes standards for recovery residences for purposes of referrals and title protection and prohibits a facility from using the terms ""recovery residence"", ""sober living facility"", or ""sober home"" unless the facility meets specified conditions; Creates the recovery residence certification grant program; and Creates the opioid crisis recovery funds advisory committee to advise and collaborate with the department of law on uses of any custodial funds the state receives as settlement or damage awards resulting from opioid-related litigation. To implement the act: $1,000,000 is appropriated to the department of local affairs; $2,620 is appropriated to the office of the governor for use by the office of information technology; and $50,000 is appropriated to the department of human services for use by the office of behavioral health. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB19-1009
HB19-1010,2019,RS,Bill,Freestanding Emergency Departments Licensure,Health Care & Health Insurance,Introduced; Passed; Became Law,Representative Kyle Mullica; Representative Lois Landgraf; Senator Bob Gardner; Senator Brittany Pettersen,,Rep. K. Becker; Rep. B. Buentello; Rep. Y. Caraveo; Rep. C. deGruy Kennedy; Rep. D. Esgar; Rep. T. Exum; Rep. A. Garnett; Rep. C. Hansen; Rep. L. Herod; Rep. D. Jackson; Rep. S. Jaquez Lewis; Rep. S. Lontine; Rep. D. Roberts; Rep. J. Singer; Rep. E. Sirota; Rep. M. Snyder; Rep. K. Tipper; Rep. B. Titone; Rep. D. Valdez; Rep. M. Weissman; Sen. J. Bridges; Sen. L. Court; Sen. J. Danielson; Sen. K. Donovan; Sen. S. Fenberg; Sen. R. Fields; Sen. L. Garcia; Sen. J. Ginal; Sen. J. Gonzales; Sen. D. Moreno; Sen. R. Rodriguez; Sen. T. Story; Sen. N. Todd; Sen. A. Williams; Sen. F. Winter,Health & Insurance,Health & Human Services,"Concerning the licensing of freestanding emergency departments, and, in connection therewith, making an appropriation.","Freestanding emergency departments - mandatory licensure - exceptions - appropriation. Effective July 1, 2022, the act creates a new license, referred to as a ""freestanding emergency department license"". The department of public health and environment (department) may issue the license to a health facility that offers emergency care, that may offer primary and urgent care services, and that is either: Owned or operated by, or affiliated with, a hospital or hospital system and located more than 250 yards from the main campus of the hospital; or Independent from and not operated by or affiliated with a hospital or hospital system and not attached to or situated within 250 yards of, or contained within, a hospital. A facility licensed as a community clinic before July 1, 2010, and that serves a rural community or ski area is excluded from the definition of ""freestanding emergency department"". The act allows the department to waive the licensure requirements for a facility that is licensed as a community clinic or that is seeking community clinic licensure and serves an underserved population in the state. The state board of health must adopt rules regarding the new license, including rules to set licensure requirements and fees and safety and care standards. $43,248 is appropriated to the department from the health facilities general licensure cash fund to implement the act. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB19-1010
