bill_number,session,session_type,chamber,action_date,action,order
HB21-1001,2021,RS,House,2021-01-13,"Introduced In House - Assigned to State, Civic, Military, & Veterans Affairs",1
HB21-1001,2021,RS,House,2021-01-13,"House Committee on State, Civic, Military, & Veterans Affairs Refer Unamended to House Committee of the Whole",2
HB21-1001,2021,RS,House,2021-01-13,House Second Reading Special Order - Passed - No Amendments,3
HB21-1001,2021,RS,House,2021-01-14,House Third Reading Passed - No Amendments,4
HB21-1001,2021,RS,Senate,2021-01-14,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",5
HB21-1001,2021,RS,Senate,2021-01-14,"Senate Committee on State, Veterans, & Military Affairs Refer Unamended - Consent Calendar to Senate Committee of the Whole",6
HB21-1001,2021,RS,Senate,2021-01-14,Senate Second Reading Special Order - Passed with Amendments - Floor,7
HB21-1001,2021,RS,Senate,2021-01-15,Senate Third Reading Passed with Amendments - Floor,8
HB21-1001,2021,RS,House,2021-01-15,House Considered Senate Amendments - Result was to Concur - Repass,9
HB21-1001,2021,RS,House,2021-01-15,House Considered Senate Adherence - Result was to Adhere,10
HB21-1001,2021,RS,House,2021-01-15,Signed by the Speaker of the House,11
HB21-1001,2021,RS,Senate,2021-01-15,Signed by the President of the Senate,12
HB21-1001,2021,RS,Governor,2021-01-15,Sent to the Governor,13
HB21-1001,2021,RS,Governor,2021-01-20,Governor Signed,14
HB21-1002,2021,RS,House,2021-01-13,Introduced In House - Assigned to Finance,1
HB21-1002,2021,RS,House,2021-01-13,House Committee on Finance Refer Amended to Appropriations,2
HB21-1002,2021,RS,House,2021-01-13,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB21-1002,2021,RS,House,2021-01-13,House Second Reading Special Order - Passed with Amendments - Committee,4
HB21-1002,2021,RS,House,2021-01-14,House Third Reading Passed - No Amendments,5
HB21-1002,2021,RS,Senate,2021-01-14,Introduced In Senate - Assigned to Finance,6
HB21-1002,2021,RS,Senate,2021-01-14,Senate Committee on Finance Refer Unamended to Appropriations,7
HB21-1002,2021,RS,Senate,2021-01-14,Senate Committee on Appropriations Refer Unamended to Senate Committee of the Whole,8
HB21-1002,2021,RS,Senate,2021-01-14,Senate Second Reading Special Order - Passed - No Amendments,9
HB21-1002,2021,RS,Senate,2021-01-15,Senate Third Reading Passed - No Amendments,10
HB21-1002,2021,RS,House,2021-01-15,Signed by the Speaker of the House,11
HB21-1002,2021,RS,Senate,2021-01-15,Signed by the President of the Senate,12
HB21-1002,2021,RS,Governor,2021-01-15,Sent to the Governor,13
HB21-1002,2021,RS,Governor,2021-01-21,Governor Signed,14
HB21-1003,2021,RS,House,2021-01-13,"Introduced In House - Assigned to State, Civic, Military, & Veterans Affairs",1
HB21-1003,2021,RS,House,2021-01-13,"House Committee on State, Civic, Military, & Veterans Affairs Refer Unamended to Appropriations",2
HB21-1003,2021,RS,House,2021-01-13,House Committee on Appropriations Refer Unamended to House Committee of the Whole,3
HB21-1003,2021,RS,House,2021-01-13,House Second Reading Special Order - Passed - No Amendments,4
HB21-1003,2021,RS,House,2021-01-14,House Third Reading Passed - No Amendments,5
HB21-1003,2021,RS,Senate,2021-01-14,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",6
HB21-1003,2021,RS,Senate,2021-01-14,"Senate Committee on State, Veterans, & Military Affairs Refer Unamended to Appropriations",7
HB21-1003,2021,RS,Senate,2021-01-14,Senate Committee on Appropriations Refer Unamended to Senate Committee of the Whole,8
HB21-1003,2021,RS,Senate,2021-01-14,Senate Second Reading Special Order - Passed with Amendments - Floor,9
HB21-1003,2021,RS,Senate,2021-01-15,Senate Third Reading Passed - No Amendments,10
HB21-1003,2021,RS,House,2021-01-15,House Considered Senate Amendments - Result was to Concur - Repass,11
HB21-1003,2021,RS,House,2021-01-15,Signed by the Speaker of the House,12
HB21-1003,2021,RS,Senate,2021-01-15,Signed by the President of the Senate,13
HB21-1003,2021,RS,Governor,2021-01-15,Sent to the Governor,14
HB21-1003,2021,RS,Governor,2021-01-20,Governor Signed,15
HB21-1004,2021,RS,House,2021-01-13,Introduced In House - Assigned to Finance,1
HB21-1004,2021,RS,House,2021-01-13,House Committee on Finance Refer Unamended to House Committee of the Whole,2
HB21-1004,2021,RS,House,2021-01-13,House Second Reading Special Order - Passed - No Amendments,3
HB21-1004,2021,RS,House,2021-01-14,House Third Reading Passed - No Amendments,4
HB21-1004,2021,RS,Senate,2021-01-14,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",5
HB21-1004,2021,RS,Senate,2021-01-14,"Senate Committee on State, Veterans, & Military Affairs Refer Unamended - Consent Calendar to Senate Committee of the Whole",6
HB21-1004,2021,RS,Senate,2021-01-14,Senate Second Reading Special Order - Passed - No Amendments,7
HB21-1004,2021,RS,Senate,2021-01-15,Senate Third Reading Passed - No Amendments,8
HB21-1004,2021,RS,House,2021-01-15,Signed by the Speaker of the House,9
HB21-1004,2021,RS,Senate,2021-01-15,Signed by the President of the Senate,10
HB21-1004,2021,RS,Governor,2021-01-15,Sent to the Governor,11
HB21-1004,2021,RS,Governor,2021-01-21,Governor Signed,12
HB21-1005,2021,RS,House,2021-02-16,Introduced In House - Assigned to Health & Insurance,1
HB21-1005,2021,RS,House,2021-02-24,House Committee on Health & Insurance Refer Amended to Appropriations,2
HB21-1005,2021,RS,House,2021-05-07,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
