bill_number,session,session_type,chamber,action_date,action,order
HB24-1001,2024,RS,House,2024-01-10,Introduced In House - Assigned to Business Affairs & Labor,1
HB24-1001,2024,RS,House,2024-02-01,House Committee on Business Affairs & Labor Refer Amended to Appropriations,2
HB24-1001,2024,RS,House,2024-04-25,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB24-1001,2024,RS,House,2024-04-26,House Second Reading Special Order - Passed with Amendments - Committee,4
HB24-1001,2024,RS,House,2024-04-29,House Third Reading Passed - No Amendments,5
HB24-1001,2024,RS,Senate,2024-04-29,"Introduced In Senate - Assigned to Business, Labor, & Technology",6
HB24-1001,2024,RS,Senate,2024-05-02,"Senate Committee on Business, Labor, & Technology Refer Unamended to Finance",7
HB24-1001,2024,RS,Senate,2024-05-03,Senate Committee on Finance Refer Unamended to Appropriations,8
HB24-1001,2024,RS,Senate,2024-05-04,Senate Committee on Appropriations Refer Unamended - Consent Calendar to Senate Committee of the Whole,9
HB24-1001,2024,RS,Senate,2024-05-04,Senate Second Reading Special Order - Passed - No Amendments,10
HB24-1001,2024,RS,Senate,2024-05-06,Senate Third Reading Passed - No Amendments,11
HB24-1001,2024,RS,House,2024-05-10,Signed by the Speaker of the House,12
HB24-1001,2024,RS,Senate,2024-05-10,Signed by the President of the Senate,13
HB24-1001,2024,RS,Governor,2024-05-10,Sent to the Governor,14
HB24-1001,2024,RS,Governor,2024-05-29,Governor Signed,15
HB24-1002,2024,RS,House,2024-01-10,Introduced In House - Assigned to Health & Human Services,1
HB24-1002,2024,RS,House,2024-01-30,House Committee on Health & Human Services Refer Amended to Finance,2
HB24-1002,2024,RS,House,2024-02-08,House Committee on Finance Refer Unamended to Appropriations,3
HB24-1002,2024,RS,House,2024-03-01,House Committee on Appropriations Refer Amended to House Committee of the Whole,4
HB24-1002,2024,RS,House,2024-03-01,House Second Reading Special Order - Passed with Amendments - No Amendments,5
HB24-1002,2024,RS,House,2024-03-04,House Third Reading Passed - No Amendments,6
HB24-1002,2024,RS,Senate,2024-03-07,Introduced In Senate - Assigned to Health & Human Services,7
HB24-1002,2024,RS,Senate,2024-03-21,Senate Committee on Health & Human Services Refer Unamended to Finance,8
HB24-1002,2024,RS,Senate,2024-03-28,Senate Committee on Finance Refer Unamended to Appropriations,9
HB24-1002,2024,RS,Senate,2024-04-12,Senate Committee on Appropriations Refer Amended - Consent Calendar to Senate Committee of the Whole,10
HB24-1002,2024,RS,Senate,2024-04-12,Senate Second Reading Special Order - Passed with Amendments - Committee,11
HB24-1002,2024,RS,Senate,2024-04-15,Senate Third Reading Passed - No Amendments,12
HB24-1002,2024,RS,House,2024-04-16,House Considered Senate Amendments - Result was to Laid Over Daily,13
HB24-1002,2024,RS,House,2024-04-19,House Considered Senate Amendments - Result was to Concur - Repass,14
HB24-1002,2024,RS,House,2024-05-29,Signed by the Speaker of the House,15
HB24-1002,2024,RS,Senate,2024-05-29,Signed by the President of the Senate,16
HB24-1002,2024,RS,Governor,2024-05-29,Sent to the Governor,17
HB24-1002,2024,RS,Governor,2024-06-03,Governor Signed,18
HB24-1003,2024,RS,House,2024-01-10,Introduced In House - Assigned to Education,1
HB24-1003,2024,RS,House,2024-02-08,House Committee on Education Refer Unamended to House Committee of the Whole,2
HB24-1003,2024,RS,House,2024-02-13,House Second Reading Laid Over Daily - No Amendments,3
HB24-1003,2024,RS,House,2024-02-28,House Second Reading Special Order - Passed with Amendments - Floor,4
HB24-1003,2024,RS,House,2024-02-29,House Third Reading Passed - No Amendments,5
HB24-1003,2024,RS,Senate,2024-03-01,Introduced In Senate - Assigned to Education,6
HB24-1003,2024,RS,Senate,2024-03-27,Senate Committee on Education Refer Amended - Consent Calendar to Senate Committee of the Whole,7
HB24-1003,2024,RS,Senate,2024-04-01,Senate Second Reading Passed with Amendments - Committee,8
HB24-1003,2024,RS,Senate,2024-04-02,Senate Third Reading Passed - No Amendments,9
HB24-1003,2024,RS,House,2024-04-03,House Considered Senate Amendments - Result was to Laid Over Daily,10
HB24-1003,2024,RS,House,2024-04-05,House Considered Senate Amendments - Result was to Concur - Repass,11
HB24-1003,2024,RS,House,2024-04-11,Signed by the Speaker of the House,12
HB24-1003,2024,RS,Senate,2024-04-12,Signed by the President of the Senate,13
HB24-1003,2024,RS,Governor,2024-04-12,Sent to the Governor,14
HB24-1003,2024,RS,Governor,2024-04-22,Governor Signed,15
HB24-1004,2024,RS,House,2024-01-10,Introduced In House - Assigned to Business Affairs & Labor,1
HB24-1004,2024,RS,House,2024-02-15,House Committee on Business Affairs & Labor Refer Amended to Appropriations,2
HB24-1004,2024,RS,House,2024-04-30,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB24-1004,2024,RS,House,2024-04-30,"House Second Reading Special Order - Passed with Amendments - Committee, Floor",4
HB24-1004,2024,RS,House,2024-05-01,House Third Reading Passed - No Amendments,5
HB24-1004,2024,RS,Senate,2024-05-01,"Introduced In Senate - Assigned to Business, Labor, & Technology",6
HB24-1004,2024,RS,Senate,2024-05-02,"Senate Committee on Business, Labor, & Technology Refer Unamended to Finance",7
HB24-1004,2024,RS,Senate,2024-05-03,Senate Committee on Finance Refer Unamended to Appropriations,8
HB24-1004,2024,RS,Senate,2024-05-06,Senate Committee on Appropriations Refer Unamended to Senate Committee of the Whole,9
HB24-1004,2024,RS,Senate,2024-05-06,Senate Second Reading Special Order - Passed - No Amendments,10
HB24-1004,2024,RS,Senate,2024-05-07,Senate Third Reading Passed - No Amendments,11
HB24-1004,2024,RS,House,2024-05-29,Signed by the Speaker of the House,12
HB24-1004,2024,RS,Senate,2024-05-29,Signed by the President of the Senate,13
HB24-1004,2024,RS,Governor,2024-05-29,Sent to the Governor,14
HB24-1004,2024,RS,Governor,2024-06-04,Governor Signed,15
HB24-1005,2024,RS,House,2024-01-10,Introduced In House - Assigned to Health & Human Services,1
HB24-1005,2024,RS,House,2024-03-19,House Committee on Health & Human Services Refer Amended to House Committee of the Whole,2
HB24-1005,2024,RS,House,2024-03-22,"House Second Reading Special Order - Passed with Amendments - Committee, Floor",3
HB24-1005,2024,RS,House,2024-03-25,House Third Reading Passed - No Amendments,4
HB24-1005,2024,RS,Senate,2024-03-27,Introduced In Senate - Assigned to Health & Human Services,5
HB24-1005,2024,RS,Senate,2024-04-17,Senate Committee on Health & Human Services Postpone Indefinitely,6
HB24-1006,2024,RS,House,2024-01-10,"Introduced In House - Assigned to Agriculture, Water & Natural Resources",1
HB24-1006,2024,RS,House,2024-03-04,"House Committee on Agriculture, Water & Natural Resources Refer Amended to Appropriations",2
HB24-1006,2024,RS,House,2024-04-26,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB24-1006,2024,RS,House,2024-04-29,"House Second Reading Special Order - Passed with Amendments - Committee, Floor",4
HB24-1006,2024,RS,House,2024-04-30,House Third Reading Passed - No Amendments,5
HB24-1006,2024,RS,Senate,2024-04-30,Introduced In Senate - Assigned to Agriculture & Natural Resources,6
HB24-1006,2024,RS,Senate,2024-05-02,Senate Committee on Agriculture & Natural Resources Refer Unamended to Appropriations,7
HB24-1006,2024,RS,Senate,2024-05-07,Senate Committee on Appropriations Refer Unamended to Senate Committee of the Whole,8
HB24-1006,2024,RS,Senate,2024-05-07,Senate Second Reading Special Order - Passed with Amendments - Floor,9
HB24-1006,2024,RS,Senate,2024-05-08,Senate Third Reading Passed - No Amendments,10
HB24-1006,2024,RS,House,2024-05-08,House Considered Senate Amendments - Result was to Concur - Repass,11
HB24-1006,2024,RS,House,2024-05-15,Signed by the Speaker of the House,12
HB24-1006,2024,RS,Senate,2024-05-15,Signed by the President of the Senate,13
HB24-1006,2024,RS,Governor,2024-05-15,Sent to the Governor,14
HB24-1006,2024,RS,Governor,2024-05-20,Governor Signed,15
HB24-1007,2024,RS,House,2024-01-10,"Introduced In House - Assigned to Transportation, Housing & Local Government",1
HB24-1007,2024,RS,House,2024-01-30,"House Committee on Transportation, Housing & Local Government Refer Amended to House Committee of the Whole",2
HB24-1007,2024,RS,House,2024-02-02,House Second Reading Special Order - Passed with Amendments - Committee,3
HB24-1007,2024,RS,House,2024-02-05,House Third Reading Laid Over Daily - No Amendments,4
HB24-1007,2024,RS,House,2024-02-06,House Third Reading Laid Over to 02/09/2024 - No Amendments,5
HB24-1007,2024,RS,House,2024-02-09,House Third Reading Passed - No Amendments,6
HB24-1007,2024,RS,Senate,2024-02-12,Introduced In Senate - Assigned to Local Government & Housing,7
HB24-1007,2024,RS,Senate,2024-03-12,Senate Committee on Local Government & Housing Refer Amended to Senate Committee of the Whole,8
