bill_number,session,session_type,chamber,action_date,action,order
HB16-1001,2016,RS,House,2016-01-13,Introduced In House - Assigned to Business Affairs and Labor,1
HB16-1001,2016,RS,House,2016-03-15,House Committee on Business Affairs and Labor Witness Testimony and/or Committee Discussion Only,2
HB16-1001,2016,RS,House,2016-03-17,House Committee on Business Affairs and Labor Refer Amended to House Committee of the Whole,3
HB16-1001,2016,RS,House,2016-03-21,House Second Reading Laid Over Daily - No Amendments,4
HB16-1001,2016,RS,House,2016-03-22,"House Second Reading Passed with Amendments - Committee, Floor",5
HB16-1001,2016,RS,House,2016-03-24,House Third Reading Passed - No Amendments,6
HB16-1001,2016,RS,Senate,2016-03-24,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",7
HB16-1001,2016,RS,Senate,2016-03-30,"Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",8
HB16-1002,2016,RS,House,2016-01-13,Introduced In House - Assigned to Education,1
HB16-1002,2016,RS,House,2016-01-27,House Committee on Education Refer Amended to House Committee of the Whole,2
HB16-1002,2016,RS,House,2016-01-29,House Second Reading Laid Over to 02/03/2016 - No Amendments,3
HB16-1002,2016,RS,House,2016-02-03,"House Second Reading Passed with Amendments - Committee, Floor",4
HB16-1002,2016,RS,House,2016-02-04,House Third Reading Passed - No Amendments,5
HB16-1002,2016,RS,Senate,2016-02-19,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",6
HB16-1002,2016,RS,Senate,2016-03-09,"Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",7
HB16-1003,2016,RS,House,2016-01-13,Introduced In House - Assigned to Education,1
HB16-1003,2016,RS,House,2016-03-07,House Committee on Education Refer Unamended to Finance,2
HB16-1003,2016,RS,House,2016-04-13,House Committee on Finance Refer Amended to Appropriations,3
HB16-1003,2016,RS,House,2016-04-28,House Committee on Appropriations Refer Unamended to House Committee of the Whole,4
HB16-1003,2016,RS,House,2016-04-28,House Second Reading Special Order - Laid Over to 05/02/2016 - No Amendments,5
HB16-1003,2016,RS,House,2016-05-02,House Second Reading Passed with Amendments - Committee,6
HB16-1003,2016,RS,House,2016-05-03,House Third Reading Passed - No Amendments,7
HB16-1003,2016,RS,Senate,2016-05-03,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",8
HB16-1003,2016,RS,Senate,2016-05-05,"Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",9
HB16-1004,2016,RS,House,2016-01-13,"Introduced In House - Assigned to Health, Insurance, & Environment",1
HB16-1004,2016,RS,House,2016-02-04,"House Committee on Health, Insurance, & Environment Refer Amended to House Committee of the Whole",2
HB16-1004,2016,RS,House,2016-02-08,"House Second Reading Passed with Amendments - Committee, Floor",3
HB16-1004,2016,RS,House,2016-02-09,House Third Reading Passed - No Amendments,4
HB16-1004,2016,RS,Senate,2016-03-04,"Introduced In Senate - Assigned to Agriculture, Natural Resources, & Energy",5
HB16-1004,2016,RS,Senate,2016-03-24,"Senate Committee on Agriculture, Natural Resources, & Energy Witness Testimony and/or Committee Discussion Only",6
HB16-1004,2016,RS,Senate,2016-03-30,"Senate Committee on Agriculture, Natural Resources, & Energy Postpone Indefinitely",7
HB16-1005,2016,RS,House,2016-01-13,"Introduced In House - Assigned to Agriculture, Livestock, & Natural Resources",1
HB16-1005,2016,RS,House,2016-02-22,"House Committee on Agriculture, Livestock, & Natural Resources Refer Amended to House Committee of the Whole",2
HB16-1005,2016,RS,House,2016-02-24,House Second Reading Laid Over to 02/29/2016 - No Amendments,3
HB16-1005,2016,RS,House,2016-02-29,"House Second Reading Passed with Amendments - Committee, Floor",4
HB16-1005,2016,RS,House,2016-03-01,House Third Reading Passed - No Amendments,5
HB16-1005,2016,RS,Senate,2016-03-04,"Introduced In Senate - Assigned to Agriculture, Natural Resources, & Energy",6
HB16-1005,2016,RS,Senate,2016-03-24,"Senate Committee on Agriculture, Natural Resources, & Energy Witness Testimony and/or Committee Discussion Only",7
HB16-1005,2016,RS,Senate,2016-03-30,"Senate Committee on Agriculture, Natural Resources, & Energy Refer Unamended to Senate Committee of the Whole",8
HB16-1005,2016,RS,Senate,2016-03-31,Senate Second Reading Special Order - Passed - No Amendments,9
HB16-1005,2016,RS,Senate,2016-04-01,Senate Third Reading Reconsidered - No Amendments,10
HB16-1005,2016,RS,Senate,2016-04-01,Senate Third Reading Passed - No Amendments,11
HB16-1005,2016,RS,House,2016-05-05,Signed by the Speaker of the House,12
HB16-1005,2016,RS,Senate,2016-05-05,Signed by the President of the Senate,13
HB16-1005,2016,RS,Governor,2016-05-05,Sent to the Governor,14
HB16-1005,2016,RS,Governor,2016-05-12,Governor Signed,15
HB16-1006,2016,RS,House,2016-01-13,Introduced In House - Assigned to Finance,1
HB16-1006,2016,RS,House,2016-02-17,House Committee on Finance Refer Amended to Appropriations,2
HB16-1006,2016,RS,House,2016-03-18,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB16-1006,2016,RS,House,2016-03-21,"House Second Reading Passed with Amendments - Committee, Floor",4
HB16-1006,2016,RS,House,2016-03-22,House Third Reading Passed - No Amendments,5
HB16-1006,2016,RS,Senate,2016-03-22,Introduced In Senate - Assigned to Finance + Appropriations,6
HB16-1006,2016,RS,Senate,2016-03-31,Senate Committee on Finance Refer Amended to Appropriations,7
HB16-1006,2016,RS,Senate,2016-04-22,Senate Committee on Appropriations Refer Unamended to Senate Committee of the Whole,8
HB16-1006,2016,RS,Senate,2016-04-25,Senate Second Reading Special Order - Passed with Amendments - Committee,9
HB16-1006,2016,RS,House,2016-04-26,House Considered Senate Amendments - Result was to Laid Over Daily,10
HB16-1006,2016,RS,Senate,2016-04-26,Senate Third Reading Passed - No Amendments,11
HB16-1006,2016,RS,House,2016-04-29,House Considered Senate Amendments - Result was to Concur - Repass,12
HB16-1006,2016,RS,Senate,2016-05-10,Signed by the President of the Senate,13
HB16-1006,2016,RS,House,2016-05-10,Signed by the Speaker of the House,14
HB16-1006,2016,RS,Governor,2016-05-11,Sent to the Governor,15
HB16-1006,2016,RS,Governor,2016-05-18,Governor Signed,16
HB16-1007,2016,RS,House,2016-01-13,Introduced In House - Assigned to Business Affairs and Labor,1
HB16-1007,2016,RS,House,2016-02-11,House Committee on Business Affairs and Labor Postpone Indefinitely,2
HB16-1008,2016,RS,House,2016-01-13,Introduced In House - Assigned to Transportation & Energy,1
HB16-1008,2016,RS,House,2016-01-27,House Committee on Transportation & Energy Refer Amended to House Committee of the Whole,2
HB16-1008,2016,RS,House,2016-01-29,House Second Reading Laid Over Daily - No Amendments,3
HB16-1008,2016,RS,House,2016-02-01,"House Second Reading Passed with Amendments - Committee, Floor",4
HB16-1008,2016,RS,House,2016-02-02,House Third Reading Passed - No Amendments,5
HB16-1008,2016,RS,Senate,2016-02-03,Introduced In Senate - Assigned to Transportation,6
HB16-1008,2016,RS,Senate,2016-02-18,Senate Committee on Transportation Refer Unamended to Senate Committee of the Whole,7
HB16-1008,2016,RS,Senate,2016-02-23,Senate Second Reading Passed - No Amendments,8
HB16-1008,2016,RS,Senate,2016-02-24,Senate Third Reading Passed - No Amendments,9
HB16-1008,2016,RS,House,2016-02-29,Signed by the Speaker of the House,10
HB16-1008,2016,RS,Senate,2016-03-01,Signed by the President of the Senate,11
HB16-1008,2016,RS,Governor,2016-03-01,Sent to the Governor,12
HB16-1008,2016,RS,Governor,2016-03-09,Governor Signed,13
HB16-1009,2016,RS,House,2016-01-13,Introduced In House - Assigned to Transportation & Energy,1
HB16-1009,2016,RS,House,2016-01-27,House Committee on Transportation & Energy Refer Amended to Appropriations,2
HB16-1009,2016,RS,House,2016-04-07,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB16-1009,2016,RS,House,2016-04-11,House Second Reading Passed with Amendments - Committee,4
