bill_number,session,session_type,bill_type,title,keywords,status,primary_sponsors,sponsors,cosponsors,house_committee,senate_committee,long_title,summary,bill_url
HB24-1001,2024,RS,Bill,Reauthorization of Rural Jump-Start Program,Fiscal Policy & Taxes,Introduced; Passed; Became Law,Representative Meghan Lukens; Representative Rick Taggart; Senator Dylan Roberts; Senator Cleave Simpson,Rep. B. McLachlan; Rep. M. Soper,Rep. J. Amabile; Rep. S. Bird; Rep. A. Boesenecker; Rep. K. Brown; Rep. M. Catlin; Rep. C. deGruy Kennedy; Rep. M. Duran; Rep. M. Froelich; Rep. E. Hamrick; Rep. S. Lieder; Rep. M. Lindsay; Rep. W. Lindstedt; Rep. M. Martinez; Rep. T. Mauro; Rep. J. McCluskie; Rep. K. McCormick; Rep. D. Ortiz; Rep. R. Pugliese; Rep. M. Snyder; Rep. T. Story; Rep. B. Titone; Rep. E. Velasco; Rep. M. Weissman; Rep. S. Woodrow; Rep. M. Young; Sen. J. Bridges; Sen. J. Buckner; Sen. L. Cutter; Sen. J. Ginal; Sen. J. Gonzales; Sen. L. Liston; Sen. D. Michaelson Jenet; Sen. K. Mullica; Sen. R. Pelton; Sen. K. Priola; Sen. P. Will; Sen. F. Winter; Sen. R. Zenzinger,Business Affairs & Labor,"Business, Labor, & Technology","Concerning reauthorization of the rural jump-start zone program, and, in connection therewith, making an appropriation.","The act continues the rural jump-start zone grant program (grant program) until July 1, 2025, and the grant money in the rural jump-start grant fund account reverts to the general fund on June 30, 2025. The act changes the total allowable administrative cost of the grant program from $100,000 per fiscal year to $300,000 total for the sum of all fiscal years that the grant program is in effect. The new business income tax credit and the new hire income tax credit, which are benefits under the grant program, are extended for 5 years and are available for income tax years commencing before January 1, 2031. The act prohibits the Colorado office of economic development (office) from approving more than 3 rural jump-start zones in counties with populations of less than 100,000 in any year. The number of credit certificates that the office may issue in each approved rural jump-start zone in one income tax year for all new hires employed by all new businesses is increased from 300 to 600 for businesses that are in one of the 14 industries that the office targets for economic development in the state. The act appropriates $873,304 from the rural jump-start zone grant fund account to the office of the governor for use by economic development programs. To implement the act, the office may use this appropriation for rural jump-start. APPROVED by Governor May 29, 2024 EFFECTIVE May 29, 2024 (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB24-1001
HB24-1002,2024,RS,Bill,Social Work Licensure Compact,Professions & Occupations; Public Health,Introduced; Passed; Became Law,Representative Emily Sirota; Representative Matthew Martinez; Senator Janice Marchman; Senator Janice Rich,,Rep. J. Amabile; Rep. J. Bacon; Rep. S. Bird; Rep. A. Boesenecker; Rep. K. Brown; Rep. C. Clifford; Rep. L. Daugherty; Rep. C. deGruy Kennedy; Rep. M. Duran; Rep. E. Epps; Rep. M. Froelich; Rep. E. Hamrick; Rep. T. Hernandez; Rep. L. Herod; Rep. I. Jodeh; Rep. C. Kipp; Rep. S. Lieder; Rep. M. Lindsay; Rep. W. Lindstedt; Rep. M. Lukens; Rep. J. Mabrey; Rep. B. Marshall; Rep. T. Mauro; Rep. J. McCluskie; Rep. K. McCormick; Rep. B. McLachlan; Rep. D. Ortiz; Rep. J. Parenti; Rep. N. Ricks; Rep. M. Rutinel; Rep. M. Snyder; Rep. T. Story; Rep. B. Titone; Rep. A. Valdez; Rep. E. Velasco; Rep. R. Weinberg; Rep. J. Willford; Rep. M. Young; Sen. J. Bridges; Sen. J. Buckner; Sen. T. Exum; Sen. R. Fields; Sen. B. Gardner; Sen. J. Ginal; Sen. J. Gonzales; Sen. N. Hinrichsen; Sen. S. Jaquez Lewis; Sen. C. Kolker; Sen. D. Michaelson Jenet; Sen. K. Priola; Sen. D. Roberts; Sen. R. Rodriguez; Sen. J. Smallwood; Sen. F. Winter; Sen. R. Zenzinger,Health & Human Services,Health & Human Services,"Concerning the enactment of the ""Social Work Licensure Compact"", and, in connection therewith, making an appropriation.","The act enacts the ""Social Work Licensure Compact"" (compact). The compact is designed to: Eliminate the necessity for social workers to obtain licenses from multiple states by providing for the mutual recognition of licenses from other states that have signed the compact (member states); Facilitate the exchange of licensure and disciplinary information among member states; Authorize member states to hold a regulated social worker accountable for abiding by a member state's laws, regulations, and applicable professional standards in the member state in which the client is located at the time care is rendered; and Allow for the use of telehealth to facilitate increased access to regulated social work services. The act authorizes the state board of social work examiners (board) to promulgate rules and to facilitate Colorado's participation in the compact, including notifying the social work licensure compact commission (commission) established by the compact of any adverse action taken by the board against a Colorado regulated social worker. The commission includes a delegate from each member state and has the powers and duties set forth in the act. The compact becomes effective on the date the compact is enacted in the seventh member state. For the 2024-25 state fiscal year, the act appropriates $78,750 from the division of professions and occupations cash fund to the department of regulatory agencies for use by the division of professions and occupations to implement the act. APPROVED by Governor June 3, 2024 EFFECTIVE August 7, 2024 (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB24-1002
HB24-1003,2024,RS,Bill,Opiate Antagonists and Detection Products in Schools,Education & School Finance (Pre & K-12),Introduced; Passed; Became Law,Representative Barbara McLachlan; Representative Mary Young; Senator Cleave Simpson; Senator Dafna Michaelson Jenet,,Rep. J. Amabile; Rep. J. Bacon; Rep. S. Bird; Rep. A. Boesenecker; Rep. K. Brown; Rep. C. Clifford; Rep. C. deGruy Kennedy; Rep. M. Duran; Rep. E. Epps; Rep. M. Froelich; Rep. E. Hamrick; Rep. T. Hernandez; Rep. L. Herod; Rep. I. Jodeh; Rep. J. Joseph; Rep. C. Kipp; Rep. S. Lieder; Rep. M. Lindsay; Rep. W. Lindstedt; Rep. M. Lukens; Rep. M. Lynch; Rep. J. Mabrey; Rep. B. Marshall; Rep. J. Marvin; Rep. T. Mauro; Rep. J. McCluskie; Rep. K. McCormick; Rep. J. Parenti; Rep. R. Pugliese; Rep. M. Rutinel; Rep. E. Sirota; Rep. M. Snyder; Rep. T. Story; Rep. B. Titone; Rep. A. Valdez; Rep. E. Velasco; Rep. S. Vigil; Rep. M. Weissman; Rep. J. Willford; Rep. S. Woodrow; Sen. J. Bridges; Sen. J. Buckner; Sen. J. Coleman; Sen. L. Cutter; Sen. T. Exum; Sen. J. Gonzales; Sen. S. Jaquez Lewis; Sen. J. Marchman; Sen. K. Priola; Sen. F. Winter,Education,Education,Concerning measures related to harm reduction for students.,"Under current law, a school district, the state charter school institute, or the governing board of a nonpublic school may adopt a policy for a school to maintain a supply of and distribute opiate antagonists. The act allows the adoption of a similar policy for maintaining a supply of opiate antagonists on school buses and extends existing civil and criminal immunity to school bus operators and other employees present on buses if they furnish or administer an opiate antagonist in good faith, in addition to other requirements. Additionally, the act allows an adopted policy to allow an employee or agent of the school to furnish an opiate antagonist to any individual, including a student, but only if the student has received school-sponsored training. Under current law, a school district, the state charter school institute, or the governing board of a nonpublic school may adopt a policy for a school to maintain a supply of and distribute non-laboratory synthetic opiate detection tests. The act allows the adoption of a similar policy for non-laboratory additive detection tests and extends existing civil immunity provisions to include non-laboratory additive detection tests. The act requires a school, school district, or the state charter school institute to not prohibit a student of the school district or institute charter school to possess or administer on school grounds, on a school bus, or at any school-sponsored event an opiate antagonist and possess a non-laboratory synthetic opiate detection test or a non-laboratory additive detection test. APPROVED by Governor April 22, 2024 EFFECTIVE August 7, 2024 (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB24-1003
HB24-1004,2024,RS,Bill,Ex-Offenders Practice in Regulated Occupations,Professions & Occupations,Introduced; Passed; Became Law,Representative Jennifer Bacon; Representative Shannon Bird; Senator James Coleman,,Rep. J. Amabile; Rep. A. Boesenecker; Rep. K. Brown; Rep. C. Clifford; Rep. C. deGruy Kennedy; Rep. R. English; Rep. E. Epps; Rep. M. Froelich; Rep. L. García; Rep. E. Hamrick; Rep. T. Hernández; Rep. L. Herod; Rep. I. Jodeh; Rep. C. Kipp; Rep. M. Lindsay; Rep. W. Lindstedt; Rep. J. Mabrey; Rep. B. Marshall; Rep. J. McCluskie; Rep. D. Ortiz; Rep. J. Parenti; Rep. N. Ricks; Rep. M. Rutinel; Rep. E. Sirota; Rep. M. Snyder; Rep. M. Soper; Rep. S. Vigil; Rep. R. Weinberg; Rep. M. Weissman; Rep. M. Young; Sen. M. Baisley; Sen. J. Buckner; Sen. L. Cutter; Sen. T. Exum; Sen. J. Gonzales; Sen. C. Hansen; Sen. S. Jaquez Lewis; Sen. B. Kirkmeyer; Sen. L. Liston; Sen. J. Marchman; Sen. D. Michaelson Jenet; Sen. K. Mullica; Sen. R. Pelton; Sen. K. Priola; Sen. D. Roberts,Business Affairs & Labor,"Business, Labor, & Technology","Concerning the ability of ex-offenders to receive authorization to practice in state-regulated occupations, and, in connection therewith, making an appropriation.","In determining whether an applicant for a state-regulated occupation is qualified to be registered, certified, or licensed, the act allows the entity with regulatory authority concerning the occupation (regulator) to consider an applicant's conviction for a crime for a 3-year period beginning on the date of conviction or the end of incarceration, whichever date is later. If an individual's conviction is directly related to the profession or occupation for which the individual has applied for registration, certification, or licensure, the regulator may consider the conviction after the 3-year period has passed. A regulator may only deny or refuse to renew a registration, certification, or license if the regulator determines that the applicant has not been rehabilitated and is unable to perform the duties and responsibilities of the profession or occupation without creating an unreasonable risk to public safety. An applicant's conviction for a crime does not, in and of itself, disqualify the applicant from being issued a registration, certification, or license. The act allows an individual to petition a regulator to determine whether a criminal conviction will preclude the individual from becoming registered, certified, or licensed prior to that individual completing any other requirements for such credentialing. If a regulator determines that an individual's conviction will likely be considered, the regulator shall advise the individual of any actions the individual may take to remedy the disqualification. The act places the burden of proof for denial of an applicant on the regulator to demonstrate that denial based on the applicant's criminal conviction directly connects to potential performance in the profession or occupation for which the applicant seeks credentialing. APPROVED by Governor June 4, 2024 EFFECTIVE August 7, 2024 (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB24-1004
HB24-1005,2024,RS,Bill,Health Insurers Contract with Qualified Providers,Health Care & Health Insurance,Introduced; Lost,Representative Chris Kennedy; Representative David Ortiz; Senator Dylan Roberts; Senator Rhonda Fields,,Rep. S. Bird; Rep. A. Boesenecker; Rep. K. Brown; Rep. M. Froelich; Rep. L. Herod; Rep. I. Jodeh; Rep. J. Joseph; Rep. C. Kipp; Rep. M. Lindsay; Rep. J. McCluskie; Rep. E. Sirota; Rep. M. Snyder; Rep. M. Weissman; Rep. S. Woodrow; Rep. M. Young,Health & Human Services,Health & Human Services,Concerning contract requirements between primary care providers and other health-care organizations.,"With certain exceptions, for health benefit plans that are issued or renewed on or after January 1, 2027, the bill requires a health-care insurance carrier (carrier) to include a primary care provider as a participating provider in all networks, including narrow networks and all tiers of tiered networks, of the carrier's health benefit plan if the primary care provider is: Licensed to practice in Colorado; Certified or accredited by a national association for the certification or accreditation of primary care providers; Enrolled in an alternative payment model; and Credentialed by federal law to receive reimbursement for the provision of care to patients receiving benefits from medicaid. On or before December 31, 2025, the commissioner of insurance must promulgate rules to implement the bill, including rules: Establishing criteria and a process for determining whether a primary care provider meets the criteria; and Establishing a schedule for contracted reimbursements issued to primary care providers who participate in a health benefit plan. The division of insurance must contract with an actuary to determine a minimum reimbursement schedule for alternative payment models. The schedule: Must ensure that primary care providers are reimbursed at rates that are at least equal to the reimbursement rates established in law for purposes of the Colorado standardized health benefit plan; Must include adjustments for regional cost of living variations; and May include incentives for integration of behavioral health-care services and comprehensive care coordination services. If a carrier and a primary care provider do not negotiate and agree to terms of reimbursement, the carrier must compensate the primary care provider in accordance with the schedule for contracted reimbursements established by rule. If a primary care provider employed by a medical group or hospital system leaves the medical group or hospital system to establish an independent practice, the primary care provider may communicate with patients about continuing to see them in the new practice. Under current law, any covenant not to compete provision of an employment, partnership, or corporate agreement between physicians that restricts the right of a physician to practice medicine upon termination of the agreement is void; except that all other provisions of the agreement, including provisions that require the payment of damages in an amount that is reasonably related to the injury suffered by reason of termination of the agreement, are enforceable. Provisions of a covenant not to compete that require the payment of damages upon termination of the agreement may include damages related to competition. The bill: Establishes exceptions to the general prohibition on covenant not to compete provisions; Broadens the scope of the prohibition to apply to any agreement rather than applying only to employment, partnership, and corporate agreements between physicians; Narrows the existing exception to the prohibition to apply only to provisions that require the payment of damages in an amount that is reasonably related to the injury suffered due to a breach, rather than a termination, of the agreement; and Prohibits including in an agreement any of several provisions that require payment of certain types of damages. (Note: Italicized words indicate new material added to the original summary; dashes through words indicate deletions from the original summary.) (Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)",https://leg.colorado.gov/bills/HB24-1005
HB24-1006,2024,RS,Bill,Assist Rural Community Wildfire-Related Grant Application,Local Government; Natural Resources & Environment,Introduced; Passed; Became Law,Representative Elizabeth Velasco; Representative Marc Snyder; Senator Lisa Cutter; Senator Perry Will,Sen. J. Ginal; Sen. S. Jaquez Lewis,Rep. J. Amabile; Rep. S. Bird; Rep. A. Boesenecker; Rep. K. Brown; Rep. M. Catlin; Rep. C. Clifford; Rep. M. Duran; Rep. R. English; Rep. M. Froelich; Rep. L. García; Rep. E. Hamrick; Rep. L. Herod; Rep. I. Jodeh; Rep. J. Joseph; Rep. S. Lieder; Rep. M. Lindsay; Rep. M. Lukens; Rep. M. Lynch; Rep. J. Mabrey; Rep. J. McCluskie; Rep. K. McCormick; Rep. B. McLachlan; Rep. D. Ortiz; Rep. N. Ricks; Rep. M. Rutinel; Rep. T. Story; Rep. B. Titone; Rep. R. Weinberg; Rep. M. Weissman; Rep. J. Willford; Sen. J. Bridges; Sen. T. Exum; Sen. S. Fenberg; Sen. R. Fields; Sen. J. Gonzales; Sen. J. Marchman; Sen. D. Michaelson Jenet; Sen. K. Priola; Sen. D. Roberts,"Agriculture, Water & Natural Resources",Agriculture & Natural Resources,"Concerning assistance for rural communities to apply for wildfire-related grant money, and, in connection therewith, making an appropriation.","The act directs the Colorado state forest service (forest service) to establish a rural grant navigator grant program to provide grant money to nongovernmental organizations (NGOs) providing outreach and technical assistance, including grant writing assistance, to rural communities seeking to apply for state or federal grants for wildfire mitigation and preparedness (wildfire-related grants). On or after March 1, 2025, an NGO may apply to the forest service for grant money in accordance with application and eligibility guidelines that the forest service establishes with input from NGOs that assist Colorado communities with wildfire mitigation and preparedness. On or before March 1, 2026, and on or before March 1 of every year thereafter, the forest service is required to prepare a report summarizing its work to award grants to NGOs assisting rural communities with identifying and applying for wildfire-related grants. The forest service is required to submit the report to the wildfire matters review committee or, if the committee no longer exists, to the legislative committees with jurisdiction over natural resources matters. For the 2024-25 state fiscal year, $300,000 is appropriated from the general fund to the department of higher education for use by the forest service to implement the act. APPROVED by Governor May 20, 2024 EFFECTIVE August 7, 2024 (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB24-1006
HB24-1007,2024,RS,Bill,Prohibit Residential Occupancy Limits,Housing; Local Government,Introduced; Passed; Became Law,Representative Manny Rutinel; Representative Javier Mabrey; Senator Tony Exum; Senator Julie Gonzales,,Rep. J. Bacon; Rep. A. Boesenecker; Rep. C. deGruy Kennedy; Rep. R. English; Rep. E. Epps; Rep. M. Froelich; Rep. L. García; Rep. T. Hernandez; Rep. L. Herod; Rep. I. Jodeh; Rep. C. Kipp; Rep. M. Lindsay; Rep. W. Lindstedt; Rep. M. Martinez; Rep. J. Marvin; Rep. T. Mauro; Rep. J. McCluskie; Rep. K. McCormick; Rep. D. Ortiz; Rep. J. Parenti; Rep. N. Ricks; Rep. E. Sirota; Rep. E. Velasco; Rep. S. Vigil; Rep. M. Weissman; Rep. J. Willford; Sen. J. Buckner; Sen. J. Coleman; Sen. L. Cutter; Sen. J. Danielson; Sen. R. Fields; Sen. N. Hinrichsen; Sen. S. Jaquez Lewis; Sen. J. Marchman; Sen. D. Michaelson Jenet; Sen. K. Priola; Sen. F. Winter,"Transportation, Housing & Local Government",Local Government & Housing,Concerning residential occupancy limits.,"The act prohibits counties, cities and counties, and municipalities from limiting the number of people who may live together in a single dwelling based on familial relationship, while allowing local governments to implement residential occupancy limits based only on: Demonstrated health and safety standards, such as international building code standards, fire code regulations, or Colorado department of public health and environment wastewater and water quality standards; or Local, state, federal, or political subdivision affordable housing program guidelines. APPROVED by Governor April 15, 2024 EFFECTIVE July 1, 2024 (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB24-1007
HB24-1008,2024,RS,Bill,Wage Claims Construction Industry Contractors,Labor & Employment,Introduced; Passed; Did Not Become Law,Representative Monica Duran; Representative Meg Froelich; Senator Jessie Danielson; Senator Chris Kolker,Rep. K. Brown; Rep. C. deGruy Kennedy; Rep. E. Epps; Rep. L. García; Rep. E. Hamrick; Rep. T. Hernández; Rep. J. Joseph; Rep. S. Lieder; Rep. W. Lindstedt; Rep. J. Mabrey; Rep. T. Mauro; Rep. N. Ricks; Rep. M. Rutinel; Rep. T. Story; Rep. E. Velasco; Rep. S. Vigil; Sen. T. Exum; Sen. J. Gonzales; Sen. J. Marchman; Sen. T. Sullivan,Rep. J. Amabile; Rep. J. Bacon; Rep. S. Bird; Rep. A. Boesenecker; Rep. C. Clifford; Rep. L. Daugherty; Rep. L. Herod; Rep. I. Jodeh; Rep. C. Kipp; Rep. M. Lindsay; Rep. M. Lukens; Rep. B. Marshall; Rep. M. Martinez; Rep. J. Marvin; Rep. K. McCormick; Rep. D. Ortiz; Rep. J. Parenti; Rep. E. Sirota; Rep. B. Titone; Rep. M. Weissman; Rep. J. Willford; Rep. M. Young; Sen. L. Cutter; Sen. R. Fields; Sen. S. Jaquez Lewis; Sen. D. Michaelson Jenet; Sen. K. Priola,Business Affairs & Labor,"Business, Labor, & Technology","Concerning measures to expand general contractor accountability for wage claims involving contractors in the construction industry, and, in connection therewith, making an appropriation.","For wage claims brought by individuals working in the construction industry, the act: Requires a subcontractor that receives a written demand for payment to forward a copy of the written demand for payment to the general contractor within 3 business days after receipt; Specifies that a general contractor entering into a construction contract is liable for all amounts owed to an employee for the employee's labor, construction, or other work, including amounts owed by a subcontractor acting under, by, or for the general contractor; and Allows a general contractor to require the following information from each subcontractor acting under, by, or for the general contractor: Pay data; Contact information; and An affidavit attesting to whether the subcontractor has participated in a civil or administrative proceeding within the last 5 years and, if so, the outcome of the proceeding. Unless a wage violation is caused by the general contractor's lack of payment to a subcontractor, the general contractor may seek indemnification from the subcontractor for all amounts owed by the general contractor for the subcontractor's wage violation. VETOED by Governor May 17, 2024 (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB24-1008
HB24-1009,2024,RS,Bill,Bilingual Child Care Licensing Resources,Children & Domestic Matters; Health Care & Health Insurance; Human Services,Introduced; Passed; Became Law,Representative Junie Joseph; Representative Barbara McLachlan; Senator Joann Ginal; Senator Janice Rich,,Rep. J. Amabile; Rep. J. Bacon; Rep. S. Bird; Rep. A. Boesenecker; Rep. K. Brown; Rep. C. Clifford; Rep. L. Daugherty; Rep. M. Duran; Rep. E. Epps; Rep. M. Froelich; Rep. L. García; Rep. E. Hamrick; Rep. T. Hernández; Rep. L. Herod; Rep. I. Jodeh; Rep. C. Kipp; Rep. S. Lieder; Rep. M. Lindsay; Rep. W. Lindstedt; Rep. M. Lukens; Rep. J. Mabrey; Rep. M. Martinez; Rep. J. Marvin; Rep. T. Mauro; Rep. J. McCluskie; Rep. K. McCormick; Rep. D. Ortiz; Rep. J. Parenti; Rep. N. Ricks; Rep. M. Rutinel; Rep. E. Sirota; Rep. M. Snyder; Rep. T. Story; Rep. B. Titone; Rep. A. Valdez; Rep. E. Velasco; Rep. S. Vigil; Rep. M. Weissman; Rep. J. Willford; Rep. M. Young; Sen. J. Bridges; Sen. J. Buckner; Sen. L. Cutter; Sen. T. Exum; Sen. R. Fields; Sen. J. Gonzales; Sen. S. Jaquez Lewis; Sen. C. Kolker; Sen. J. Marchman; Sen. D. Michaelson Jenet; Sen. K. Priola; Sen. F. Winter; Sen. R. Zenzinger,Education,Education,"Concerning requiring the department of early childhood to provide child care licensing resources in prevalent languages, and, in connection therewith, making an appropriation.","The act requires the department of early childhood (department) to provide education and information in plain language and in prevalent languages to help individuals complete the paperwork required to meet child care licensing compliance requirements. Prevalent languages is defined as the 2 most prevalent languages spoken in Colorado. The department is required to provide services in prevalent languages to individuals seeking to open or otherwise participate in the operation of an early childhood program or facility licensed by the department. The act creates the bilingual licensing unit in the department to help the department satisfy its duties to provide education, information, and services in prevalent languages and requires the general assembly to appropriate $235,000 from the general fund to the department for the 2024-25 state fiscal year and for each state fiscal year thereafter to pay the costs of the bilingual licensing unit's activities. The act also requires the general assembly to appropriate $45,000 from the general fund to the department for the 2024-25 state fiscal year to pay costs associated with updating the department's mobile licensing application. APPROVED by Governor June 6, 2024 EFFECTIVE June 6, 2024 (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB24-1009
HB24-1010,2024,RS,Bill,Insurance Coverage for Provider-Administered Drugs,Health Care & Health Insurance,Introduced; Passed; Did Not Become Law,Representative Iman Jodeh; Representative Matt Soper; Senator Dafna Michaelson Jenet; Senator Perry Will,Rep. A. Hartsook,Rep. J. Amabile; Rep. J. Bacon; Rep. S. Bird; Rep. A. Boesenecker; Rep. K. Brown; Rep. C. Clifford; Rep. C. deGruy Kennedy; Rep. M. Duran; Rep. R. English; Rep. E. Epps; Rep. M. Froelich; Rep. E. Hamrick; Rep. T. Hernandez; Rep. L. Herod; Rep. J. Joseph; Rep. C. Kipp; Rep. S. Lieder; Rep. M. Lindsay; Rep. J. Mabrey; Rep. J. McCluskie; Rep. K. McCormick; Rep. B. McLachlan; Rep. D. Ortiz; Rep. J. Parenti; Rep. M. Rutinel; Rep. E. Sirota; Rep. M. Snyder; Rep. T. Story; Rep. B. Titone; Rep. A. Valdez; Rep. M. Weissman; Rep. S. Woodrow; Rep. M. Young; Sen. J. Buckner; Sen. L. Cutter; Sen. T. Exum; Sen. J. Ginal; Sen. N. Hinrichsen; Sen. S. Jaquez Lewis; Sen. B. Kirkmeyer; Sen. C. Kolker; Sen. L. Liston; Sen. J. Smallwood; Sen. F. Winter,Health & Human Services,Health & Human Services,"Concerning limitations on drugs covered under an individual's health insurance policy that are administered by a provider in a setting other than a hospital, and, in connection therewith, making an appropriation.","For the treatment of cancer or a life-threatening disease or for the treatment of a symptom, complication, or consequence of cancer or a life-threatening disease, the act prohibits a carrier, with respect to a health benefit plan issued on or after January 1, 2025, from: Requiring a provider-administered drug to be dispensed only by specific network pharmacies; If a provider-administered drug is otherwise covered by the carrier for the covered person, limiting or excluding coverage for the drug based on the covered person's choice of participating provider; Requiring a participating provider to bill for or be reimbursed for the delivery and administration of a provider-administered drug under the pharmacy benefit instead of the medical benefit without informed, written consent of the covered person and written attestation by the covered person's participating provider that a delay in the drug's administration will not place the covered person at an increased health risk; or Requiring a covered person to pay additional fees, copayments, or coinsurance based on the covered person's choice of pharmacy. The act also requires the reimbursement rate for covered provider-administered drugs to be at the carrier's in-network negotiated rate for participating providers. The act appropriates $7,333 to the department of regulatory agencies for use by the division of insurance from the division of insurance cash fund to implement the act. VETOED by Governor May 17, 2024 (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB24-1010
