bill_number,session,session_type,chamber,action_date,action,order
HB19-1001,2019,RS,House,2019-01-04,Introduced In House - Assigned to Health & Insurance,1
HB19-1001,2019,RS,House,2019-01-16,House Committee on Health & Insurance Refer Amended to House Committee of the Whole,2
HB19-1001,2019,RS,House,2019-01-28,House Second Reading Laid Over Daily - No Amendments,3
HB19-1001,2019,RS,House,2019-01-29,"House Second Reading Passed with Amendments - Committee, Floor",4
HB19-1001,2019,RS,House,2019-01-30,House Third Reading Laid Over Daily - No Amendments,5
HB19-1001,2019,RS,House,2019-01-31,House Third Reading Passed - No Amendments,6
HB19-1001,2019,RS,Senate,2019-02-04,Introduced In Senate - Assigned to Health & Human Services,7
HB19-1001,2019,RS,Senate,2019-03-07,Senate Committee on Health & Human Services Refer Amended - Consent Calendar to Senate Committee of the Whole,8
HB19-1001,2019,RS,Senate,2019-03-12,Senate Second Reading Laid Over Daily - No Amendments,9
HB19-1001,2019,RS,Senate,2019-03-13,Senate Second Reading Passed with Amendments - Committee,10
HB19-1001,2019,RS,Senate,2019-03-14,Senate Third Reading Passed - No Amendments,11
HB19-1001,2019,RS,House,2019-03-17,House Considered Senate Amendments - Result was to Laid Over Daily,12
HB19-1001,2019,RS,House,2019-03-18,House Considered Senate Amendments - Result was to Concur - Repass,13
HB19-1001,2019,RS,Senate,2019-03-19,Signed by the President of the Senate,14
HB19-1001,2019,RS,House,2019-03-19,Signed by the Speaker of the House,15
HB19-1001,2019,RS,Governor,2019-03-20,Sent to the Governor,16
HB19-1001,2019,RS,Governor,2019-03-28,Governor Signed,17
HB19-1002,2019,RS,House,2019-01-04,Introduced In House - Assigned to Education,1
HB19-1002,2019,RS,House,2019-01-17,House Committee on Education Refer Amended to Appropriations,2
HB19-1002,2019,RS,House,2019-04-18,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB19-1002,2019,RS,House,2019-04-18,House Second Reading Special Order - Passed with Amendments - Committee,4
HB19-1002,2019,RS,House,2019-04-19,House Third Reading Passed with Amendments - Floor,5
HB19-1002,2019,RS,Senate,2019-04-19,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",6
HB19-1002,2019,RS,Senate,2019-04-24,"Senate Committee on State, Veterans, & Military Affairs Refer Amended to Appropriations",7
HB19-1002,2019,RS,Senate,2019-04-26,Senate Committee on Appropriations Refer Unamended to Senate Committee of the Whole,8
HB19-1002,2019,RS,Senate,2019-04-29,Senate Second Reading Laid Over Daily - No Amendments,9
HB19-1002,2019,RS,Senate,2019-04-30,Senate Second Reading Passed with Amendments - Committee,10
HB19-1002,2019,RS,Senate,2019-05-01,Senate Third Reading Passed - No Amendments,11
HB19-1002,2019,RS,House,2019-05-02,House Considered Senate Amendments - Result was to Concur - Repass,12
HB19-1002,2019,RS,House,2019-05-14,Signed by the Speaker of the House,13
HB19-1002,2019,RS,Governor,2019-05-15,Sent to the Governor,14
HB19-1002,2019,RS,Senate,2019-05-15,Signed by the President of the Senate,15
HB19-1002,2019,RS,Governor,2019-05-31,Governor Signed,16
HB19-1003,2019,RS,House,2019-01-04,Introduced In House - Assigned to Energy & Environment,1
HB19-1003,2019,RS,House,2019-01-17,House Committee on Energy & Environment Refer Amended to Appropriations,2
HB19-1003,2019,RS,House,2019-02-28,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB19-1003,2019,RS,House,2019-03-11,House Second Reading Laid Over Daily - No Amendments,4
HB19-1003,2019,RS,House,2019-03-15,House Second Reading Re-referred to Appropriations - No Amendments,5
HB19-1003,2019,RS,House,2019-03-29,"House Second Reading Special Order - Passed with Amendments - Committee, Floor",6
HB19-1003,2019,RS,House,2019-04-01,House Third Reading Passed - No Amendments,7
HB19-1003,2019,RS,Senate,2019-04-03,Introduced In Senate - Assigned to Transportation & Energy,8
HB19-1003,2019,RS,Senate,2019-04-16,Senate Committee on Transportation & Energy Refer Amended to Senate Committee of the Whole,9
HB19-1003,2019,RS,Senate,2019-04-19,Senate Second Reading Laid Over Daily - No Amendments,10
HB19-1003,2019,RS,Senate,2019-04-23,"Senate Second Reading Passed with Amendments - Committee, Floor",11
HB19-1003,2019,RS,Senate,2019-04-24,Senate Third Reading Passed with Amendments - Floor,12
HB19-1003,2019,RS,House,2019-04-25,House Considered Senate Amendments - Result was to Laid Over Daily,13
HB19-1003,2019,RS,House,2019-04-29,House Considered Senate Amendments - Result was to Concur - Repass,14
HB19-1003,2019,RS,House,2019-05-14,Signed by the Speaker of the House,15
HB19-1003,2019,RS,Governor,2019-05-14,Sent to the Governor,16
HB19-1003,2019,RS,Senate,2019-05-14,Signed by the President of the Senate,17
HB19-1003,2019,RS,Governor,2019-05-30,Governor Signed,18
HB19-1004,2019,RS,House,2019-01-04,Introduced In House - Assigned to Health & Insurance,1
HB19-1004,2019,RS,House,2019-01-23,House Committee on Health & Insurance Refer Amended to Appropriations,2
HB19-1004,2019,RS,House,2019-02-28,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB19-1004,2019,RS,House,2019-03-01,"House Second Reading Passed with Amendments - Committee, Floor",4
HB19-1004,2019,RS,House,2019-03-04,House Third Reading Passed - No Amendments,5
HB19-1004,2019,RS,Senate,2019-03-07,Introduced In Senate - Assigned to Health & Human Services,6
HB19-1004,2019,RS,Senate,2019-03-13,Senate Committee on Health & Human Services Refer Unamended to Appropriations,7
HB19-1004,2019,RS,Senate,2019-04-12,Senate Committee on Appropriations Refer Unamended to Senate Committee of the Whole,8
HB19-1004,2019,RS,Senate,2019-04-16,Senate Second Reading Passed with Amendments - Floor,9
HB19-1004,2019,RS,Senate,2019-04-17,Senate Third Reading Passed - No Amendments,10
HB19-1004,2019,RS,House,2019-04-18,House Considered Senate Amendments - Result was to Laid Over Daily,11
HB19-1004,2019,RS,House,2019-04-22,House Considered Senate Amendments - Result was to Concur - Repass,12
HB19-1004,2019,RS,House,2019-05-01,Signed by the Speaker of the House,13
HB19-1004,2019,RS,Senate,2019-05-02,Signed by the President of the Senate,14
HB19-1004,2019,RS,Governor,2019-05-02,Sent to the Governor,15
HB19-1004,2019,RS,Governor,2019-05-17,Governor Signed,16
HB19-1005,2019,RS,House,2019-01-04,Introduced In House - Assigned to Education + Finance + Appropriations,1
HB19-1005,2019,RS,House,2019-01-22,House Committee on Education Refer Unamended to Finance,2
HB19-1005,2019,RS,House,2019-01-28,House Committee on Finance Refer Unamended to Appropriations,3
HB19-1005,2019,RS,House,2019-04-26,House Committee on Appropriations Refer Amended to House Committee of the Whole,4
HB19-1005,2019,RS,House,2019-04-26,"House Second Reading Special Order - Passed with Amendments - Committee, Floor",5
HB19-1005,2019,RS,House,2019-04-27,House Third Reading Passed - No Amendments,6
HB19-1005,2019,RS,Senate,2019-04-29,Introduced In Senate - Assigned to Finance,7
HB19-1005,2019,RS,Senate,2019-04-30,Senate Committee on Finance Refer Unamended to Appropriations,8
HB19-1005,2019,RS,Senate,2019-05-01,Senate Committee on Appropriations Refer Unamended to Senate Committee of the Whole,9
HB19-1005,2019,RS,Senate,2019-05-02,Senate Second Reading Special Order - Passed - No Amendments,10
HB19-1005,2019,RS,Senate,2019-05-03,Senate Third Reading Passed - No Amendments,11
HB19-1005,2019,RS,House,2019-05-13,Signed by the Speaker of the House,12
HB19-1005,2019,RS,Senate,2019-05-13,Signed by the President of the Senate,13
HB19-1005,2019,RS,Governor,2019-05-13,Sent to the Governor,14
HB19-1005,2019,RS,Governor,2019-05-13,Governor Signed,15
HB19-1006,2019,RS,House,2019-01-04,Introduced In House - Assigned to Rural Affairs & Agriculture,1
HB19-1006,2019,RS,House,2019-03-18,House Committee on Rural Affairs & Agriculture Refer Amended to Appropriations,2
HB19-1006,2019,RS,House,2019-04-19,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB19-1006,2019,RS,House,2019-04-19,House Second Reading Special Order - Passed with Amendments - Committee,4
HB19-1006,2019,RS,House,2019-04-22,House Third Reading Passed - No Amendments,5
HB19-1006,2019,RS,Senate,2019-04-22,Introduced In Senate - Assigned to Appropriations,6
HB19-1006,2019,RS,Senate,2019-04-24,Senate Committee on Appropriations Refer Unamended - Consent Calendar to Senate Committee of the Whole,7
HB19-1006,2019,RS,Senate,2019-04-24,Senate Second Reading Special Order - Passed - No Amendments,8
HB19-1006,2019,RS,Senate,2019-04-25,Senate Third Reading Passed - No Amendments,9
HB19-1006,2019,RS,House,2019-05-13,Signed by the Speaker of the House,10
HB19-1006,2019,RS,Senate,2019-05-13,Signed by the President of the Senate,11
HB19-1006,2019,RS,Governor,2019-05-13,Sent to the Governor,12
HB19-1006,2019,RS,Governor,2019-05-31,Governor Signed,13
HB19-1007,2019,RS,House,2019-01-04,"Introduced In House - Assigned to State, Veterans, & Military Affairs",1
HB19-1007,2019,RS,House,2019-01-15,"House Committee on State, Veterans, & Military Affairs Refer Amended to Appropriations",2
HB19-1007,2019,RS,House,2019-02-12,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB19-1007,2019,RS,House,2019-02-14,House Second Reading Passed with Amendments - Committee,4
HB19-1007,2019,RS,House,2019-02-15,House Third Reading Passed - No Amendments,5
HB19-1007,2019,RS,Senate,2019-02-19,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",6
HB19-1007,2019,RS,Senate,2019-03-04,"Senate Committee on State, Veterans, & Military Affairs Refer Unamended to Appropriations",7
HB19-1007,2019,RS,Senate,2019-03-19,Senate Committee on Appropriations Refer Unamended to Senate Committee of the Whole,8
HB19-1007,2019,RS,Senate,2019-03-21,Senate Second Reading Passed - No Amendments,9
HB19-1007,2019,RS,Senate,2019-03-22,Senate Third Reading Passed - No Amendments,10
HB19-1007,2019,RS,Senate,2019-04-02,Signed by the President of the Senate,11
HB19-1007,2019,RS,House,2019-04-02,Signed by the Speaker of the House,12
HB19-1007,2019,RS,Governor,2019-04-03,Sent to the Governor,13
HB19-1007,2019,RS,Governor,2019-04-12,Governor Signed,14
HB19-1008,2019,RS,House,2019-01-04,Introduced In House - Assigned to Education,1
HB19-1008,2019,RS,House,2019-01-15,House Committee on Education Refer Amended to House Committee of the Whole,2
HB19-1008,2019,RS,House,2019-01-18,House Second Reading Laid Over to 01/25/2019 - No Amendments,3
HB19-1008,2019,RS,House,2019-01-25,House Second Reading Passed with Amendments - Committee,4
HB19-1008,2019,RS,House,2019-01-28,House Third Reading Passed - No Amendments,5
HB19-1008,2019,RS,Senate,2019-01-29,Introduced In Senate - Assigned to Education,6
HB19-1008,2019,RS,Senate,2019-02-13,Senate Committee on Education Refer Unamended - Consent Calendar to Senate Committee of the Whole,7
HB19-1008,2019,RS,Senate,2019-02-19,Senate Second Reading Passed - No Amendments,8
HB19-1008,2019,RS,Senate,2019-02-20,Senate Third Reading Passed - No Amendments,9
HB19-1008,2019,RS,Senate,2019-02-27,Signed by the President of the Senate,10
HB19-1008,2019,RS,House,2019-02-27,Signed by the Speaker of the House,11
HB19-1008,2019,RS,Governor,2019-02-28,Sent to the Governor,12
HB19-1008,2019,RS,Governor,2019-03-07,Governor Signed,13
HB19-1009,2019,RS,House,2019-01-04,Introduced In House - Assigned to Public Health Care & Human Services + Appropriations,1
HB19-1009,2019,RS,House,2019-03-06,House Committee on Public Health Care & Human Services Refer Amended to Appropriations,2
HB19-1009,2019,RS,House,2019-04-26,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB19-1009,2019,RS,House,2019-04-26,House Second Reading Special Order - Passed with Amendments - Committee,4
HB19-1009,2019,RS,House,2019-04-27,House Third Reading Passed - No Amendments,5
HB19-1009,2019,RS,Senate,2019-04-29,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",6
HB19-1009,2019,RS,Senate,2019-04-30,"Senate Committee on State, Veterans, & Military Affairs Refer Amended to Appropriations",7
HB19-1009,2019,RS,Senate,2019-05-01,Senate Committee on Appropriations Refer Unamended to Senate Committee of the Whole,8
HB19-1009,2019,RS,Senate,2019-05-02,"Senate Second Reading Special Order - Passed with Amendments - Committee, Floor",9
HB19-1009,2019,RS,Senate,2019-05-03,Senate Third Reading Passed - No Amendments,10
HB19-1009,2019,RS,House,2019-05-03,House Considered Senate Amendments - Result was to Concur - Repass,11
HB19-1009,2019,RS,Governor,2019-05-15,Sent to the Governor,12
HB19-1009,2019,RS,House,2019-05-15,Signed by the Speaker of the House,13
HB19-1009,2019,RS,Senate,2019-05-15,Signed by the President of the Senate,14
HB19-1009,2019,RS,Governor,2019-05-23,Governor Signed,15
HB19-1010,2019,RS,House,2019-01-04,Introduced In House - Assigned to Health & Insurance,1
HB19-1010,2019,RS,House,2019-01-16,House Committee on Health & Insurance Refer Amended to Finance,2
HB19-1010,2019,RS,House,2019-01-24,House Committee on Finance Refer Unamended to Appropriations,3
HB19-1010,2019,RS,House,2019-02-12,House Committee on Appropriations Refer Amended to House Committee of the Whole,4
HB19-1010,2019,RS,House,2019-02-14,House Second Reading Passed with Amendments - Committee,5
HB19-1010,2019,RS,House,2019-02-15,House Third Reading Passed - No Amendments,6
HB19-1010,2019,RS,Senate,2019-02-19,Introduced In Senate - Assigned to Health & Human Services,7
HB19-1010,2019,RS,Senate,2019-03-07,Senate Committee on Health & Human Services Refer Unamended to Finance,8
HB19-1010,2019,RS,Senate,2019-03-21,Senate Committee on Finance Refer Unamended to Appropriations,9
HB19-1010,2019,RS,Senate,2019-04-09,Senate Committee on Appropriations Refer Unamended to Senate Committee of the Whole,10
HB19-1010,2019,RS,Senate,2019-04-11,Senate Second Reading Passed - No Amendments,11
HB19-1010,2019,RS,Senate,2019-04-12,Senate Third Reading Passed - No Amendments,12
HB19-1010,2019,RS,House,2019-05-09,Signed by the Speaker of the House,13
HB19-1010,2019,RS,Senate,2019-05-09,Signed by the President of the Senate,14
HB19-1010,2019,RS,Governor,2019-05-09,Sent to the Governor,15
HB19-1010,2019,RS,Governor,2019-05-29,Governor Signed,16
HB19-1011,2019,RS,House,2019-01-04,Introduced In House - Assigned to Transportation & Local Government,1
HB19-1011,2019,RS,House,2019-01-16,House Committee on Transportation & Local Government Refer Amended to House Committee of the Whole,2
HB19-1011,2019,RS,House,2019-01-18,House Second Reading Passed with Amendments - Committee,3
HB19-1011,2019,RS,House,2019-01-22,House Third Reading Laid Over to 01/23/2019 - No Amendments,4
HB19-1011,2019,RS,House,2019-01-23,House Third Reading Passed - No Amendments,5
HB19-1011,2019,RS,Senate,2019-01-23,Introduced In Senate - Assigned to Local Government,6
HB19-1011,2019,RS,Senate,2019-02-05,Senate Committee on Local Government Refer Unamended to Senate Committee of the Whole,7
HB19-1011,2019,RS,Senate,2019-02-08,Senate Second Reading Passed - No Amendments,8
HB19-1011,2019,RS,Senate,2019-02-11,Senate Third Reading Laid Over Daily - No Amendments,9
HB19-1011,2019,RS,Senate,2019-02-12,Senate Third Reading Passed - No Amendments,10
HB19-1011,2019,RS,House,2019-02-20,Signed by the Speaker of the House,11
HB19-1011,2019,RS,Senate,2019-02-21,Signed by the President of the Senate,12
HB19-1011,2019,RS,Governor,2019-02-21,Sent to the Governor,13
HB19-1011,2019,RS,Governor,2019-02-28,Governor Signed,14
HB19-1012,2019,RS,House,2019-01-04,Introduced In House - Assigned to Finance,1
HB19-1012,2019,RS,House,2019-01-14,House Committee on Finance Refer Unamended to House Committee of the Whole,2
HB19-1012,2019,RS,House,2019-01-18,House Second Reading Passed - No Amendments,3
HB19-1012,2019,RS,House,2019-01-22,House Third Reading Laid Over to 01/23/2019 - No Amendments,4
HB19-1012,2019,RS,House,2019-01-23,House Third Reading Passed - No Amendments,5
HB19-1012,2019,RS,Senate,2019-01-23,Introduced In Senate - Assigned to Finance,6
HB19-1012,2019,RS,Senate,2019-02-19,Senate Committee on Finance Refer Unamended - Consent Calendar to Senate Committee of the Whole,7
HB19-1012,2019,RS,Senate,2019-02-22,Senate Second Reading Passed - No Amendments,8
