bill_number,session,session_type,bill_type,title,keywords,status,primary_sponsors,sponsors,cosponsors,house_committee,senate_committee,long_title,summary,bill_url
HB20-1001,2020,RS,Bill,Nicotine Product Regulation,"Liquor, Tobacco, & Marijuana",Introduced; Passed; Became Law,Representative Kyle Mullica; Representative Colin Larson; Senator Jeff Bridges; Senator Kevin Priola,,Rep. J. Arndt; Rep. K. Becker; Rep. S. Bird; Rep. J. Buckner; Rep. Y. Caraveo; Rep. C. deGruy Kennedy; Rep. M. Duran; Rep. E. Hooton; Rep. S. Jaquez Lewis; Rep. C. Kipp; Rep. S. Lontine; Rep. J. McCluskie; Rep. D. Roberts; Rep. M. Snyder; Rep. S. Woodrow; Sen. S. Fenberg; Sen. R. Fields; Sen. J. Ginal; Sen. C. Hansen; Sen. T. Story; Sen. N. Todd,Health & Insurance,Finance,"Concerning nicotine product regulations, and, in connection therewith, making an appropriation.","Sections 1 through 8 of the act raise the minimum age of a person to whom cigarettes, tobacco products, and nicotine products (products) may be sold from 18 years of age to 21 years of age. A products retailer must card anyone seeking to purchase products who appears to be under 50 years of age at the time of purchase. Section 1 repeals criminal penalties against a minor for purchasing or attempting to purchase a product. Section 7 prohibits a retailer from permitting a person under 18 years of age to sell or participate in the sale of products. Section 8 also: Increases the minimum number of compliance checks required of each retail location at which the products are sold to 2 per year or at least the minimum number annually required by federal regulation, whichever number is greater; and Requires the executive director of the department of revenue (executive director) to adopt rules concerning enforcement of the laws governing the regulation of products, including rules: Regarding enforcement coordination between the division of liquor enforcement (division) in the department of revenue and local licensing authorities and regarding enforcement against products smuggling; Regarding fees, which must not exceed $400 per year, unless the executive director determines that statewide compliance with products regulation has dropped below 90%, at which time the executive director may, by rule, raise the maximum fee to $600; and Authorizing a single, large-operator license fee for retailers with more than 10 retail locations, which fee is not subject to the general maximum fee amount. Section 9 requires every retailer of the products in the state, on and after July 1, 2021, to obtain a license for each retail location owned. The division is charged with licensing retailers and coordinating with local authorities on retail location compliance checks and investigations of complaints about retailers. Section 10 prohibits: New retail locations at which products are sold from being located within 500 feet of a school unless a local licensing authority has approved a license application for the new retail location; Retail locations that sell electronic smoking device products from advertising those products in a manner that is visible from outside the retail location; and Delivery of products, other than cigars and pipe tobacco, directly to consumers unless the delivery is made by an owner or employee of a licensed retailer who is at least 21 years of age and, at the time of delivery, checks the identification of the individual receiving the delivery to determine that the individual is 21 years of age or older. Section 11 authorizes the division to seek injunctive relief against a person who violates the act and impose fines on or suspend or revoke the state license of a retailer found to have violated the act. Section 12 adjusts the fine amounts for violating the prohibition against selling products to minors from a maximum fine of $1,000 to $15,000 for a fifth or subsequent violation within 24 months to a maximum fine of $1,000 to $15,000 for a fourth or subsequent violation within 24 months. Additionally, the division must prohibit a retailer who commits a second or subsequent violation within 24 months from selling products at the retail location where the violation occurred for a specified period of time, starting with at least 7 days for a second violation within 24 months, to at least 30 days for a third violation within 24 months, and finally for up to 3 years for a fourth or subsequent violation within 24 months. Additionally, section 12 establishes fines ranging from $1,000 for a first violation to $3,000 for a third or subsequent violation within 24 months for the following violations: Advertising electronic smoking device products at a retail location where they are sold in a manner that is visible from outside the retail location; Delivering products without complying with the delivery requirements; and Selling or offering to sell products without a valid state license. If a person sells or offers to sell products without a valid state license at least 3 times within 24 months, the person is not eligible to apply for a state license for 3 years thereafter. Further, section 12 also applies the same fine structure that applies to selling products from a vending machine or failing to display the requisite warning to a violation of the prohibition against allowing a person under 18 years of age to sell or participate in the sale of products. For the 2019-20 state fiscal year, the act appropriates $45,414 to the department of revenue from the liquor enforcement division and state licensing authority cash fund (cash fund) for implementation of the act. For the 2020-21 state fiscal year, the act appropriates: $2,391,262 to the department of revenue from the cash fund for implementation of the act; $98,605 to the department of law from reappropriated funds received from the department of revenue for legal services for the department of revenue; and $69,450 to the department of personnel from reappropriated funds received from the department of revenue for vehicle replacement lease or purchase. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB20-1001
HB20-1002,2020,RS,Bill,College Credit For Work Experience,Higher Education,Introduced; Passed; Became Law,Representative Barbara McLachlan; Representative Mark Baisley; Senator Rachel Zenzinger; Senator Tammy Story,Rep. C. Kipp,Rep. S. Bird; Rep. J. Buckner; Rep. B. Buentello; Rep. Y. Caraveo; Rep. T. Carver; Rep. R. Champion; Rep. L. Cutter; Rep. C. deGruy Kennedy; Rep. M. Duran; Rep. D. Esgar; Rep. T. Exum; Rep. M. Froelich; Rep. T. Geitner; Rep. S. Gonzales-Gutierrez; Rep. M. Gray; Rep. L. Herod; Rep. E. Hooton; Rep. S. Humphrey; Rep. D. Jackson; Rep. S. Jaquez Lewis; Rep. L. Liston; Rep. S. Lontine; Rep. J. McCluskie; Rep. J. Melton; Rep. R. Pelton; Rep. D. Roberts; Rep. S. Sandridge; Rep. J. Singer; Rep. E. Sirota; Rep. M. Snyder; Rep. M. Soper; Rep. K. Tipper; Rep. B. Titone; Rep. A. Valdez; Rep. D. Valdez; Rep. K. Van Winkle; Rep. M. Weissman; Rep. D. Williams; Rep. S. Woodrow; Rep. M. Young; Sen. J. Bridges; Sen. D. Coram; Sen. L. Crowder; Sen. J. Danielson; Sen. R. Fields; Sen. L. Garcia; Sen. B. Gardner; Sen. J. Ginal; Sen. C. Hansen; Sen. D. Hisey; Sen. P. Lee; Sen. V. Marble; Sen. D. Moreno; Sen. B. Pettersen; Sen. K. Priola; Sen. R. Rodriguez; Sen. R. Scott; Sen. J. Sonnenberg; Sen. J. Tate; Sen. N. Todd; Sen. A. Williams; Sen. F. Winter; Sen. R. Woodward,Education,"State, Veterans, & Military Affairs",Concerning a statewide plan for awarding college credit for work-related experience.,"The act requires the department of higher education to conduct a study concerning awarding academic credit for prior learning within all state institutions of higher education (institutions). An existing council charged with examining general education courses shall implement a plan for determining and awarding academic credit for postsecondary education based on work-related experience. The plan must not be created, adopted, or implemented unless sufficient money is available from gifts, grants, or donations to cover the costs of creating, adopting, and implementing a plan. Beginning in the 2022-23 academic year, unless a plan is implemented prior to then, institutions shall accept and transfer academic credit awarded for work-related experience as courses with guaranteed-transfer designation or part of a statewide degree transfer agreement. Beginning March 1, 2024, and each year thereafter, the council shall report to the education committees of the senate and house of representatives, or any successor committees, regarding the implementation of the credit for work-related experience plan. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB20-1002
HB20-1003,2020,RS,Bill,Rural Jump-start Zone Act Modifications,Business & Economic Development,Introduced; Passed; Became Law,Representative Dylan Roberts; Representative Janice Rich; Senator Kerry Donovan; Senator Ray Scott,Rep. B. Buentello; Rep. J. McCluskie; Rep. B. McLachlan; Rep. R. Pelton; Rep. M. Soper; Rep. P. Will,Rep. J. Arndt; Rep. K. Becker; Rep. S. Bird; Rep. R. Bockenfeld; Rep. J. Buckner; Rep. L. Cutter; Rep. C. deGruy Kennedy; Rep. M. Duran; Rep. D. Esgar; Rep. T. Exum; Rep. M. Froelich; Rep. S. Gonzales-Gutierrez; Rep. M. Gray; Rep. E. Hooton; Rep. T. Kraft-Tharp; Rep. J. Melton; Rep. D. Michaelson Jenet; Rep. E. Sirota; Rep. M. Snyder; Rep. B. Titone; Rep. D. Valdez; Rep. J. Wilson; Rep. S. Woodrow; Rep. M. Young; Sen. J. Bridges; Sen. J. Cooke; Sen. D. Coram; Sen. L. Crowder; Sen. J. Danielson; Sen. L. Garcia; Sen. J. Ginal; Sen. C. Hansen; Sen. D. Hisey; Sen. K. Priola; Sen. B. Rankin; Sen. J. Smallwood; Sen. J. Sonnenberg; Sen. J. Tate; Sen. N. Todd; Sen. F. Winter; Sen. R. Zenzinger,Rural Affairs & Agriculture,Finance,Concerning modifications to the rural jump-start zone act.,"The act: Extends the rural jump-start program for an additional 5 years; Adds a legislative declaration stating that the purpose of the 5-year extension is to create or retain jobs in order to help address the still significant contraction of local economies in certain areas of the state; Changes the existing competition clause to specify that a new business applying for rural jump-start program benefits cannot compete with an existing business in the rural jump-start zone in which the business will be located or in any distressed county that is contiguous to the rural jump-start zone; Adds economic development organizations as authorized entities to apply to: Form a rural jump-start zone; or To allow a new business to participate in the rural jump-start program; and Amends the reporting requirements to ensure that any future evaluation of the rural jump-start program can rely on clear, relevant, and ascertainable metrics and data provided by the economic development commission. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB20-1003
HB20-1004,2020,RS,Bill,Assistance Landowner Wildfire Mitigation,State Government,Introduced; Lost,Representative Lisa Cutter; Representative Perry Will; Senator Pete Lee,Rep. J. McCluskie; Rep. M. Snyder; Sen. S. Fenberg; Sen. J. Ginal,,Rural Affairs & Agriculture,,Concerning wildfire mitigation assistance for landowners.,"Wildfire Matters Review Committee. The bill establishes the wildfire mitigation resources and best practices grant program (grant program) within the division of local government in the department of local affairs. Grant recipients use grant money to conduct outreach among landowners to inform them of resources available for wildfire mitigation and best practices for wildfire mitigation. The grant program only awards grants to applicants conducting outreach to landowners in high wildfire hazard areas and prioritizes applications based on the potential impact of the applicant's proposed outreach. The bill also extends the increased wildfire mitigation income tax deduction that allows a landowner to claim 100%, rather than 50%, of the costs they incur in performing wildfire mitigation measures. (Note: This summary applies to this bill as introduced.)",https://leg.colorado.gov/bills/HB20-1004
HB20-1005,2020,RS,Bill,Enhance Safe2tell,Education & School Finance (Pre & K-12),Introduced; Lost,Representative Dafna Michaelson Jenet; Representative Kevin Van Winkle; Senator Rhonda Fields; Senator Paul Lundeen,Rep. E. Sirota; Sen. B. Gardner; Sen. J. Gonzales,Rep. J. Arndt; Rep. K. Becker; Rep. S. Bird; Rep. J. Buckner; Rep. B. Buentello; Rep. Y. Caraveo; Rep. L. Cutter; Rep. C. deGruy Kennedy; Rep. M. Duran; Rep. D. Esgar; Rep. T. Exum; Rep. M. Froelich; Rep. S. Gonzales-Gutierrez; Rep. M. Gray; Rep. L. Herod; Rep. E. Hooton; Rep. D. Jackson; Rep. C. Kipp; Rep. T. Kraft-Tharp; Rep. L. Landgraf; Rep. S. Lontine; Rep. J. McCluskie; Rep. B. McLachlan; Rep. J. Melton; Rep. K. Mullica; Rep. D. Roberts; Rep. S. Sandridge; Rep. J. Singer; Rep. M. Snyder; Rep. T. Sullivan; Rep. B. Titone; Rep. A. Valdez; Rep. D. Valdez; Rep. M. Weissman; Rep. J. Wilson; Rep. S. Woodrow; Rep. M. Young,Education,Education,"Concerning enhancements to the safe2tell program, and, in connection therewith, making an appropriation.","School Safety Committee. Under current law, the safe2tell program is required to provide awareness and educational materials to preschools. The bill repeals this requirement. The bill clarifies that safe2tell does not have to provide information about a call to law enforcement and school personnel if the call was forwarded to the statewide crisis response system. The bill directs the department of law to devise a process and develop standardized protocols so that any communication related to mental health or substance use received by safe2tell may be transferred to the statewide crisis response system. The bill requires the safe2tell program to: Develop training materials outlining appropriate responses to safe2tell tips to ensure standardized messaging; Devise a process so that all calls and texts are received initially by a crisis operator and then non-crisis calls and texts are routed appropriately; Align the process and procedures for tips received via all communication methods; and Conduct an annual advertising campaign regarding awareness, use, and misuse of safe2tell. The bill allows the attorney general to disclose to law enforcement personnel any materials or information obtained through the implementation or operation of the program if the attorney general reasonably deems such disclosure necessary for the prevention of imminent physical harm or serious bodily injury to one or more persons. The bill appropriates $50,000 from the general fund to the department of law to implement the bill. (Note: Italicized words indicate new material added to the original summary; dashes through words indicate deletions from the original summary.) (Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)",https://leg.colorado.gov/bills/HB20-1005
HB20-1006,2020,RS,Bill,Early Childhood Mental Health Consultants,Children & Domestic Matters; Education & School Finance (Pre & K-12); Human Services,Introduced; Lost,Representative Julie McCluskie; Representative Emily Sirota; Senator Brittany Pettersen; Senator Tammy Story,,,Public Health Care & Human Services,,Concerning creation of a statewide program of early childhood mental health consultation.,"Early Childhood and School Readiness Legislative Commission. The bill directs the department of human services (department) to design, implement, and operate a statewide program of early childhood mental health consultation (program). The purpose of the program is to support mental health care across the state in a variety of early childhood settings and practices. Specifically, the program must be designed to: Increase the number of qualified and appropriately trained early childhood mental health consultants (mental health consultants) for on-site consultations; and Utilize the mental health consultants, through on-site visits, to support a variety of early childhood settings and practices from the prenatal period through 8 years of age. The program must also include a: Model of consultation for mental health consultants (model) that includes job qualifications and expectations, expected outcomes, and guidance on ratios of mental health consultants and the settings they support. The model must include standards and guidelines for mental health consultants developed from evidence-based programs. Professional development plan for mental health consultants; Certification process for mental health consultants; and A published list of certified mental health consultants. The bill requires the department to actively collect data related to the program and make regular reports on the program to the joint budget committee of the general assembly and as part of its annual ""State Measurement for Accountable, Responsive, and Transparent (SMART) Government Act"" hearing. The department, in collaboration with the department of health care policy and financing, is directed to explore additional funding options for the program. (Note: This summary applies to this bill as introduced.)",https://leg.colorado.gov/bills/HB20-1006
HB20-1007,2020,RS,Bill,Diverse Kindergarten Through 12th Grade Educator Workforce Report,Education & School Finance (Pre & K-12); Higher Education,Introduced; Lost,Representative James Coleman; Representative Bri Buentello; Senator Rhonda Fields; Senator Paul Lundeen,,Rep. K. Becker; Rep. A. Benavidez; Rep. S. Bird; Rep. J. Buckner; Rep. Y. Caraveo; Rep. L. Cutter; Rep. M. Duran; Rep. D. Esgar; Rep. T. Exum; Rep. M. Froelich; Rep. A. Garnett; Rep. S. Gonzales-Gutierrez; Rep. M. Gray; Rep. L. Herod; Rep. E. Hooton; Rep. D. Jackson; Rep. S. Jaquez Lewis; Rep. C. Kipp; Rep. S. Lontine; Rep. J. McCluskie; Rep. B. McLachlan; Rep. J. Melton; Rep. D. Michaelson Jenet; Rep. K. Mullica; Rep. D. Roberts; Rep. J. Singer; Rep. E. Sirota; Rep. K. Tipper; Rep. B. Titone; Rep. A. Valdez; Rep. D. Valdez; Rep. M. Weissman; Rep. S. Woodrow; Rep. M. Young,Education,Education,"Concerning increasing the diversity of Colorado's educators in elementary and secondary public schools, and, in connection therewith, making an appropriation.","The bill directs the department of higher education and the department of education to convene a workgroup on diversity in the educator workforce (workgroup). The department of higher education and the department of education shall select the members of the workgroup, which shall include but are not limited to those agencies, persons, and organizations specified in the bill. The department may seek recommendations or nominations from interested stakeholders. The workgroup shall investigate barriers to the preparation, retention, and recruitment of a diverse educator workforce and shall consider strategies to increase diversity in the educator workforce. The bill includes specific issues for the workgroup to consider. The workgroup shall submit a written report of its findings and recommendations to the education committees of the general assembly no later than September 30, 2021. The workgroup may submit interim findings and recommendations during the 2021 legislative session. Under current law, the department of higher education reports annually concerning educator preparation programs, including enrollment, graduation rates, outcomes of graduates, and performance on assessments administered for licensure. The bill requires the department to include the required information disaggregated by the candidates' or graduates' gender, race, and ethnicity. Further, the information contained in the annual report must be posted on the department of higher education's and the department of education's websites. (Note: Italicized words indicate new material added to the original summary; dashes through words indicate deletions from the original summary.) (Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)",https://leg.colorado.gov/bills/HB20-1007
HB20-1008,2020,RS,Bill,Health Care Cost-sharing Consumer Protections,Financial Services & Commerce; Health Care & Health Insurance,Introduced; Lost,Representative Susan Lontine; Senator Rhonda Fields,,,Health & Insurance,,Concerning protections for consumers who participate in health care cost-sharing arrangements.,"The bill defines a ""health care cost-sharing arrangement"" as a health care sharing ministry or medical cost-sharing community that collects funds from its members on a regular basis, at levels established by the arrangement, for purposes of sharing, covering, or defraying the medical costs of its members. A health care cost-sharing arrangement is required to: Report specified information to the commissioner of insurance (commissioner) regarding its operations, financial statements, membership, and medical bills submitted, paid, and denied; Provide certain disclosures on its website, in marketing materials, and to potential members; and Respond to requests for payment of medical expenses from health care providers within a period specified by the commissioner by rule. If an insurance broker offers to enroll or enrolls individuals or groups in a health care cost-sharing arrangement, the broker must provide the same disclosures that a health care cost-sharing arrangement is required to provide. The bill also prohibits a health care cost-sharing arrangement or insurance broker from offering or enrolling participants in the arrangement during the annual open enrollment period for health benefit plans. The commissioner is authorized to adopt rules to implement the data reporting, disclosure, and response time requirements and to impose fines for failure to comply with the requirements and prohibitions specified in the bill. A person is prohibited from making, issuing, circulating, or causing to be made, issued, or circulated any statement or publication that misrepresents the medical cost-sharing benefits, advantages, conditions, or terms of any health care cost-sharing arrangement. The commissioner is authorized to issue an emergency, ex parte cease-and-desist order against a person the commissioner believes to be violating this prohibition if it appears to the commissioner that the alleged conduct is fraudulent, creates an immediate danger to public safety, or is causing or is reasonably expected to cause significant, imminent, and irreparable public injury. If a person violates the emergency order, the commissioner may impose a civil penalty, order restitution, or both. (Note: This summary applies to this bill as introduced.)",https://leg.colorado.gov/bills/HB20-1008
HB20-1009,2020,RS,Bill,Suppressing Court Records Of Eviction Proceedings,Courts & Judicial,Introduced; Passed; Became Law,Representative Dominique Jackson; Senator Faith Winter,,Rep. J. Arndt; Rep. A. Benavidez; Rep. S. Bird; Rep. J. Buckner; Rep. J. Coleman; Rep. C. deGruy Kennedy; Rep. T. Exum; Rep. M. Froelich; Rep. S. Gonzales-Gutierrez; Rep. M. Gray; Rep. L. Herod; Rep. E. Hooton; Rep. S. Jaquez Lewis; Rep. C. Kipp; Rep. T. Kraft-Tharp; Rep. S. Lontine; Rep. J. McCluskie; Rep. J. Melton; Rep. D. Michaelson Jenet; Rep. D. Roberts; Rep. J. Singer; Rep. E. Sirota; Rep. T. Sullivan; Rep. B. Titone; Rep. M. Weissman; Sen. J. Bridges; Sen. S. Fenberg; Sen. R. Fields; Sen. M. Foote; Sen. L. Garcia; Sen. J. Gonzales; Sen. C. Hansen; Sen. P. Lee; Sen. D. Moreno; Sen. B. Pettersen; Sen. R. Rodriguez; Sen. T. Story; Sen. N. Todd; Sen. A. Williams,Judiciary,Judiciary,Concerning suppressing court records of eviction proceedings.,"Court records related to an eviction proceeding or an action for termination of a mobile home park tenancy are suppressed court records that are not publicly available. If an order granting the plaintiff possession of the premises is entered in the action, the court records are no longer suppressed and the court must make the records available to the public, unless the parties agree that the records should remain suppressed. The names of the parties included in a court record that is suppressed may be used by a court for administrative purposes, but the court shall not, for any reason, publish the names of the parties online. A summons in an eviction proceeding must include a notice concerning suppression of court records related to the action. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB20-1009
HB20-1010,2020,RS,Bill,Colorado Accurate Residence For Redistricting Act,Elections & Redistricting,Introduced; Passed; Became Law,Representative Kerry Tipper; Representative James Coleman; Senator Julie Gonzales; Senator Kerry Donovan,,Rep. J. Buckner; Rep. C. deGruy Kennedy; Rep. M. Duran; Rep. D. Esgar; Rep. T. Exum; Rep. M. Froelich; Rep. S. Gonzales-Gutierrez; Rep. L. Herod; Rep. D. Jackson; Rep. S. Jaquez Lewis; Rep. C. Kipp; Rep. J. Melton; Rep. D. Roberts; Rep. M. Snyder; Rep. T. Sullivan; Rep. A. Valdez; Rep. M. Weissman; Sen. C. Hansen; Sen. D. Moreno; Sen. R. Rodriguez; Sen. A. Williams,"State, Veterans, & Military Affairs","State, Veterans, & Military Affairs","Concerning the ""Colorado Accurate Residence for Redistricting Act"".","For purposes of the census, the federal census bureau counts prisoners in the correctional facility in which they were housed as of April 1 of the year in which the census was taken. For redistricting purposes, the act reassigns those persons to their last known residence in Colorado prior to incarceration. If the last known residence is outside of Colorado or the last known residence is unknown, the prisoners are counted for purposes of redistricting at the correctional facility. The act requires the department of corrections (department) to begin collecting and maintaining specified information on inmates to be able to provide that information following a federal census. It directs the department to report the information to the legislative council staff and the office of legislative legal services (nonpartisan staff) and directs nonpartisan staff to develop a database of population to be used in redistricting of congressional, state senate, and state house of representatives districts. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB20-1010
HB20-1011,2020,RS,Bill,Helping Others Manage Early Childhood Act,Children & Domestic Matters; Education & School Finance (Pre & K-12); Human Services,Introduced; Lost,Representative James Wilson; Representative Janet Buckner; Senator Brittany Pettersen; Senator Tammy Story,Rep. J. McCluskie,,Education,,"Concerning the creation of the ""Helping Others Manage Early (HOME) Childhood Act"".","Early Childhood and School Readiness Legislative Commission. The bill creates the ""Helping Others Manage Early (HOME) Childhood Act"" (HOME Act). The HOME Act consists of 3 components: A public awareness campaign (campaign), implemented by a third-party entity contracted by the department of human services (department). The campaign will target those persons connected with early childhood in some fashion, from families to providers, and inform them on what is expected from early childhood providers, what is expected from children by the time they enter kindergarten, and what resources are available throughout the state. A series of multicounty workshops directed at early childhood providers to provide information on best practices for effective early childhood education. The multicounty workshops will also provide information on the requirements and procedures for licensure. A series of regional workshops designed to educate interested providers on how to start an early child care center or preschool, as well as any requirements and procedures for licensure. The bill directs that the department provide adequate child care for the multicounty and regional workshops to allow for maximum attendance. The bill includes a repeal date of 2023 with a provision for a mandatory prior review of the effectiveness of the 3 components. (Note: This summary applies to this bill as introduced.)",https://leg.colorado.gov/bills/HB20-1011
HB20-1012,2020,RS,Bill,Child Welfare Program Children Developmental Disabilities,Children & Domestic Matters; Human Services,Introduced; Lost,Representative Mary Young; Representative Lois Landgraf; Senator Nancy Todd; Senator Bob Gardner,,,Public Health Care & Human Services,,Concerning reforms to child welfare services programs for children with intellectual and developmental disabilities.,"The bill makes changes to a program (program) within the department of human services (department) for children and youth with intellectual and developmental disabilities or co-occurring disorders (children and youth). The scope of rules to be promulgated by the department for the program is expanded to include planning for services for children and youth who become 18 years of age while in the program; access to behavioral health services; wait list management; process for a child or youth who is at risk for out-of-home placement; and program evaluation. Current law only allows for a county department of human or social services to submit an application to the program for a child or youth. The bill extends this option to the parent or legal guardian of the child or youth, and extends all notification requirements related to the program to the parent or legal guardian as well. The bill updates reimbursement provisions so that if a child or youth is not in the custody of a county department of human or social services or the department, the department shall directly reimburse the licensed provider where the child or youth is placed. Beginning on or before September 1, 2020, the department is required to compile and make public an annual report on the program. (Note: This summary applies to this bill as introduced.)",https://leg.colorado.gov/bills/HB20-1012
HB20-1013,2020,RS,Bill,Specify Procedure Ratify Defective Corporate Actions,Financial Services & Commerce,Introduced; Passed; Became Law,Representative Marc Snyder; Senator Pete Lee,,Rep. S. Bird; Rep. T. Exum; Rep. T. Kraft-Tharp; Rep. S. Woodrow; Sen. B. Gardner,Business Affairs & Labor,"Business, Labor, & Technology",Concerning the specification of procedures for the ratification of defective corporate actions.,The act provides a statutory procedure for the ratification or validation of corporate actions that may not have been properly authorized and for shares that may not have been properly issued. The statutory ratification procedure supplements common-law ratification and is available only when the board of directors specifies the nature of the defective authorization. Prompt judicial review and validation of the ratification process is available when a listed person claims to be substantially and adversely affected by the ratification. (Note: This summary applies to this bill as enacted.),https://leg.colorado.gov/bills/HB20-1013
HB20-1014,2020,RS,Bill,Misuse Of Human Reproductive Material,"Civil Law; Crimes, Corrections, & Enforcement",Introduced; Passed; Became Law,Representative Kerry Tipper; Representative Janice Rich; Senator Bob Gardner,,Rep. K. Becker; Rep. S. Bird; Rep. J. Buckner; Rep. B. Buentello; Rep. Y. Caraveo; Rep. J. Coleman; Rep. C. deGruy Kennedy; Rep. M. Duran; Rep. D. Esgar; Rep. T. Exum; Rep. M. Froelich; Rep. A. Garnett; Rep. S. Gonzales-Gutierrez; Rep. M. Gray; Rep. L. Herod; Rep. E. Hooton; Rep. D. Jackson; Rep. S. Jaquez Lewis; Rep. C. Kipp; Rep. T. Kraft-Tharp; Rep. L. Landgraf; Rep. S. Lontine; Rep. J. McCluskie; Rep. B. McLachlan; Rep. J. Melton; Rep. D. Michaelson Jenet; Rep. K. Mullica; Rep. P. Neville; Rep. D. Roberts; Rep. L. Saine; Rep. S. Sandridge; Rep. J. Singer; Rep. E. Sirota; Rep. M. Snyder; Rep. M. Soper; Rep. T. Sullivan; Rep. B. Titone; Rep. A. Valdez; Rep. D. Valdez; Rep. K. Van Winkle; Rep. M. Weissman; Rep. J. Wilson; Rep. S. Woodrow; Rep. M. Young; Sen. J. Bridges; Sen. J. Cooke; Sen. L. Crowder; Sen. J. Danielson; Sen. S. Fenberg; Sen. R. Fields; Sen. L. Garcia; Sen. J. Ginal; Sen. J. Gonzales; Sen. C. Hansen; Sen. C. Holbert; Sen. P. Lee; Sen. V. Marble; Sen. D. Moreno; Sen. B. Pettersen; Sen. K. Priola; Sen. B. Rankin; Sen. R. Scott; Sen. J. Smallwood; Sen. T. Story; Sen. J. Tate; Sen. N. Todd,Judiciary,Judiciary,Concerning unconsented use of donor gametes in fertility treatment.,"The act creates a new civil cause of action and crime if a health care provider, in the course of performing or assisting with an assisted reproduction procedure, knowingly uses gametes from a donor without the express consent of the patient to use the donor's gametes. The act authorizes specified compensatory damages or liquidated damages of $50,000 in the civil action and specifies that the crime is a class 6 felony. Conviction of an offense under the new crime is unprofessional conduct as defined in the licensing statutes for health care providers. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB20-1014
