bill_number,session,session_type,title,sponsors,out_chamber_sponsors,bill_url
HB15-1018,2015,RS,Protecting Seniors From Elder Abuse,DANIELSON,TODD,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/F7C4910CDA4B3AB387257DA9007A78F0?opendocument
HB15-1019,2015,RS,Victims Of Human Trafficking And Prostitution,LUNDEEN,WOODS,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/FAE273640630818387257DAC00563E70?opendocument
HB15-1020,2015,RS,Funding For Full-day Kindergarten,WILSON,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/8A46887A4FD8B64687257D87006FF5E1?opendocument
HB15-1021,2015,RS,Conform Statutory Court Dates To 7-day Intervals,WILLETT,MERRIFIELD,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/CCB1ACD41B94564B87257DAA0056AE46?opendocument
HB15-1022,2015,RS,Juvenile Petty Offense Contracts,MCCANN,STEADMAN; COOKE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/A1BB4D2D32AE3E2087257D87007B1CF8?opendocument
HB15-1023,2015,RS,Day Treatment Center Age Of Children Served,LONTINE,AGUILAR,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/A25BB24CAAB9A09787257D9B0082DB3A?opendocument
HB15-1024,2015,RS,Increasing Number Of CO Preschool Program Students,PETTERSEN,KEFALAS; TODD,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/0181CB63E15216E287257D880052827E?opendocument
HB15-1025,2015,RS,Competency To Proceed Juvenile Justice System,ROSENTHAL,NEWELL,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/676793C8A5C4C1B787257D870082018A?opendocument
HB15-1026,2015,RS,Reserved Parking Disabled Military License Plates,ROUPE,TODD,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/EA065EE718EF45DA87257D950057C329?opendocument
HB15-1027,2015,RS,In-state Tuition American Indian Tribes Ties to CO,SALAZAR,GUZMAN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/0C288960ED9983D187257D8700702A45?opendocument
HB15-1028,2015,RS,Repeal Merchant Licensing,KEYSER,JAHN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/B50294AE39B0C8D087257D96007C20BD?opendocument
HB15-1029,2015,RS,Health Care Delivery Via Telemedicine Statewide,BUCK; GINAL,KEFALAS; MARTINEZ HUMENIK,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/AA9554DA85DDC69287257D8800626B0F?opendocument
HB15-1030,2015,RS,Employment Services For Veterans Pilot Program,LANDGRAF,CROWDER,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/74C5FD83AF3C631B87257D880007F2CC?opendocument
HB15-1031,2015,RS,Ban Use Sale Possession Of Powdered Alcohol,WINDHOLZ,TODD,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/A713F40CB79AFF8E87257DAA00558CE6?opendocument
HB15-1032,2015,RS,Licensed Mental Health Professionals Treat Minors,SINGER,AGUILAR,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/5C16EB4268B3699F87257DA1007F9F56?opendocument
HB15-1033,2015,RS,Strategic Planning Group On Aging,PRIMAVERA,CROWDER,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/F4FFE86C33E07D7887257DA100666C74?opendocument
HB15-1034,2015,RS,Add Judge In Twelfth Judicial District,VIGIL,CROWDER,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/58861C0D47CBE44187257D9400661427?opendocument
HB15-1035,2015,RS,Update Crime Victim Compensation Laws,FIELDS,COOKE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/E6C0DAD1A5FD51C087257D8900639E45?opendocument
HB15-1036,2015,RS,Warn Pregnant Women Med Marijuana Dangers,TATE,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/82F7252CB9A4103D87257DAB00632CFD?opendocument
HB15-1037,2015,RS,Religious Freedom Student Groups Higher Ed,PRIOLA,NEVILLE T.,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/2F61E0C0E63F61F287257D8800035689?opendocument
HB15-1038,2015,RS,Flexible Water Markets,ARNDT,HODGE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/7607CFEF9F7C65CA87257DAB006A032B?opendocument
HB15-1039,2015,RS,Prescription Give-back For Institutions,TYLER,NEVILLE T.,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/B8036556EB65624387257DA1007CEC2C?opendocument
HB15-1040,2015,RS,Modify HOA Management Licensing Requirements,THURLOW,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/6E33CD60A82C1CA987257D9400825EB0?opendocument
HB15-1041,2015,RS,Protect Human Life At Conception,HUMPHREY; RANSOM,LUNDBERG,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/F0C43A17E7BFB2F887257D95007F99DA?opendocument
HB15-1042,2015,RS,Presentence Reports By Probation Officers,FOOTE,COOKE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/4D7DCC07E0BF734D87257D88007B1B42?opendocument
HB15-1043,2015,RS,Felony Offense For Repeat DUI Offenders,SAINE; MCCANN,COOKE; JOHNSTON,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/68F62E95DC5D2F7F87257D87007A758D?opendocument
HB15-1044,2015,RS,Periodic Legislative Review Executive Branch Rules,KLINGENSCHMITT,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/282B55AABC7E19EB87257D8900621762?opendocument
HB15-1045,2015,RS,Veterans Entrance Fee State Parks,RYDEN,CROWDER,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/86D7C32D294BE23087257DA1007796CA?opendocument
HB15-1046,2015,RS,Highway Project Contract Amount Limit Waivers,MORENO,SCOTT,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/2C196110F68C23E987257DA100759C18?opendocument
HB15-1047,2015,RS,Internet Sweepstakes Cafes Simulated Gambling,LAWRENCE; BECKER K.,GRANTHAM; NEVILLE T.,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/4394C8EB25A5738787257DB000579344?opendocument
