bill_number,session,session_type,title,sponsors,out_chamber_sponsors,bill_url
HB15-1127,2015,RS,No Liability For Permitting Concealed Carry,KLINGENSCHMITT,GARCIA,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/452EDBA8CB48656E87257DB000548FC8?opendocument
HB15-1128,2015,RS,Women's Health Protection Act,NEVILLE P.,NEVILLE T.,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/4B111569E3609DBC87257DA30077C283?opendocument
HB15-1129,2015,RS,CO Disaster Prediction & Decision Support Systems,KRAFT-THARP,ROBERTS,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/87038FD043D0F72387257D93006B8F05?opendocument
HB15-1130,2015,RS,Overseas Citizens Municipal Election Voting Access,NORDBERG; RYDEN,GARCIA; HILL,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/1678D9F207F638B387257D870076D115?opendocument
HB15-1131,2015,RS,Release Critical Incident Information Juvenile,ESGAR; LEE,LAMBERT,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/D152DD45E540177987257DB00052810D?opendocument
HB15-1132,2015,RS,Residential Energy Efficiency Tax Credit,CORAM; BECKER K.,HODGE; SCOTT,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/A9D4EF0FDBE92C2C87257D9B006A9FB1?opendocument
HB15-1133,2015,RS,Continue Colorado Pay Equity Commission,DANIELSON,ULIBARRI,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/F68E89BF0E73994887257DAA00695A45?opendocument
HB15-1134,2015,RS,New Diesel Motor Vehicles Emissions Testing,CORAM,COOKE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/5FCB4E1F800EE35587257DAC007DA02B?opendocument
HB15-1135,2015,RS,Terminally Ill Individuals End-of-life Decisions,COURT; GINAL,GUZMAN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/EF34DEB7487088DC87257D87006D8B98?opendocument
HB15-1136,2015,RS,Parking Privileges Disabled Veteran License Plate,NAVARRO,WOODS,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/E22E405D0290E29E87257DCD00028DE3?opendocument
HB15-1137,2015,RS,Requests For Multiple Booking Photographs,BECKER K.,COOKE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/C9CD53BEBA1FF0C887257D9A00627802?opendocument
HB15-1138,2015,RS,No Background Check Concealed Handgun Permittees,RANSOM,COOKE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/BBF8FE90DA7D92F087257DCC0054EB44?opendocument
HB15-1139,2015,RS,Review State Rules Reduce Burden On Small Business,CARVER,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/9D71DC5FF39ABBEB87257D9500011275?opendocument
HB15-1140,2015,RS,Same Day Voter Registration With Photo ID,CORAM,SONNENBERG; BAUMGARDNER,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/28D9CE9FFD7E0F9F87257DCC0063D305?opendocument
HB15-1141,2015,RS,Hospital Provider Fee Patient Billing Statements,JOSHI,NEVILLE T.,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/DC6C811B1C46765987257D89006F9472?opendocument
HB15-1142,2015,RS,Public Trustee Conduct Electronic Foreclosure Sale,MCCANN,GUZMAN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/B446639100C0FF1787257D880061DB29?opendocument
HB15-1143,2015,RS,Tax Incentive For Home Health Care,CONTI,CROWDER,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/54221CD30E829E9187257D9A00755F57?opendocument
HB15-1144,2015,RS,Prohibit Plastic Microbeads Personal Care Products,PRIMAVERA,TODD,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/B9068BD0AAE0A02E87257DC700541E50?opendocument
HB15-1145,2015,RS,Implement Federal Radioactive Materials Audit,RANKIN,HODGE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/D7BD8CE2B35593BC87257DC700562132?opendocument
HB15-1146,2015,RS,Colorado Student Leaders Institute,WILSON,TODD,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/06303FF23F9F793887257DC7005930AA?opendocument
HB15-1147,2015,RS,Require License To Practice Genetic Counseling,GINAL,TODD,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/17D2FD24D2A74C2187257D9B0063EF5C?opendocument
HB15-1148,2015,RS,Transfer Gen Fund Surplus To State Highway Fund,BROWN,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/4AA70D6DC387D8F687257DCC0055E81E?opendocument
HB15-1149,2015,RS,Office Of The Respondent Parents' Counsel,HAMNER,LAMBERT,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/DF66FDB99DEA611D87257DCC0002D38E?opendocument
HB15-1150,2015,RS,Sev Tax Op Fund Transfers For Mine Reclamation,RANKIN,GRANTHAM,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/FF00070E2447B75A87257DCD0009FC26?opendocument
HB15-1151,2015,RS,Floor For Medicaid Provider Rates,RANKIN,LAMBERT,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/B4DC37F77FDF012087257DDA007C9F54?opendocument
HB15-1152,2015,RS,Concealed Handgun Carry No Permit,NORDBERG; VAN WINKLE,HOLBERT,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/B1BCC2C875ECC82F87257D8F005E4C63?opendocument
HB15-1153,2015,RS,Oversight And Funding Child & Family Investigators,YOUNG,STEADMAN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/2C2B349DCA412DB387257DCC00031B17?opendocument
HB15-1154,2015,RS,No Credit Card Fee On Tax Portion Of Sale,BECKER J.; GARNETT,HILL,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/1016A190378C4AAC87257DB30061AF34?opendocument
HB15-1155,2015,RS,Flexibility For Rural School Districts,WILSON,HODGE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/7A151FDC3B6BB41587257DCC0064DFC8?opendocument
HB15-1156,2015,RS,Higher Ed Performance Funding Resident Students,VAN WINKLE,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/C480B7976809D83887257DCC006FD3D5?opendocument
HB15-1157,2015,RS,Working Group For Econ Dev In Distressed Regions,WILLETT; PABON,HEATH; MERRIFIELD,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/159DE66BAC20B27587257DAF005ED3B9?opendocument
HB15-1158,2015,RS,Sales & Use Tax Refund For Data Centers,DELGROSSO; PABON,HOLBERT,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/D8B98951B28DA40C87257D880008B497?opendocument
HB15-1159,2015,RS,Instream Flow Incentive Tax Credit,ARNDT,DONOVAN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/0894263F5BF6076F87257DC4007A04CD?opendocument
HB15-1160,2015,RS,Court Make Public Defender Indigency Determination,LAWRENCE,ROBERTS,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/7CCFBC7A2C6CC2F487257D8900705755?opendocument
HB15-1161,2015,RS,Public Accommodation First Amendment Rights,KLINGENSCHMITT,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/751F9025F6DAAB4687257DB00052C0C7?opendocument
HB15-1162,2015,RS,Ban Sex-selection Abortions,NORDBERG,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/A22DDE9137AAC49487257D88007B7C6C?opendocument
HB15-1163,2015,RS,Contingent Repeal Hlth Ins Laws Aligning With ACA,KLINGENSCHMITT,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/DF8C173FF662E17387257DA800563DB1?opendocument
HB15-1164,2015,RS,Postponement Of Jury Service For Breast-feeding,PETTERSEN,KERR,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/FC4B900CC5AD991587257DB7007220D6?opendocument
HB15-1165,2015,RS,Schools' Use Of American Indian Mascots,SALAZAR; MELTON,ULIBARRI,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/C29814128EFE2D7E87257D870076440C?opendocument
HB15-1166,2015,RS,South Platte Alluvial Aquifer Monitoring Network,SAINE; ARNDT,MARBLE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/F90786F208E7E85F87257D94007E8D55?opendocument
HB15-1167,2015,RS,South Platte River Mainstem Storage Study,BROWN,SONNENBERG,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/8B61E91548BCB5B887257DCC00562835?opendocument
HB15-1168,2015,RS,Concealed Handgun Carry In Public Schools,NEVILLE P.,NEVILLE T.,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/1A72831533520DD587257D96005D7698?opendocument
HB15-1169,2015,RS,Photo ID For Same Day Voter Registration,RANSOM,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/C40E2580C24CACE587257D950000B097?opendocument
HB15-1170,2015,RS,Increasing Postsecondary And Workforce Readiness,KRAFT-THARP; WILSON,HILL; HEATH,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/86D7EBA03E7EA6B287257DAB0065485D?opendocument
HB15-1171,2015,RS,State Freedom Of Conscience Protection Act,NEVILLE P.; HUMPHREY,NEVILLE T.,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/1C2B3FFA5058B7F387257DA30050B708?opendocument
HB15-1172,2015,RS,Repeal Punitive Damages Employment Discrimination,DELGROSSO,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/D92A9E3ECE6FA98787257DB30058A23D?opendocument
HB15-1173,2015,RS,Winter Driving I-70 Tread Depth & Tire Chains,MITSCH BUSH; RANKIN,TODD,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/6C17F216CA08453F87257D9500063DE2?opendocument
HB15-1174,2015,RS,Information Protections Domestic Violence Victims,CARVER,WOODS,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/7411695A98B9647887257D900058B857?opendocument
HB15-1175,2015,RS,Prohibit Conversion Therapy,ROSENTHAL,STEADMAN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/B26C74559E248B3B87257D9C00681C4B?opendocument
HB15-1176,2015,RS,Department Of Labor And Employment Audit Authority,TATE,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/6EABEC72FAA6C41287257DB60065F8C4?opendocument
HB15-1177,2015,RS,Rural Economic Development Initiative Grant Prog,WILLETT; BECKER K.,DONOVAN; SONNENBERG,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/A64E09451AFB480587257DC6005CF64C?opendocument
HB15-1178,2015,RS,Emergency Well Pumping Damaging High Groundwater,SAINE; HUMPHREY,MARBLE; SONNENBERG,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/8F3AA58611B3904C87257D960053F0C1?opendocument
HB15-1179,2015,RS,Third Party Medicaid Payment Responsibility System,JOSHI,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/4D1695185514ED3D87257DCC00822A73?opendocument
HB15-1180,2015,RS,Sales & Use Tax Refund Med & Clean Technology,KRAFT-THARP; WILSON,HEATH; HOLBERT,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/379239B0EC518DBC87257DB0005BB068?opendocument
HB15-1181,2015,RS,Colorado Is Honoring Our Military Tax Exemption,KEYSER,CROWDER,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/69D246324C639DA487257D9500045DC2?opendocument
HB15-1182,2015,RS,Scope Of Practice Certified Nurse Aides,LONTINE; LANDGRAF,AGUILAR,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/76A742E8097CD1DF87257DC100706A18?opendocument
HB15-1183,2015,RS,Child's Statements Of Attempted Sexual Crimes,FIELDS,GUZMAN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/C72B299B9710407C87257DAF00795B54?opendocument
HB15-1184,2015,RS,Charter School Networks Authority,LONTINE,HILL,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/430B2C58CDCD3F0887257DC800736693?opendocument
HB15-1185,2015,RS,Second Offense Sentence Child Sexual Exploitation,CONTI,JAHN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/92E0D4AC8D1DF4FB87257DCB007313DE?opendocument
HB15-1186,2015,RS,Services For Children With Autism,YOUNG,STEADMAN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/5CBA73DA175A42CD87257DCD000B213B?opendocument
HB15-1187,2015,RS,Veterinarian Peer Health Asst Mental Health Exam,LEBSOCK,GARCIA,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/AB5DF93E2765084B87257DCB00656CBE?opendocument
HB15-1188,2015,RS,Vocational Rehabilitation Programs And Services,RYDEN; PRIMAVERA,NEVILLE T.,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/A4CF61293B0960AA87257D8800090E18?opendocument
HB15-1189,2015,RS,Uniform Act Fiduciary Access To Digital Access,KEYSER,STEADMAN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/35C3DD50F417445D87257DB70002E5AC?opendocument
HB15-1190,2015,RS,Assistance To Public Schools For Career Pathways,WINDHOLZ,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/F11DE5FEB7B457DD87257DA40063B07A?opendocument
HB15-1191,2015,RS,Add Dentists To Physician Designation Act,PETTERSEN,GRANTHAM,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/EE0D09FF23D0230F87257DCC006BE7A1?opendocument
HB15-1192,2015,RS,Entertainment Dist Expand Licensed Premises Types,BECKER K.,NEVILLE T.,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/EC66B3A79590DD8E87257D8800698E3F?opendocument
HB15-1193,2015,RS,Rights Of Watchers In Elections,WINDHOLZ,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/F5556D9C5CAC293B87257DAF00616D92?opendocument
HB15-1194,2015,RS,Authorize General Fund Dollars For LARC Services,BECKER K.; CORAM,HODGE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/6CC6E011BAC674C187257D90005E61E0?opendocument
HB15-1195,2015,RS,Commencement Of The Earned Income Tax Credit,KAGAN,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/4EF9568F91B6440987257DA10062727F?opendocument
HB15-1196,2015,RS,CO Flex Accounts For Education Services,LUNDEEN,HILL,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/B8039AD6AAD525C487257DC4005F0D20?opendocument
HB15-1197,2015,RS,Indemnity In Public Construction Contracts,TATE,JAHN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/2C3A8A2B9D9D334F87257DC8005F7B6A?opendocument
HB15-1198,2015,RS,Uniform Interstate Family Support Act 2008 Update,FOOTE,STEADMAN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/1D26C26B478927D887257DB700023C7A?opendocument
HB15-1199,2015,RS,Student & Teacher Data Privacy & Security Act,EVERETT,MARBLE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/914917BCF4A3CA6787257D8900634878?opendocument
HB15-1200,2015,RS,Highly Effective Teachers & Low-performing Schools,PRIOLA,HILL,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/1AAE6BF705EED31A87257D87006AEFB2?opendocument
HB15-1201,2015,RS,BOCES & Centralized Operating Services Grants,RANKIN; BUCKNER,TODD,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/2C1018DDF5EE065687257D880067D1E6?opendocument
HB15-1202,2015,RS,Alcohol Beverage License Reissuance,SINGER,WOODS,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/F4021432A38B226987257DCE0059D557?opendocument
HB15-1203,2015,RS,Earned Time For Habitual Offenders Before 1993,ROSENTHAL,STEADMAN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/0CFDD4E63571A5A287257DCE00596C13?opendocument
HB15-1204,2015,RS,Distillery Pub Alcohol Beverage License,PABON,KERR,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/C90038CC22E6886F87257D880005D67C?opendocument
HB15-1205,2015,RS,Creation Of Tax Expenditure Evaluation Committee,BECKER K.; SAINE,HILL; JOHNSTON,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/042AF760B6C5548B87257D880068B594?opendocument
HB15-1206,2015,RS,Sales & Use Tax Refund For Recycling Equipment,SINGER,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/5FC4F360B8BFD5CB87257D90007EA688?opendocument
HB15-1207,2015,RS,Allow Driving With One Earphone,MELTON,TODD,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/75A2B48ED3E35F1487257DCE00587623?opendocument
HB15-1208,2015,RS,Repeal Of Common Core Education Standards,KLINGENSCHMITT,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/290018640D5D997887257D890061837A?opendocument
HB15-1209,2015,RS,CDOT Highway Maintenance Division,TYLER,SCOTT,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/B39CF3DFAF48C41287257D8E00668D8B?opendocument
HB15-1210,2015,RS,GA Review Envtl Rules Required In Lieu Fed Law,DORE,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/E1892342B011DDC987257DAA0056739C?opendocument
HB15-1211,2015,RS,License Reqmnts For Durable Med Equip Suppliers,YOUNG,SONNENBERG,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/8760DFB5D884F86F87257DD3005F8A2F?opendocument
HB15-1212,2015,RS,Authority To Sell State Trust Lands To Local Gov,BECKER K.,KERR; MERRIFIELD,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/8F4C4FD7ABD6EEA887257DD50055E406?opendocument
HB15-1213,2015,RS,Office Of Information Technology Modifications,TATE; TYLER,MARTINEZ HUMENIK; NEVILLE T.,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/A419797BB8B6A59587257DD3005C7137?opendocument
HB15-1214,2015,RS,Abuse-deterrent Opioid Analgesic Drugs,SINGER,COOKE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/47C6FFDE00A5B1BD87257DCE005AA58A?opendocument
HB15-1215,2015,RS,In-state Tuition Dependents Of Military Members,PRIOLA,JOHNSTON,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/6208B9A94DF0220B87257DC80078C7BB?opendocument
HB15-1216,2015,RS,Basis For Expert Opinion Testimony,PRIOLA,COOKE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/34638978E9BE584687257DAF0054C7DB?opendocument
HB15-1217,2015,RS,Local Gov Input Liquor Sales Room Applications,SINGER,HOLBERT,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/5F3B546EE58C8C2887257D9000791D51?opendocument
HB15-1218,2015,RS,No Contact With Defense-initiated Victim Outreach,FIELDS,JOHNSTON,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/EAF1FB61C627268887257DCE005B48D4?opendocument
HB15-1219,2015,RS,EZ Investment Tax Credit For Renewable Energy,MCCANN; BECKER J.,HODGE; SONNENBERG,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/509B1284315EEDE687257D8800641CF4?opendocument
HB15-1220,2015,RS,Campus Sexual Assault Victim Medical Care,DANIELSON; RYDEN,COOKE; MARTINEZ HUMENIK,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/E4D84CF63B58F49287257D9600014F31?opendocument
HB15-1221,2015,RS,Employee Leave Attend Child's Academic Activities,BUCKNER; FIELDS,KERR,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/66C5A5CF0408E7AC87257DBE005EF4F7?opendocument
HB15-1222,2015,RS,Water Efficiency Savings Instream Use Pilot,BECKER K.,SONNENBERG,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/4D621254411C20BD87257D87008169B4?opendocument
HB15-1223,2015,RS,Home Service Contracts,WILLIAMS,BALMER; JAHN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/BCE9D365F8CF0F7D87257DD5005A6066?opendocument
HB15-1224,2015,RS,State Moneys Received By Local Dist Jr Colleges,MITSCH BUSH,HILL; TODD,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/78D094947E09F86E87257DB30060E8A9?opendocument
HB15-1225,2015,RS,Federal Land Coordination,RANKIN; BECKER K.,ROBERTS; DONOVAN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/98C7CCEF328B276C87257D890059CA16?opendocument
HB15-1226,2015,RS,Retail Food Establishment Fees,BECKER K.,HODGE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/B1BC82203D5B937F87257DCE0054EEDD?opendocument
HB15-1227,2015,RS,Tax Credit For Employers That Pay Student Loans,BECKER K.,HEATH,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/6D1B45708A6644C987257D880069501A?opendocument
HB15-1228,2015,RS,Special Fuel Tax On Liquefied Petroleum Gas,MITSCH BUSH; BECKER J.,SCOTT,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/5868E03ABB0158EF87257D8E00803A6B?opendocument
HB15-1229,2015,RS,Retaliation Against A Prosecutor,MCCANN,MARTINEZ HUMENIK,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/08DAA2948820611687257D9A00566264?opendocument
HB15-1230,2015,RS,Innovative Industry Workforce Development Program,LEE; FOOTE,HEATH; COOKE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/9666B9BAB0D679D287257DA1007DF6E4?opendocument
HB15-1231,2015,RS,Enhanced Unemployment Compensation Benefits,ESGAR; KRAFT-THARP,MERRIFIELD; CROWDER,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/EF059EF28EE250C287257DCD0000A217?opendocument
HB15-1232,2015,RS,Emergency Use Of Epinephrine Auto-injectors,GINAL; LANDGRAF,TODD; MARTINEZ HUMENIK,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/E2341432D448533387257DCF00686055?opendocument
HB15-1233,2015,RS,Respite Care Study Task Force,LANDGRAF,AGUILAR,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/8661874196BBFB5E87257D88006E93D3?opendocument
HB15-1234,2015,RS,Income Tax Deduction For Leasing Out Ag Asset,MITSCH BUSH,SONNENBERG,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/2C2A0FB2D7AD99B787257DB300697D3D?opendocument
HB15-1235,2015,RS,Colorado Retirement Security Task Force,BUCKNER; PETTERSEN,STEADMAN; TODD,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/B0AE622D5919679A87257DBE005DCCEF?opendocument
HB15-1236,2015,RS,Tax Credit For Improving Energy Efficiency,WINTER,MARTINEZ HUMENIK; DONOVAN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/AA5AB960EE8AA1C787257DC80077DA0C?opendocument
HB15-1237,2015,RS,Prepay Postage For Mail Ballots,RYDEN,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/BE948EAFFF5B9C6387257DCF00692AF8?opendocument
HB15-1238,2015,RS,Tax Credit Preceptors Health Profl Shortage Areas,BUCK,COOKE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/28B8E41308B6B34087257D8800737A2C?opendocument
HB15-1239,2015,RS,Exempt Denver Health & Hosp Postemployment Comp,MCCANN; LONTINE,STEADMAN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/5D8EE4C5A87F527187257DD50059D601?opendocument
HB15-1240,2015,RS,Reduce Student Contacts With Law Enforcement,FIELDS,BALMER,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/BD100A6D21D1C34187257DD3006B812D?opendocument
HB15-1241,2015,RS,Changes To Contents Of Criminal Summons,LONTINE,GUZMAN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/5DD6FDE07462980C87257DCF00676145?opendocument
HB15-1242,2015,RS,Patient Caregiver Designation Hospital Requirement,DANIELSON,AGUILAR,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/5211AB70BF99669687257DCC005B191F?opendocument
HB15-1243,2015,RS,Parks Wildlife Trust Funds Spend Mitigation Moneys,VIGIL,SONNENBERG,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/5497B6A74103754087257DDC00533177?opendocument
HB15-1244,2015,RS,Cork & Carry Wine From Liquor-licensed Club,SINGER; NORDBERG,JAHN; LUNDBERG,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/F5C7DA0D698F449C87257DD3006D4185?opendocument
HB15-1245,2015,RS,Bd Of Land Commns Use Fund For Maintenance Costs,VIGIL,SONNENBERG,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/5EE5C907B1F2F28F87257DDC00517A39?opendocument
HB15-1246,2015,RS,Crowdfund Intrastate Securities On-line,LEE; PABON,SCHEFFEL; HILL,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/501F420ABE457C9087257DA1007E4FB0?opendocument
HB15-1247,2015,RS,State Engineer Dam Safety Review Fees,SAINE,NEVILLE T.,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/940D2AE0AD5AC08F87257DDA006A0340?opendocument
HB15-1248,2015,RS,Child Welfare Check Potential Foster Parents,SINGER,HILL,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/B8DA6EA368D866B587257DA200723E6E?opendocument
HB15-1249,2015,RS,Recodify Water Pollution Control Fees,BECKER K.,HODGE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/9B1D22E5F6FF0E7887257DD500565A30?opendocument
HB15-1250,2015,RS,Explore Performance-based Utility Regulation,TYLER,JONES,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/FA7A5533EC14788887257DA1007E6760?opendocument
HB15-1251,2015,RS,PERA & Denver Pub Sch 5 Year True-up,COURT; WILSON,KERR,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/E6C47FB8C8A75DC687257D8800740477?opendocument
HB15-1252,2015,RS,Extend Healthy Rivers Fund Voluntary Contribution,MITSCH BUSH,SONNENBERG,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/447CC08EAAD238DE87257DDB005C4312?opendocument
HB15-1253,2015,RS,Colorado Uniform Voidable Transactions Act,LEE,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/B2749A494F0E100887257DB700039EBF?opendocument
HB15-1254,2015,RS,Higher Education Funding Appropriations Clean Up,HAMNER,LAMBERT,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/A0754AEC5C00039587257DE400579564?opendocument
HB15-1255,2015,RS,Prohibited Use Of Elec Benefits Transfer Cards,DORE; PABON,GRANTHAM; JAHN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/E6DA3BCB1738654487257D8800677DFD?opendocument
HB15-1256,2015,RS,Classification Of Routt County To Category II,MITSCH BUSH,BAUMGARDNER,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/4545D36FE0DDB4DB87257DEB0077179C?opendocument
