bill_id,term,session,data_name,title,introduced,action_in_comm,action_beyond_comm,passed_chamber,law,chamber_code,SS,commem
HB21-1001,2021_2022,2021-RS,d. esgar,Remote Participation In Party Committee Meetings,1,1,1,1,1,H,0,0
HB21-1002,2021_2022,2021-RS,m. weissman,Reductions Certain Taxpayers' Income Tax Liability,1,1,1,1,1,H,1,0
HB21-1003,2021_2022,2021-RS,a. benavidez,Legislative Proceedings During Disaster Emergency,1,1,1,1,1,H,1,0
HB21-1004,2021_2022,2021-RS,m. snyder,Colorado Uniform Electronic Wills Act,1,1,1,1,1,H,0,0
HB21-1005,2021_2022,2021-RS,k. mullica,Health Care Services Reserve Corps Task Force,1,1,1,1,1,H,0,0
HB21-1006,2021_2022,2021-RS,d. esgar,Fifth-day School Enrichment Programs Funding,1,1,1,1,1,H,0,0
HB21-1007,2021_2022,2021-RS,t. sullivan,State Apprenticeship Agency,1,1,1,1,1,H,0,0
HB21-1008,2021_2022,2021-RS,j. arndt,Forest Health Project Financing,1,1,1,1,1,H,0,0
HB21-1009,2021_2022,2021-RS,t. bernett,Update Division Housing Function & Local Development,1,1,1,1,1,H,0,0
HB21-1010,2021_2022,2021-RS,n. ricks,Diverse K-12 Educator Workforce Report,1,1,1,1,1,H,0,0
HB21-1011,2021_2022,2021-RS,y. caraveo,Multilingual Ballot Access For Voters,1,1,1,1,1,H,1,0
HB21-1012,2021_2022,2021-RS,j. rich,Expand Prescription Drug Monitoring Program,1,1,1,1,1,H,0,0
HB21-1013,2021_2022,2021-RS,m. snyder,Division Of Domestic Stock Insurer,1,1,1,1,1,H,0,0
HB21-1014,2021_2022,2021-RS,d. michaelson jenet,Disability Symbol Identification Document,1,1,1,1,1,H,0,0
HB21-1015,2021_2022,2021-RS,t. carver,Security Protections Criminal Justice Personnel,1,1,1,1,1,H,0,0
HB21-1016,2021_2022,2021-RS,d. ortiz,Transfer Jurisdiction To Veteran's Speciality Court,1,1,1,1,1,H,0,0
HB21-1017,2021_2022,2021-RS,p. neville,Protect Human Life At Conception,1,1,0,0,0,H,0,0
HB21-1018,2021_2022,2021-RS,t. bernett,Adoptive Parents Payments To Outside Providers,1,1,1,1,1,H,0,0
HB21-1019,2021_2022,2021-RS,e. hooton,Modification To Regulations Of Factory-built Structures,1,1,1,1,1,H,0,0
HB21-1020,2021_2022,2021-RS,k. mccormick,Proton Beam Therapy For Cancer Treatment,1,1,0,0,0,H,0,0
HB21-1021,2021_2022,2021-RS,r. pelton,Peer Support Professionals Behavioral Health,1,1,1,1,1,H,0,0
HB21-1022,2021_2022,2021-RS,m. froelich,Surrogacy Agreements,1,1,1,1,1,H,0,0
HB21-1023,2021_2022,2021-RS,p. will,Energy Facility Real Property Classification,1,1,0,0,0,H,0,0
HB21-1024,2021_2022,2021-RS,m. snyder,Title Certificates Off-highway Vehicle Transfers,1,1,1,1,0,H,0,0
HB21-1025,2021_2022,2021-RS,j. arndt,Nonsubstantive Emails And Open Meetings Law,1,1,1,1,1,H,0,0
HB21-1026,2021_2022,2021-RS,m. baisley,Allow Foreign Protected Series Do Business In Colorado,1,1,0,0,0,H,0,0
HB21-1027,2021_2022,2021-RS,c. larson,Continue Alcohol Beverage Takeout And Delivery,1,1,1,1,1,H,0,0
HB21-1028,2021_2022,2021-RS,s. bird,Annual Public Report Affordable Housing,1,1,1,1,1,H,0,0
HB21-1029,2021_2022,2021-RS,t. geitner,Use Of READ Act Per-pupil Intervention Money,1,1,0,0,0,H,0,0
HB21-1030,2021_2022,2021-RS,j. mccluskie,Expanding Peace Officers Mental Health Grant Program,1,1,1,1,1,H,0,0
HB21-1031,2021_2022,2021-RS,l. daugherty,Jurisdiction To Modify Family Law Orders On Appeal,1,1,1,1,1,H,0,0
HB21-1032,2021_2022,2021-RS,s. luck,Local Government Authority Statewide Disaster Declarations,1,1,0,0,0,H,0,0
HB21-1033,2021_2022,2021-RS,n. ricks,Add Health Maintenance Organizations Life And Health Insurance Protection Association,1,1,0,0,0,H,0,0
HB21-1034,2021_2022,2021-RS,d. woog,Consumer Right To Use Natural Gas Or Propane,1,1,0,0,0,H,0,0
HB21-1035,2021_2022,2021-RS,m. lynch,Pregnancy-based Parking Placard,1,1,0,0,0,H,0,0
HB21-1036,2021_2022,2021-RS,a. pico,Local Control Of Health Orders,1,1,0,0,0,H,0,0
HB21-1037,2021_2022,2021-RS,m. soper,Limit Designated Lands Gray Wolf Reintroduction,1,1,0,0,0,H,0,0
HB21-1038,2021_2022,2021-RS,p. neville,Concealed Handguns On School Grounds,1,1,0,0,0,H,0,0
HB21-1039,2021_2022,2021-RS,c. larson,Careless Driving Serious Bodily Injury,1,1,0,0,0,H,0,0
HB21-1040,2021_2022,2021-RS,p. will,General Fund Money For Reintroduction Of Wolves,1,1,0,0,0,H,0,0
HB21-1041,2021_2022,2021-RS,d. woog,Private Sector Enterprise Protections,1,1,0,0,0,H,0,0
HB21-1042,2021_2022,2021-RS,r. hanks,Water Storage Tanks Grant Program,1,1,0,0,0,H,0,0
HB21-1043,2021_2022,2021-RS,r. holtorf,Study Underground Water Storage Maximum Beneficial Use,1,1,0,0,0,H,0,0
HB21-1044,2021_2022,2021-RS,e. hooton,Winery License Include Noncontiguous Areas,1,1,1,1,1,H,0,0
HB21-1045,2021_2022,2021-RS,m. young,Invasive Pest Control Administration,1,1,1,1,1,H,0,0
HB21-1046,2021_2022,2021-RS,j. arndt,Water Share Right Mutual Ditch Corporation,1,1,1,1,1,H,0,0
HB21-1047,2021_2022,2021-RS,c. kennedy,County Commissioner Districts Gerrymandering,1,1,1,1,1,H,0,0
HB21-1048,2021_2022,2021-RS,a. valdez,Retail Business Must Accept Cash,1,1,1,1,1,H,0,0
HB21-1049,2021_2022,2021-RS,t. van beber,Prohibit Discrimination Labor Union Participation,1,1,0,0,0,H,0,0
HB21-1050,2021_2022,2021-RS,m. gray,Workers' Compensation,1,1,1,1,1,H,0,0
HB21-1051,2021_2022,2021-RS,t. geitner,Public Information Applicants For Public Employment,1,1,1,1,1,H,0,1
HB21-1052,2021_2022,2021-RS,h. mckean,Define Pumped Hydroelectricity As Renewable Energy,1,1,1,1,1,H,0,0
HB21-1053,2021_2022,2021-RS,d. williams,Election Recount Requests,1,1,0,0,0,H,0,0
HB21-1054,2021_2022,2021-RS,d. jackson,Housing Public Benefit Verification Requirement,1,1,1,1,1,H,0,0
HB21-1055,2021_2022,2021-RS,s. woodrow,Compensation For School District Board Members,1,1,1,1,1,H,0,0
HB21-1056,2021_2022,2021-RS,r. pelton,Cost Thresholds For Public Project Bidding Requirements,1,1,1,1,1,H,0,0
HB21-1057,2021_2022,2021-RS,d. roberts,Extortion Of Immigrants Engaging In Lawful Acts,1,1,1,1,1,H,0,0
HB21-1058,2021_2022,2021-RS,m. gray,Promoting Social Distancing In Marijuana Industry,1,1,0,0,0,H,0,0
HB21-1059,2021_2022,2021-RS,t. geitner,Online Student Protections,1,1,1,1,1,H,0,0
HB21-1060,2021_2022,2021-RS,s. gonzales-gutierrez,U Visa Certification Requirements,1,1,1,1,1,H,0,0
HB21-1061,2021_2022,2021-RS,m. gray,Residential Land Property Tax Classification,1,1,1,1,1,H,0,0
HB21-1062,2021_2022,2021-RS,d. valdez,Deregulation Direct Sale Of Animal Shares,1,1,0,0,0,H,0,0
HB21-1063,2021_2022,2021-RS,s. lontine,Model Law Credit Extraterritorial Reinsurance,1,1,1,1,1,H,0,0
HB21-1064,2021_2022,2021-RS,a. benavidez,Update Processes Juvenile Sex Offender Registry,1,1,1,1,1,H,0,0
HB21-1065,2021_2022,2021-RS,d. ortiz,Veterans' Hiring Preference,1,1,1,1,1,H,0,0
HB21-1066,2021_2022,2021-RS,r. bockenfeld,CDOT Colorado Department of Transportation Financial Reporting Requirements,1,1,1,1,1,H,0,0
HB21-1067,2021_2022,2021-RS,c. kipp,College Admission Use Of National Test Score,1,1,1,1,1,H,0,0
HB21-1068,2021_2022,2021-RS,d. michaelson jenet,Insurance Coverage Mental Health Wellness Exam,1,1,1,1,1,H,0,0
HB21-1069,2021_2022,2021-RS,t. carver,Enforcement Of Sexual Exploitation Of A Child,1,1,1,1,1,H,0,0
HB21-1070,2021_2022,2021-RS,r. hanks,Repeal Ammunition Magazine Prohibition,1,1,0,0,0,H,0,0
HB21-1071,2021_2022,2021-RS,c. kennedy,Ranked Choice Voting In Nonpartisan Elections,1,1,1,1,1,H,1,0
HB21-1072,2021_2022,2021-RS,m. froelich,Equal Access Services For Out-of-home Placements,1,1,1,1,1,H,0,0
HB21-1073,2021_2022,2021-RS,t. van beber,Support Foster Families License Plate,1,1,1,1,1,H,0,0
HB21-1074,2021_2022,2021-RS,m. bradfield,Immunity For Entities During COVID-19,1,1,0,0,0,H,0,0
HB21-1075,2021_2022,2021-RS,s. lontine,Replace The Term Illegal Alien,1,1,1,1,1,H,0,0
HB21-1076,2021_2022,2021-RS,j. mccluskie,Carpooling Service Internet Application Register Colorado Department Of Transportation,1,1,1,1,1,H,0,0
HB21-1077,2021_2022,2021-RS,a. benavidez,Legislative Oversight Committee Concerning Tax Policy,1,1,1,1,1,H,0,0
HB21-1078,2021_2022,2021-RS,s. sandridge,Release On Bail Violation Of A Protection Order,1,1,0,0,0,H,0,0
HB21-1079,2021_2022,2021-RS,s. sandridge,Modify Property Tax Exemption For Veterans With Disabilities,1,1,0,0,0,H,0,0
HB21-1080,2021_2022,2021-RS,m. baisley,Nonpublic Education And COVID-19 Relief Act,1,1,0,0,0,H,0,0
HB21-1081,2021_2022,2021-RS,a. pico,Disaster Emergency Duration Limits,1,1,0,0,0,H,0,0
HB21-1082,2021_2022,2021-RS,h. mckean,Gun Transfer Background Check Permit Exemption,1,1,0,0,0,H,0,0
HB21-1083,2021_2022,2021-RS,a. benavidez,State Board Assessment Appeals Valuation Adjustment,1,1,1,1,1,H,0,0
HB21-1084,2021_2022,2021-RS,t. exum,Drivers' Licenses For Foster Children,1,1,1,1,1,H,0,0
HB21-1085,2021_2022,2021-RS,j. mccluskie,Secure Transportation Behavioral Health Crisis,1,1,1,1,1,H,0,0
HB21-1086,2021_2022,2021-RS,s. luck,Voter Proof Of Citizenship Requirement,1,1,0,0,0,H,0,0
HB21-1087,2021_2022,2021-RS,l. daugherty,Teaching And Learning Conditions Survey,1,1,1,1,1,H,0,0
HB21-1088,2021_2022,2021-RS,a. pico,Annual Audit Statewide Voter Registration System,1,1,0,0,0,H,0,0
HB21-1089,2021_2022,2021-RS,m. soper,Assumption Of Risk Liability At Wakeboard Parks,1,1,0,0,0,H,0,0
HB21-1090,2021_2022,2021-RS,a. valdez,Criminal Marijuana Offenses,1,1,1,1,1,H,1,0
HB21-1091,2021_2022,2021-RS,l. daugherty,Sentencing Juveniles Transferred To Adult Court,1,1,1,1,1,H,0,0
HB21-1092,2021_2022,2021-RS,d. williams,Candidate Lieutenant Governor Eligible For Other Office,1,1,1,1,0,H,0,0
