term,chamber,data_name,sponsor,party,district,roster_id,roster_id_col,LES,BILL_wshare,AIC_wshare,ABC_wshare,PASS_wshare,LAW_wshare,all_bills,all_aic,all_abc,all_pass,all_law,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,num_sponsored_bills,sponsor_pass_rate,sponsor_law_rate,num_cosponsored_bills,LES_rank,LES_nw
2015_2016,House,hamner m.,"hamner, millie",,,309440,klarner_id,3.451188957018722,0.039890585821746066,0.039890585821746066,0.05181347150259067,0.05187048098082364,0.070298769771529,35,35,34,33,32,0,0,0,0,0,35,35,34,33,32,0,0,0,0,0,35,0.9428571428571428,0.9142857142857143,,1,3.522921967277685
2015_2016,House,becker k.,"becker, k. c.",,,322574,klarner_id,2.3661300785790043,0.03305219968087531,0.03305219968087531,0.0365742151782993,0.03615215341087708,0.0351493848857645,29,29,24,23,16,0,0,0,0,0,29,29,24,23,16,0,0,0,0,0,29,0.7931034482758621,0.5517241379310345,,2,2.41744028600925
2015_2016,House,singer j.,"singer, jonathan",,,309304,klarner_id,0.9734169166281181,0.014816503305219967,0.014816503305219967,0.015239256324291375,0.01571832756994656,0.010984182776801407,13,13,10,10,5,0,0,0,0,0,13,13,10,10,5,0,0,0,0,0,13,0.7692307692307693,0.38461538461538464,,11,0.9951697130324728
2015_2016,House,young d.,"young, dave",,,309409,klarner_id,1.3830894036073995,0.017095965352176886,0.017095965352176886,0.021334958854007924,0.022005658597925182,0.024165202108963092,15,15,14,14,11,0,0,0,0,0,15,15,14,14,11,0,0,0,0,0,15,0.9333333333333333,0.7333333333333333,,3,1.4126491384919424
2015_2016,House,melton j.,"melton, jovan",,,309390,klarner_id,1.2701315049478867,0.018235696375655346,0.018235696375655346,0.01828710758914965,0.01886199308393587,0.01977152899824253,15,15,11,11,9,1,1,1,1,0,14,14,10,10,9,0,0,0,0,0,15,0.7333333333333333,0.6,,4,1.2223694564699954
2015_2016,House,kraft-tharp t.,"krafttharp, tracy",,,309358,klarner_id,1.1327797259644523,0.01253704125826305,0.01253704125826305,0.01676318195672051,0.017290160326941213,0.024165202108963092,11,11,11,11,11,0,0,0,0,0,11,11,11,11,11,0,0,0,0,0,11,1.0,1.0,,7,1.1561682498490495
2015_2016,House,pabon d.,"pabon, dan",,,295923,klarner_id,1.167977864880181,0.014816503305219967,0.014816503305219967,0.019811033221578785,0.01886199308393587,0.01757469244288225,13,13,13,12,8,0,0,0,0,0,13,13,13,12,8,0,0,0,0,0,13,0.9230769230769231,0.6153846153846154,,5,1.1935981332055263
2015_2016,House,mccann e.,"mccann, beth",,,283563,klarner_id,0.7342088692427206,0.009117848187827673,0.009117848187827673,0.0121914050594331,0.012574662055957246,0.010984182776801407,8,8,8,8,5,0,0,0,0,0,8,8,8,8,5,0,0,0,0,0,8,1.0,0.625,,17,0.7503840043248078
2015_2016,House,primavera d.,"primavera, dianne",,,260097,klarner_id,1.0453962078771815,0.014816503305219967,0.014816503305219967,0.01676318195672051,0.017290160326941213,0.013181019332161687,13,13,11,11,6,0,0,0,0,0,13,13,11,11,6,0,0,0,0,0,13,0.8461538461538461,0.46153846153846156,,10,1.0686480105874603
2015_2016,House,ginal j.,"ginal, joann",,,309414,klarner_id,0.7652095530813346,0.010257579211306132,0.010257579211306132,0.0121914050594331,0.012574662055957246,0.010984182776801407,9,9,8,8,5,0,0,0,0,0,9,9,8,8,5,0,0,0,0,0,9,0.8888888888888888,0.5555555555555556,,15,0.7820119113015519
