term,chamber,data_name,sponsor,party,district,roster_id,roster_id_col,LES,BILL_wshare,AIC_wshare,ABC_wshare,PASS_wshare,LAW_wshare,all_bills,all_aic,all_abc,all_pass,all_law,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,num_sponsored_bills,sponsor_pass_rate,sponsor_law_rate,num_cosponsored_bills,LES_rank,LES_nw
2019_2020,House,d. esgar,Daneya Esgar,D,HD-046,16570,legiscan_id,6.897784834955789,0.0778816199376947,0.07797504798464491,0.107095046854083,0.10987094523892571,0.11987625676720805,62,62,61,60,59,3,3,3,3,3,59,59,58,57,56,0,0,0,0,0,62,0.967741935483871,0.9516129032258065,,1,7.151095501517869
2019_2020,House,l. herod,Leslie Herod,D,HD-008,18721,legiscan_id,2.989824129146321,0.03474718427989456,0.03478886756238004,0.04685408299866131,0.048831531217300314,0.048337200309358085,21,21,20,20,18,8,8,8,8,7,13,13,12,12,11,0,0,0,0,0,21,0.9523809523809523,0.8571428571428571,,2,2.3372219312694003
2019_2020,House,j. arndt,Jennifer Arndt,D,HD-053,16567,legiscan_id,2.896997020558789,0.035945363048166784,0.03598848368522073,0.045180722891566265,0.04534356470177886,0.044470224284609436,30,30,27,26,23,0,0,0,0,0,30,30,27,26,23,0,0,0,0,0,30,0.8666666666666667,0.7666666666666667,,3,3.148506996376252
2019_2020,House,j. mccluskie,Julie McCluskie,D,HD-061,20025,legiscan_id,2.3944571674888593,0.03115264797507788,0.031190019193857964,0.035140562248995984,0.03487966515521451,0.038669760247486466,25,25,20,19,19,1,1,1,1,1,24,24,19,18,18,0,0,0,0,0,25,0.76,0.76,,5,2.4832649048985806
2019_2020,House,m. gray,Matt Gray,D,HD-033,18722,legiscan_id,1.7279189017787753,0.021567217828900073,0.021593090211132437,0.025100401606425703,0.026159748866410884,0.029002320185614848,17,17,14,14,14,1,1,1,1,1,16,16,13,13,13,0,0,0,0,0,17,0.8235294117647058,0.8235294117647058,,7,1.7601310048435435
2019_2020,House,d. roberts,Dylan Roberts,D,HD-026,19512,legiscan_id,2.8090847886728874,0.033549005511622335,0.03358925143953935,0.04350736278447122,0.04359958144401814,0.04640371229698376,25,25,23,22,21,3,3,3,3,3,22,22,20,19,18,0,0,0,0,0,25,0.88,0.84,,4,2.7003361845683598
2019_2020,House,s. bird,Shannon Bird,D,HD-035,20127,legiscan_id,1.6259384303243132,0.021567217828900073,0.021593090211132437,0.023427041499330656,0.024415765608650157,0.025135344160866203,15,15,11,11,10,3,3,3,3,3,12,12,8,8,7,0,0,0,0,0,15,0.7333333333333333,0.6666666666666666,,9,1.411756481801555
2019_2020,House,y. caraveo,Yadira Caraveo,D,HD-031,20130,legiscan_id,0.8694315616551285,0.014378145219266714,0.014395393474088292,0.013386880856760375,0.012207882804325079,0.007733952049497293,10,10,6,5,3,2,2,2,2,1,8,8,4,3,2,0,0,0,0,0,10,0.5,0.3,,35,0.7347790237691264
2019_2020,House,m. catlin,Marc Catlin,R,HD-058,19200,legiscan_id,0.6431112242107534,0.00958543014617781,0.009596928982725527,0.008366800535475234,0.008719916288803628,0.009667440061871617,8,8,5,5,5,0,0,0,0,0,8,8,5,5,5,0,0,0,0,0,8,0.625,0.625,,44,0.6975397501464449
2019_2020,House,j. buckner,Janet Buckner,D,HD-040,18719,legiscan_id,0.9958277987182405,0.014378145219266714,0.014395393474088292,0.015060240963855422,0.01569584931984653,0.01160092807424594,12,12,9,9,6,0,0,0,0,0,12,12,9,9,6,0,0,0,0,0,12,0.75,0.5,,31,1.0800589402682323
2019_2020,House,t. kraft-tharp,Tracy Kraft-Tharp,D,HD-029,14270,legiscan_id,1.447444960978932,0.019410496046010063,0.019433781190019195,0.020414993306559572,0.020927799093128707,0.02320185614849188,17,17,13,12,12,0,0,0,0,0,16,16,12,12,12,1,1,1,0,0,17,0.7058823529411765,0.7058823529411765,,11,1.6210679483625963
2019_2020,House,b. buentello,Bri Buentello,D,HD-047,20129,legiscan_id,1.0835345915403025,0.01557632398753894,0.015595009596928982,0.015060240963855422,0.01569584931984653,0.015467904098994586,13,13,9,9,8,0,0,0,0,0,13,13,9,9,8,0,0,0,0,0,13,0.6923076923076923,0.6153846153846154,,25,1.1756250918688669
2019_2020,House,a. benavidez,Adrienne Benavidez,D,HD-032,18710,legiscan_id,1.32705949471801,0.020848310567936738,0.020873320537428023,0.019076305220883535,0.018137425880711544,0.01585460170146945,17,17,11,10,7,2,2,2,2,2,13,13,7,6,4,2,2,2,2,1,17,0.5882352941176471,0.4117647058823529,,13,1.366667152229467
2019_2020,House,a. garnett,Alec Garnett,D,HD-002,16582,legiscan_id,1.1183768060436026,0.013179966450994488,0.013195777351247601,0.01673360107095047,0.017439832577607256,0.019334880123743233,10,10,9,9,9,1,1,1,1,1,9,9,8,8,8,0,0,0,0,0,10,0.9,0.9,,22,1.098328346468673
2019_2020,House,l. cutter,Lisa Cutter,D,HD-025,20131,legiscan_id,1.3060076992469276,0.01917086029235562,0.019193857965451054,0.020080321285140562,0.017439832577607256,0.01740139211136891,15,15,11,9,8,1,1,1,1,1,14,14,10,8,7,0,0,0,0,0,15,0.6,0.5333333333333333,,16,1.2982875752292005
2019_2020,House,s. gonzales-gutierrez,Serena Gonzales-Gutierrez,D,HD-004,20134,legiscan_id,1.1584462308215238,0.01557632398753894,0.015595009596928982,0.01673360107095047,0.017439832577607256,0.01740139211136891,13,13,10,10,9,0,0,0,0,0,13,13,10,10,9,0,0,0,0,0,13,0.7692307692307693,0.6923076923076923,,19,1.2579536950636363
2019_2020,House,k. becker,KC Becker,D,HD-013,16511,legiscan_id,0.9221892454647386,0.010783608914450037,0.010796545105566218,0.015060240963855422,0.01569584931984653,0.013534416086620264,8,8,8,8,6,1,1,1,1,1,7,7,7,7,5,0,0,0,0,0,8,1.0,0.75,,33,0.8846964999016944
2019_2020,House,h. mckean,Hugh McKean,R,HD-051,18718,legiscan_id,1.1441725521891237,0.016774502755811167,0.016794625719769675,0.015060240963855422,0.01569584931984653,0.01740139211136891,14,14,9,9,9,0,0,0,0,0,14,14,9,9,9,0,0,0,0,0,14,0.6428571428571429,0.6428571428571429,,20,1.241276713554971
2019_2020,House,j. coleman,James Coleman,D,HD-007,18939,legiscan_id,1.3574922970288181,0.01917086029235562,0.019193857965451054,0.020080321285140562,0.01918381583536798,0.019334880123743233,15,15,11,10,9,1,1,1,1,1,14,14,10,9,8,0,0,0,0,0,15,0.6666666666666666,0.6,,12,1.3550220285153778
2019_2020,House,e. hooton,Edith Hooton,D,HD-010,19209,legiscan_id,1.0770342952379621,0.014378145219266714,0.014395393474088292,0.015060240963855422,0.01569584931984653,0.01740139211136891,12,12,9,9,9,0,0,0,0,0,12,12,9,9,9,0,0,0,0,0,12,0.75,0.75,,26,1.1698025300118222
2019_2020,House,t. carver,Terri Carver,R,HD-020,16568,legiscan_id,0.6496115205130937,0.010783608914450037,0.010796545105566218,0.008366800535475234,0.008719916288803628,0.007733952049497293,9,9,5,5,4,0,0,0,0,0,9,9,5,5,4,0,0,0,0,0,9,0.5555555555555556,0.4444444444444444,,43,0.7033623120034895
2019_2020,House,c. larson,Colin Larson,R,HD-022,20135,legiscan_id,0.27268461946079653,0.007189072609633357,0.007197696737044146,0.0033467202141900937,0.0017439832577607255,0.0,6,6,2,1,0,0,0,0,0,0,6,6,2,1,0,0,0,0,0,0,6,0.16666666666666666,0.0,,60,0.2924307738182793
2019_2020,House,s. lontine,Susan Lontine,D,HD-001,16573,legiscan_id,1.3239231685532373,0.017972681524083392,0.017994241842610365,0.020080321285140562,0.01918381583536798,0.019334880123743233,13,13,10,9,8,2,2,2,2,2,11,11,8,7,6,0,0,0,0,0,13,0.6923076923076923,0.6153846153846154,,14,1.2012192417774588
2019_2020,House,d. michaelson jenet,Dafna Michaelson Jenet,D,HD-030,18713,legiscan_id,2.1698207941998833,0.02516175413371675,0.02519193857965451,0.035140562248995984,0.03662364841297523,0.0328692962103635,19,19,19,19,15,2,2,2,2,2,17,17,17,17,13,0,0,0,0,0,19,1.0,0.7894736842105263,,6,2.1235900847024216
2019_2020,House,b. mclachlan,Barbara McLachlan,D,HD-059,18711,legiscan_id,1.3147698056863069,0.016774502755811167,0.016794625719769675,0.020080321285140562,0.020927799093128707,0.019334880123743233,14,14,12,12,10,0,0,0,0,0,14,14,12,12,10,0,0,0,0,0,14,0.8571428571428571,0.7142857142857143,,15,1.4284334633102205
2019_2020,House,m. froelich,Meg Froelich,D,HD-003,20739,legiscan_id,0.7957930084016267,0.010783608914450037,0.010796545105566218,0.013386880856760375,0.012207882804325079,0.009667440061871617,9,9,8,7,5,0,0,0,0,0,9,9,8,7,5,0,0,0,0,0,9,0.7777777777777778,0.5555555555555556,,39,0.8636991383870914
2019_2020,House,c. kennedy,Chris Kennedy,D,HD-023,18712,legiscan_id,1.1975269314901253,0.017972681524083392,0.017994241842610365,0.018406961178045515,0.01569584931984653,0.015467904098994586,13,13,9,7,6,2,2,2,2,2,11,11,7,5,4,0,0,0,0,0,13,0.5384615384615384,0.46153846153846156,,18,1.0621561852965118
2019_2020,House,j. melton,Jovan Melton,D,HD-041,14275,legiscan_id,1.1093303376858235,0.01917086029235562,0.019193857965451054,0.013386880856760375,0.013951866062085804,0.013534416086620264,13,13,5,5,4,3,3,3,3,3,10,10,2,2,1,0,0,0,0,0,13,0.38461538461538464,0.3076923076923077,,23,0.8463106790897876
2019_2020,House,c. kipp,Cathy Kipp,D,HD-052,20159,legiscan_id,1.016396334589141,0.013179966450994488,0.013195777351247601,0.015060240963855422,0.01569584931984653,0.015467904098994586,10,10,8,8,7,1,1,1,1,1,9,9,7,7,6,0,0,0,0,0,10,0.8,0.7,,30,0.9860852133593733
2019_2020,House,j. rich,Janice Rich,R,HD-055,20137,legiscan_id,0.6329691372345033,0.008387251377905584,0.008397312859884837,0.010040160642570281,0.008719916288803628,0.009667440061871617,7,7,6,5,5,0,0,0,0,0,7,7,6,5,5,0,0,0,0,0,7,0.7142857142857143,0.7142857142857143,,45,0.6873968082834626
2019_2020,House,k. ransom,Kim Ransom,R,HD-044,16576,legiscan_id,1.0356917844323217,0.01557632398753894,0.015595009596928982,0.013386880856760375,0.013951866062085804,0.015467904098994586,13,13,8,8,8,0,0,0,0,0,13,13,8,8,8,0,0,0,0,0,13,0.6153846153846154,0.6153846153846154,,27,1.123211018588627
2019_2020,House,j. singer,Jonathan Singer,D,HD-011,13847,legiscan_id,1.6672809411299538,0.020369039060627845,0.020393474088291747,0.025100401606425703,0.026159748866410884,0.027068832173240527,16,16,14,14,13,1,1,1,1,1,15,15,13,13,12,0,0,0,0,0,16,0.875,0.8125,,8,1.694479383157439
