bill_id,term,session,data_name,title,introduced,action_in_comm,action_beyond_comm,passed_chamber,law,chamber_code,SS,commem
HB19-1001,2019_2020,2019-RS,c. kennedy,Hospital Transparency Measures To Analyze Efficacy,1,1,1,1,1,H,1,0
HB19-1002,2019_2020,2019-RS,b. mclachlan,Leadership Professional Development For School Principals,1,1,1,1,1,H,0,0
HB19-1003,2019_2020,2019-RS,c. hansen,Community Solar Gardens Modernization Act,1,1,1,1,1,H,0,0
HB19-1004,2019_2020,2019-RS,d. roberts,Proposal For Affordable Health Coverage Option,1,1,1,1,1,H,1,0
HB19-1005,2019_2020,2019-RS,j. buckner,Income Tax Credit For Early Childhood Educators,1,1,1,1,1,H,0,0
HB19-1006,2019_2020,2019-RS,b. mclachlan,Wildfire Mitigation Wildland-urban Interface Areas,1,1,1,1,1,H,0,0
HB19-1007,2019_2020,2019-RS,e. sirota,Contribution Limits For County Offices,1,1,1,1,1,H,0,0
HB19-1008,2019_2020,2019-RS,t. kraft-tharp,Include Career And Technical Education In Building Excellent Schools Today Program,1,1,1,1,1,H,0,0
HB19-1009,2019_2020,2019-RS,c. kennedy,Substance Use Disorders Recovery,1,1,1,1,1,H,0,0
HB19-1010,2019_2020,2019-RS,k. mullica,Freestanding Emergency Departments Licensure,1,1,1,1,1,H,0,0
HB19-1011,2019_2020,2019-RS,e. hooton,Scope Of Manufactured Home Sales Tax Exemption,1,1,1,1,1,H,0,0
HB19-1012,2019_2020,2019-RS,s. beckman,DPA Department Of Personnel Flexible Administration Of Controlled Maintenance Payments,1,1,1,1,1,H,0,0
HB19-1013,2019_2020,2019-RS,t. exum,Child Care Expenses Tax Credit Low-income Families,1,1,1,1,1,H,0,0
HB19-1014,2019_2020,2019-RS,j. singer,Retail Food Establishments Inspection And Suspension,1,1,1,1,1,H,0,0
HB19-1015,2019_2020,2019-RS,j. arndt,Recreation Of The Colorado Water Institute,1,1,1,1,1,H,0,0
HB19-1016,2019_2020,2019-RS,t. geitner,Basic Skills Placement Tests For High School,1,1,0,0,0,H,0,0
HB19-1017,2019_2020,2019-RS,d. michaelson jenet,Kindergarten Through Fifth Grade Social And Emotional Health Act,1,1,1,1,1,H,0,0
HB19-1018,2019_2020,2019-RS,r. bockenfeld,End Local Government Opt Out Of Unclaimed Property Act,1,1,0,0,0,H,0,0
HB19-1019,2019_2020,2019-RS,j. coleman,Psychotherapists Continuing Competency Requirements,1,1,1,0,0,H,0,0
HB19-1020,2019_2020,2019-RS,d. roberts,Capital Development Committee Administrative Matters,1,1,1,1,1,H,0,0
