term,chamber,data_name,sponsor,party,district,roster_id,roster_id_col,LES,BILL_wshare,AIC_wshare,ABC_wshare,PASS_wshare,LAW_wshare,all_bills,all_aic,all_abc,all_pass,all_law,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,num_sponsored_bills,sponsor_pass_rate,sponsor_law_rate,num_cosponsored_bills,LES_rank,LES_nw
2015_2016,House,hamner m.,"hamner, millie",,,309440,klarner_id,3.9976055261890933,0.04584412995814231,0.04584412995814231,0.05982451475671364,0.06058936931974663,0.0818394388152767,44,44,43,42,40,2,2,2,2,2,42,42,41,40,38,0,0,0,0,0,44,0.9545454545454546,0.9090909090909091,,1,4.438722597420255
2015_2016,House,becker k.,"becker, k. c.",,,322574,klarner_id,2.3201513709599024,0.03288818018736297,0.03288818018736297,0.035894708854028186,0.035802809143486644,0.033125487139516754,29,29,24,23,16,4,4,3,3,1,25,25,21,20,15,0,0,0,0,0,29,0.7931034482758621,0.5517241379310345,,4,2.41744028600925
2015_2016,House,singer j.,"singer, jonathan",,,309304,klarner_id,2.3226861358183863,0.03288818018736297,0.03288818018736297,0.03722414251528849,0.03855687138529331,0.02922837100545596,27,27,22,22,13,6,6,6,6,2,21,21,16,16,11,0,0,0,0,0,27,0.8148148148148148,0.48148148148148145,,3,2.1990791387946804
2015_2016,House,young d.,"young, dave",,,309409,klarner_id,2.200197618857995,0.026908511062387883,0.026908511062387883,0.03456527519276788,0.03442577802258331,0.03897116134060795,26,26,25,24,19,1,1,1,1,1,25,25,24,23,18,0,0,0,0,0,26,0.9230769230769231,0.7307692307692307,,5,2.456345283920036
2015_2016,House,melton j.,"melton, jovan",,,309390,klarner_id,1.8668557630720586,0.0259118995415587,0.0259118995415587,0.02924754054772667,0.02891765353896998,0.027279812938425563,24,24,20,19,13,2,2,2,2,1,22,22,18,17,12,0,0,0,0,0,24,0.7916666666666666,0.5416666666666666,,6,1.9955427715485945
2015_2016,House,kraft-tharp t.,"krafttharp, tracy",,,309358,klarner_id,1.8083228823118513,0.019932230416583617,0.019932230416583617,0.026588673225206062,0.027540622418066648,0.03897116134060795,16,16,16,16,16,4,4,4,4,4,12,12,12,12,12,0,0,0,0,0,16,1.0,1.0,,8,1.6816992725077087
2015_2016,House,pabon d.,"pabon, dan",,,295923,klarner_id,2.4003250921922006,0.030894957145704605,0.030894957145704605,0.03855357617654879,0.037179840264389974,0.03897116134060795,23,23,22,21,15,8,8,7,6,5,15,15,15,15,10,0,0,0,0,0,23,0.9130434782608695,0.6521739130434783,,2,2.110871459681825
2015_2016,House,mccann e.,"mccann, beth",,,283563,klarner_id,1.8313677195832367,0.02391867649990034,0.02391867649990034,0.02924754054772667,0.030294684659873315,0.027279812938425563,20,20,18,18,12,4,4,4,4,2,16,16,14,14,10,0,0,0,0,0,20,0.9,0.6,,7,1.7742362316665674
2015_2016,House,primavera d.,"primavera, dianne",,,260097,klarner_id,1.7306440441418323,0.022922064979071156,0.022922064979071156,0.026588673225206062,0.027540622418066648,0.027279812938425563,20,20,17,17,11,3,3,3,3,3,17,17,14,14,8,0,0,0,0,0,20,0.85,0.55,,9,1.7007579341115797
2015_2016,House,ginal j.,"ginal, joann",,,309414,klarner_id,1.5310841326663613,0.020928841937412797,0.020928841937412797,0.023929805902685456,0.02340952905535665,0.02338269680436477,18,18,16,15,11,3,3,2,2,1,15,15,14,13,10,0,0,0,0,0,18,0.8333333333333334,0.6111111111111112,,12,1.57217256075421
