term,chamber,data_name,sponsor,party,district,roster_id,roster_id_col,LES,BILL_wshare,AIC_wshare,ABC_wshare,PASS_wshare,LAW_wshare,all_bills,all_aic,all_abc,all_pass,all_law,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,num_sponsored_bills,sponsor_pass_rate,sponsor_law_rate,num_cosponsored_bills,LES_rank,LES_nw
2015_2016,House,hamner m.,"hamner, millie",,,309440,klarner_id,4.3481317556549195,0.0501481650330522,0.0501481650330522,0.06552880219445291,0.06601697579377554,0.08787346221441125,44,44,43,42,40,0,0,0,0,0,44,44,43,42,40,0,0,0,0,0,44,0.9545454545454546,0.9090909090909091,,1,4.438722597420255
2015_2016,House,becker k.,"becker, k. c.",,,322574,klarner_id,2.3661300785790043,0.03305219968087531,0.03305219968087531,0.0365742151782993,0.03615215341087708,0.0351493848857645,29,29,24,23,16,0,0,0,0,0,29,29,24,23,16,0,0,0,0,0,29,0.7931034482758621,0.5517241379310345,,3,2.41744028600925
2015_2016,House,singer j.,"singer, jonathan",,,309304,klarner_id,2.1516700767458765,0.030772737633918395,0.030772737633918395,0.03352636391344102,0.034580320653882425,0.028558875219683654,27,27,22,22,13,0,0,0,0,0,27,27,22,22,13,0,0,0,0,0,27,0.8148148148148148,0.48148148148148145,,4,2.1990791387946804
2015_2016,House,young d.,"young, dave",,,309409,klarner_id,2.4048612726180254,0.029633006610439935,0.029633006610439935,0.03809814081072844,0.03772398616787174,0.04173989455184534,26,26,25,24,19,0,0,0,0,0,26,26,25,24,19,0,0,0,0,0,26,0.9230769230769231,0.7307692307692307,,2,2.456345283920036
2015_2016,House,melton j.,"melton, jovan",,,309390,klarner_id,2.026189469477358,0.028493275586961478,0.028493275586961478,0.03200243828101189,0.03143665513989312,0.028558875219683654,24,24,20,19,13,1,1,1,1,0,23,23,19,18,13,0,0,0,0,0,24,0.7916666666666666,0.5416666666666666,,6,1.9955427715485945
2015_2016,House,kraft-tharp t.,"krafttharp, tracy",,,309358,klarner_id,1.6476796014028399,0.018235696375655346,0.018235696375655346,0.0243828101188662,0.025149324111914492,0.0351493848857645,16,16,16,16,16,0,0,0,0,0,16,16,16,16,16,0,0,0,0,0,16,1.0,1.0,,12,1.6816992725077087
2015_2016,House,pabon d.,"pabon, dan",,,295923,klarner_id,2.0660443702020928,0.026213813540004557,0.026213813540004557,0.03352636391344102,0.03300848789688777,0.032952548330404216,23,23,22,21,15,0,0,0,0,0,23,23,22,21,15,0,0,0,0,0,23,0.9130434782608695,0.6521739130434783,,5,2.110871459681825
2015_2016,House,mccann e.,"mccann, beth",,,283563,klarner_id,1.7363790563380241,0.02279462046956918,0.02279462046956918,0.027430661383724474,0.028292989625903806,0.026362038664323375,20,20,18,18,12,0,0,0,0,0,20,20,18,18,12,0,0,0,0,0,20,0.9,0.6,,8,1.7742362316665674
2015_2016,House,primavera d.,"primavera, dianne",,,260097,klarner_id,1.7673797401766382,0.02393435149304764,0.02393435149304764,0.027430661383724474,0.028292989625903806,0.026362038664323375,20,20,17,17,11,1,1,1,1,1,19,19,16,16,10,0,0,0,0,0,20,0.85,0.55,,7,1.7007579341115797
2015_2016,House,ginal j.,"ginal, joann",,,309414,klarner_id,1.5389191578204415,0.020515158422612263,0.020515158422612263,0.0243828101188662,0.023577491354919836,0.024165202108963092,18,18,16,15,11,0,0,0,0,0,18,18,16,15,11,0,0,0,0,0,18,0.8333333333333334,0.6111111111111112,,13,1.57217256075421
2015_2016,House,lee p.,"lee, pete",,,283519,klarner_id,1.7230300127090459,0.021654889446090723,0.021654889446090723,0.025906735751295335,0.02672115686890915,0.030755711775043937,19,19,17,17,14,0,0,0,0,0,19,19,17,17,14,0,0,0,0,0,19,0.8947368421052632,0.7368421052631579,,9,1.7595956590638822
