Date,State,Bill No,Title,Action
"June 8, 2021",CO,HB 21-1071,Authorizes Ranked Choice Voting to be Used for Municipal Elections,"Concurrence Vote Passed
                           - House
                      

                      
                          (50 - 15)"
"June 8, 2021",CO,HB 21-1289,Establishes the Digital Inclusion Grant Program,"Concurrence Vote Passed
                           - House
                      

                      
                          (54 - 11)"
"June 8, 2021",CO,SB 21-060,Establishes a Program that Provides Financial Assistance to Access Broadband Services,"Bill Passed
                           - House
                      

                      
                          (43 - 22)"
"June 8, 2021",CO,SB 21-293,Reduces Property Assessment Rates in the 2022 and 2023 Taxation Years,"Bill Passed
                           - House
                      

                      
                          (42 - 23)"
"June 7, 2021",CO,SB 21-250,Requires the Secretary of State to Allow Voters to Register to Vote Using the Last 4 Digits of their Social Securi ...,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (20 - 12)"
"June 7, 2021",CO,SB 21-190,Establishes Personal Privacy Protections for Data,"Bill Passed
                           - House
                      

                      
                          (57 - 7)"
"June 7, 2021",CO,SB 21-293,Reduces Property Assessment Rates in the 2022 and 2023 Taxation Years,"Bill Passed
                           - Senate
                      

                      
                          (23 - 11)"
"June 4, 2021",CO,SB 21-060,Establishes a Program that Provides Financial Assistance to Access Broadband Services,"Bill Passed
                           - Senate
                      

                      
                          (24 - 11)"
"June 3, 2021",CO,SB 21-072,Expands Electric Transmission Facilities to Meet Clean Energy Goals,"Bill Passed
                           - House
                      

                      
                          (49 - 15)"
"June 3, 2021",CO,SB 21-250,Requires the Secretary of State to Allow Voters to Register to Vote Using the Last 4 Digits of their Social Securi ...,"Bill Passed
                           - House
                      

                      
                          (40 - 23)"
"June 3, 2021",CO,HB 21-1071,Authorizes Ranked Choice Voting to be Used for Municipal Elections,"Bill Passed
                           - Senate
                      

                      
                          (20 - 15)"
"June 3, 2021",CO,HB 21-1311,"Requires Taxpayers With Gross Incomes of $400,000 or More to Add Back Certain Itemized Deductions","Bill Passed
                           - Senate
                      

                      
                          (20 - 15)"
"May 28, 2021",CO,SB 21-029,Expands In-State Tuition to Native American Students,"Bill Passed
                           - House
                      

                      
                          (49 - 11)"
"May 25, 2021",CO,HB 21-1311,"Requires Taxpayers With Gross Incomes of $400,000 or More to Add Back Certain Itemized Deductions","Bill Passed
                           - House
                      

                      
                          (41 - 23)"
"May 24, 2021",CO,HB 21-1109,Requires the Broadband Development Board to Develop a Request for a Proposal Process for Deploying Broadband,"Concurrence Vote Passed
                           - House
                      

                      
                          (46 - 15)"
"May 24, 2021",CO,HB 21-1164,Authorizes School Districts to Raise their Mill-Levy Rates,"Bill Passed
                           - Senate
                      

                      
                          (23 - 12)"
"May 12, 2021",CO,SB 21-246,"Extends Assistance to Aid in the Transition to ""Healthier"" Homes","Bill Passed
                           - Senate
                      

                      
                          (21 - 14)"
"May 5, 2021",CO,SB 21-188,Authorizes a Voter with a Disability to Print the Ballot or Return the Ballot by Electronic Transmission,"Bill Passed
                           - House
                      

                      
                          (41 - 22)"
"May 3, 2021",CO,HB 21-1114,Requires a Local Government to Obtain Voter Approval Before Providing Internet Access,"Bill Passed
                           - Senate
                      

                      
                          (29 - 5)"
"April 27, 2021",CO,SB 21-006,Authorizes the Use of Human Remains in Composting,"Bill Passed
                           - House
                      

                      
                          (45 - 18)"
"April 26, 2021",CO,SB 21-247,Authorizes the Adjustment of Redistricting Commission Procedures,"Bill Passed
                           - Senate
                      

                      
                          (34 - 0)"
"April 15, 2021",CO,SB 21-205,Appropriates Funding as Part of 2021-2022 Long Appropriations,"Bill Passed
                           - House
                      

                      
                          (41 - 23)"
"April 12, 2021",CO,SB 21-188,Authorizes a Voter with a Disability to Print the Ballot or Return the Ballot by Electronic Transmission,"Bill Passed
                           - Senate
                      

                      
                          (22 - 13)"
"March 29, 2021",CO,HB 21-1011,Requires Providing Multilingual Ballot Access,"Bill Passed
                           - House
                      

                      
                          (40 - 23)"
