Date,State,Bill No,Title,Action
"Nov. 20, 2023",CO,SB 23B-001,Reduces State Property Taxes for 2023,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (23 - 12)"
"Nov. 20, 2023",CO,HB 23B-1003,"Establishes a Task Force to Study and Develop Potential Long-Term ""Permanent and Sustainable"" Property Tax Plans","Concurrence Vote Passed
                           - House
                      

                      
                          (43 - 17)"
"Nov. 20, 2023",CO,SB 23B-001,Reduces State Property Taxes for 2023,"Bill Passed
                           - House
                      

                      
                          (42 - 18)"
"Nov. 20, 2023",CO,HB 23B-1003,"Establishes a Task Force to Study and Develop Potential Long-Term ""Permanent and Sustainable"" Property Tax Plans","Bill Passed
                           - Senate
                      

                      
                          (20 - 15)"
"Nov. 20, 2023",CO,SB 23B-002,Requires the State Join the Federal Food Assistance Program,"Bill Passed
                           - House
                      

                      
                          (44 - 16)"
"Nov. 20, 2023",CO,SB 23B-003,Amends TABOR Refund Amounts to be Identical,"Bill Passed
                           - House
                      

                      
                          (42 - 18)"
"Nov. 20, 2023",CO,HB 23B-1001,Appropriates $30 Million in Emergency Rental Assistance,"Bill Passed
                           - Senate
                      

                      
                          (22 - 12)"
"Nov. 19, 2023",CO,HB 23B-1002,Expands Access to the State's Earned Income Tax Credit,"Bill Passed
                           - Senate
                      

                      
                          (20 - 13)"
"Nov. 19, 2023",CO,SB 23B-003,Amends TABOR Refund Amounts to be Identical,"Bill Passed
                           - Senate
                      

                      
                          (21 - 12)"
"Nov. 19, 2023",CO,HB 23B-1001,Appropriates $30 Million in Emergency Rental Assistance,"Bill Passed
                           - House
                      

                      
                          (42 - 18)"
"Nov. 18, 2023",CO,HB 23B-1002,Expands Access to the State's Earned Income Tax Credit,"Bill Passed
                           - House
                      

                      
                          (39 - 20)"
"May 23, 2023",CO,HB 23-1223,Establishes a Task Fore to Prioritize Grants for Youth,"Bill Passed
                           - Senate
                      

                      
                          (23 - 12)"
"May 8, 2023",CO,HB 23-1294,Establishes New Anti-Pollution Protocols and Creates a New Research Task Force,"Concurrence Vote Passed
                           - House
                      

                      
                          (42 - 18)"
"May 8, 2023",CO,HB 23-1190,Authorizes Local Governments the Right of First Refusal on Multifamily Properties,"Concurrence Vote Passed
                           - House
                      

                      
                          (42 - 19)"
"May 8, 2023",CO,SB 23-291,Limits Utility Companies from Charging Ratepayers for Certain Lobbying and Marketing Costs,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (24 - 11)"
"May 8, 2023",CO,SB 23-303,Reduces Property Taxes And Authorizes a Voter-Approved Revenue Change,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (23 - 12)"
"May 8, 2023",CO,HB 23-1304,Amends Various Affordable Housing Rules and Regulations,"Concurrence Vote Passed
                           - House
                      

                      
                          (60 - 4)"
"May 8, 2023",CO,SB 23-303,Reduces Property Taxes And Authorizes a Voter-Approved Revenue Change,"Bill Passed
                           - House
                      

                      
                          (39 - 7)"
"May 8, 2023",CO,HB 23-1294,Establishes New Anti-Pollution Protocols and Creates a New Research Task Force,"Bill Passed
                           - Senate
                      

                      
                          (23 - 12)"
"May 8, 2023",CO,HB 23-1311,Increases State Funding for Tax Relief to Equalize Refund Payments Amounts,"Bill Passed
                           - Senate
                      

                      
                          (23 - 12)"
"May 7, 2023",CO,HB 23-1002,Appropriates Funds for Epipens and Auto-Injectors,"Conference Report Adopted
                           - House
                      

                      
                          (50 - 14)"
"May 7, 2023",CO,HB 23-1132,Appropriates Funds for a State Data-Sharing Task Force,"Conference Report Adopted
                           - House
                      

                      
                          (56 - 8)"
"May 7, 2023",CO,HB 23-1057,Requires All New Government Buildings have Non-Gendered Bathrooms,"Concurrence Vote Passed
                           - House
                      

                      
                          (46 - 17)"
"May 7, 2023",CO,HB 23-1189,Establishes an Income Tax Credit for Employer Assistance to Employees in Making a Home Purchase,"Concurrence Vote Passed
                           - House
                      

                      
                          (47 - 16)"
"May 7, 2023",CO,HB 23-1255,Prohibits Local Growth Caps,"Concurrence Vote Passed
                           - House
                      

                      
                          (43 - 21)"
"May 7, 2023",CO,HB 23-1120,Requires Landlords go Through Mediation Before Evicting a Renter,"Concurrence Vote Passed
                           - House
                      

                      
                          (47 - 16)"
"May 7, 2023",CO,HB 23-1215,Prohibits Hospitals from Charging Facility Fees for Preventive Care Services,"Concurrence Vote Passed
                           - House
                      

                      
                          (47 - 17)"
"May 7, 2023",CO,HB 23-1181,Restructures Regulation of Guaranteed Asset Protection Agreements,"Concurrence Vote Passed
                           - House
                      

                      
                          (49 - 15)"
"May 7, 2023",CO,HB 23-1242,Amending Water Conservation Rules For the State,"Concurrence Vote Passed
                           - House
                      

                      
                          (51 - 13)"
"May 7, 2023",CO,HB 23-1190,Authorizes Local Governments the Right of First Refusal on Multifamily Properties,"Bill Passed
                           - Senate
                      

                      
                          (19 - 16)"
"May 7, 2023",CO,HB 23-1200,Establishes Behavioral Health Crisis Vouchers to Fund Treatment Plans,"Bill Passed
                           - Senate
                      

                      
                          (30 - 4)"
"May 7, 2023",CO,HB 23-1311,Increases State Funding for Tax Relief to Equalize Refund Payments Amounts,"Bill Passed
                           - House
                      

                      
                          (44 - 17)"
"May 7, 2023",CO,HB 23-1253,Establish a Task Force to Study Corporate Housing Ownership,"Concurrence Vote Passed
                           - House
                      

                      
                          (46 - 18)"
"May 6, 2023",CO,SB 23-259,Authorizes Casinos to Offer Individual Lines of Credit,"Bill Passed
                           - House
                      

                      
                          (33 - 32)"
"May 6, 2023",CO,HB 23-1253,Establish a Task Force to Study Corporate Housing Ownership,"Bill Passed
                           - Senate
                      

                      
                          (21 - 13)"
"May 6, 2023",CO,HB 23-1189,Establishes an Income Tax Credit for Employer Assistance to Employees in Making a Home Purchase,"Bill Passed
                           - Senate
                      

                      
                          (27 - 7)"
"May 6, 2023",CO,HB 23-1120,Requires Landlords go Through Mediation Before Evicting a Renter,"Bill Passed
                           - Senate
                      

                      
                          (20 - 14)"
"May 6, 2023",CO,SB 23-291,Limits Utility Companies from Charging Ratepayers for Certain Lobbying and Marketing Costs,"Bill Passed
                           - House
                      

                      
                          (46 - 19)"
"May 6, 2023",CO,SB 23-259,Authorizes Casinos to Offer Individual Lines of Credit,"Bill Failed
                           - House
                      

                      
                          (31 - 34)"
"May 6, 2023",CO,SB 23-277,Expands Public Safety Programs and Extends Existing Appropriations,"Bill Passed
                           - House
                      

                      
                          (48 - 17)"
"May 5, 2023",CO,HB 23-1057,Requires All New Government Buildings have Non-Gendered Bathrooms,"Bill Passed
                           - Senate
                      

                      
                          (26 - 9)"
"May 5, 2023",CO,HB 23-1076,Expands Employee's Medical Impairments and Disability Benefits,"Bill Passed
                           - Senate
                      

                      
                          (26 - 9)"
"May 5, 2023",CO,SB 23-279,"Prohibits the Sale of Unserialized Firearms Commonly Known as ""Ghost Guns""","Bill Passed
                           - House
                      

                      
                          (46 - 18)"
"May 4, 2023",CO,HB 23-1132,Appropriates Funds for a State Data-Sharing Task Force,"Conference Report Adopted
                           - Senate
                      

                      
                          (29 - 6)"
"May 4, 2023",CO,HB 23-1002,Appropriates Funds for Epipens and Auto-Injectors,"Conference Report Adopted
                           - Senate
                      

                      
                          (27 - 8)"
"May 4, 2023",CO,HB 23-1245,Amends Fair Campaign Practices Act for Municipal Elections,"Concurrence Vote Passed
                           - House
                      

                      
                          (45 - 18)"
"May 4, 2023",CO,SB 23-105,Amends the State Equal Pay for Equal Work Act,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (24 - 11)"
"May 4, 2023",CO,HB 23-1233,Limits the State Electrical Board From Prohibiting the Installation of Electric Charging Stations,"Concurrence Vote Passed
                           - House
                      

                      
                          (46 - 17)"
"May 4, 2023",CO,HB 23-1158,Establishes the Colorado Commidity Supplemental Food Grant Program,"Concurrence Vote Passed
                           - House
                      

                      
                          (57 - 6)"
"May 4, 2023",CO,HB 23-1242,Amending Water Conservation Rules For the State,"Bill Passed
                           - Senate
                      

                      
                          (23 - 12)"
"May 4, 2023",CO,HB 23-1255,Prohibits Local Growth Caps,"Bill Passed
                           - Senate
                      

                      
                          (20 - 15)"
"May 4, 2023",CO,HB 23-1215,Prohibits Hospitals from Charging Facility Fees for Preventive Care Services,"Bill Passed
                           - Senate
                      

                      
                          (23 - 12)"
"May 4, 2023",CO,HB 23-1304,Amends Various Affordable Housing Rules and Regulations,"Bill Passed
                           - Senate
                      

                      
                          (27 - 8)"
"May 4, 2023",CO,HB 23-1307,Establishes Enhancede Supports for Youth Who are in Detention,"Bill Passed
                           - Senate
                      

                      
                          (34 - 1)"
"May 4, 2023",CO,HB 23-1306,Authorizes Elected Officials to Block Public Access to Their Social Media,"Bill Passed
                           - Senate
                      

                      
                          (26 - 9)"
"May 3, 2023",CO,HB 23-1245,Amends Fair Campaign Practices Act for Municipal Elections,"Bill Passed
                           - Senate
                      

                      
                          (21 - 14)"
"May 2, 2023",CO,HB 23-1182,Requires Remote Public Access To Criminal Court Proceedings,"Concurrence Vote Passed
                           - House
                      

                      
                          (57 - 8)"
"May 2, 2023",CO,SB 23-276,Amends Election Laws Concerning Tribal Voting,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (30 - 5)"
"May 2, 2023",CO,SB 23-172,Expands State Anti-Discrimination Laws,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (23 - 12)"
"May 2, 2023",CO,SB 23-111,Authorizes Additional Protections for Public Employees,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (23 - 12)"
"May 2, 2023",CO,SB 23-254,Amends Statutes Regarding Search Warrants by Police,"Bill Passed
                           - House
                      

                      
                          (42 - 23)"
"May 2, 2023",CO,HB 23-1233,Limits the State Electrical Board From Prohibiting the Installation of Electric Charging Stations,"Bill Passed
                           - Senate
                      

                      
                          (22 - 12)"
"May 1, 2023",CO,SB 23-249,Classifies the False Reporting of a Mass Shooting as a Felony,"Bill Passed
                           - House
                      

                      
                          (53 - 10)"
"May 1, 2023",CO,SB 23-105,Amends the State Equal Pay for Equal Work Act,"Bill Passed
                           - House
                      

                      
                          (41 - 21)"
"May 1, 2023",CO,HB 23-1181,Restructures Regulation of Guaranteed Asset Protection Agreements,"Bill Passed
                           - Senate
                      

                      
                          (26 - 9)"
"May 1, 2023",CO,HB 23-1306,Authorizes Elected Officials to Block Public Access to Their Social Media,"Bill Passed
                           - House
                      

                      
                          (43 - 20)"
"April 29, 2023",CO,SB 23-276,Amends Election Laws Concerning Tribal Voting,"Bill Passed
                           - House
                      

                      
                          (44 - 19)"
"April 29, 2023",CO,SB 23-172,Expands State Anti-Discrimination Laws,"Bill Passed
                           - House
                      

                      
                          (43 - 22)"
"April 29, 2023",CO,SB 23-111,Authorizes Additional Protections for Public Employees,"Bill Passed
                           - House
                      

                      
                          (43 - 19)"
"April 29, 2023",CO,SB 23-184,Prohibits Landlords from Rejecting a Tenant on Income Grounds,"Bill Passed
                           - House
                      

                      
                          (43 - 22)"
"April 29, 2023",CO,HB 23-1135,Classifies Indecent exposure to a Minor as Felony,"Bill Passed
                           - House
                      

                      
                          (37 - 27)"
"April 28, 2023",CO,SB 23-279,"Prohibits the Sale of Unserialized Firearms Commonly Known as ""Ghost Guns""","Bill Passed
                           - Senate
                      

                      
                          (20 - 12)"
"April 27, 2023",CO,HB 23-1266,Amends Rules Concerning Reverse Mortage When Property Becomes Uninhabitable,"Bill Passed
                           - Senate
                      

                      
                          (30 - 5)"
"April 27, 2023",CO,SB 23-281,Requires notice of Limited Transferability of College Credits from Some Non-Accredited Institutions,"Bill Passed
                           - Senate
                      

                      
                          (28 - 7)"
"April 26, 2023",CO,SB 23-058,Prohibits Age-Related Discrimination in Work Settings,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (23 - 12)"
"April 26, 2023",CO,SB 23-149,Authorizes Higher Education Financial Aid for Youth Mentors,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (23 - 12)"
"April 26, 2023",CO,HB 23-1086,Amends the Due Process Asset Forfeiture Act,"Bill Passed
                           - House
                      

                      
                          (59 - 6)"
"April 24, 2023",CO,SB 23-017,Authorizes Additional Uses of Paid Sick Leave,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (23 - 11)"
"April 24, 2023",CO,SB 23-149,Authorizes Higher Education Financial Aid for Youth Mentors,"Bill Passed
                           - House
                      

                      
                          (47 - 16)"
"April 24, 2023",CO,SB 23-163,Classifies Wildlife Officers as State Troopers,"Bill Passed
                           - House
                      

                      
                          (61 - 3)"
"April 24, 2023",CO,HB 23-1223,Establishes a Task Fore to Prioritize Grants for Youth,"Bill Passed
                           - House
                      

                      
                          (45 - 18)"
"April 21, 2023",CO,SB 23-017,Authorizes Additional Uses of Paid Sick Leave,"Bill Passed
                           - House
                      

                      
                          (41 - 22)"
"April 21, 2023",CO,SB 23-058,Prohibits Age-Related Discrimination in Work Settings,"Bill Passed
                           - House
                      

                      
                          (41 - 19)"
"April 21, 2023",CO,HB 23-1076,Expands Employee's Medical Impairments and Disability Benefits,"Bill Passed
                           - House
                      

                      
                          (45 - 17)"
"April 21, 2023",CO,SB 23-259,Authorizes Casinos to Offer Individual Lines of Credit,"Bill Passed
                           - Senate
                      

                      
                          (25 - 8)"
"April 20, 2023",CO,HB 23-1100,Prohibits Government Participation in Civil Immigration Detention,"Bill Passed
                           - Senate
                      

                      
                          (19 - 13)"
"April 19, 2023",CO,HB 23-1186,Authorizes Remote Participation in County Court Residential Eviction Filings,"Bill Passed
                           - Senate
                      

                      
                          (21 - 12)"
"April 17, 2023",CO,SB 23-254,Amends Statutes Regarding Search Warrants by Police,"Bill Passed
                           - Senate
                      

                      
                          (27 - 7)"
"April 17, 2023",CO,SB 23-1196,Authorizes Individuals to Seek Legal Remedies for Breaches of the Colorado Youth Employment Opportunity Act of 1971,"Bill Passed
                           - Senate
                      

                      
                          (23 - 11)"
"April 17, 2023",CO,HB 23-1266,Amends Rules Concerning Reverse Mortage When Property Becomes Uninhabitable,"Bill Passed
                           - House
                      

                      
                          (46 - 19)"
"April 17, 2023",CO,SB 23-184,Prohibits Landlords from Rejecting a Tenant on Income Grounds,"Bill Passed
                           - Senate
                      

                      
                          (22 - 12)"
"April 13, 2023",CO,HB 23-1095,Prohibits Certain Provisions in Rental Agreements,"Concurrence Vote Passed
                           - House
                      

                      
                          (43 - 19)"
"April 13, 2023",CO,SB 23-093,Prohibits Annual Medical Debt Interest from Exceeding 3%,"Bill Passed
                           - House
                      

                      
                          (43 - 20)"
"April 11, 2023",CO,HB 23-1011,Authorizes Individuals Right to Repair Agriculture Equipment,"Conference Report Adopted
                           - House
                      

                      
                          (44 - 16)"
"April 11, 2023",CO,HB 23-1095,Prohibits Certain Provisions in Rental Agreements,"Bill Passed
                           - Senate
                      

                      
                          (19 - 16)"
"April 4, 2023",CO,SB 23-189,Increases State Access to Reproductive Healthcare,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (22 - 13)"
"April 4, 2023",CO,SB 23-188,Establishes State Protections For Accessing Reproductive Health Care,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (22 - 13)"
"April 3, 2023",CO,SB 23-163,Classifies Wildlife Officers as State Troopers,"Bill Passed
                           - Senate
                      

                      
                          (33 - 1)"
"April 1, 2023",CO,SB 23-188,Establishes State Protections For Accessing Reproductive Health Care,"Bill Passed
                           - House
                      

                      
                          (42 - 18)"
"April 1, 2023",CO,SB 23-189,Increases State Access to Reproductive Healthcare,"Bill Passed
                           - House
                      

                      
                          (41 - 19)"
"April 1, 2023",CO,SB 23-190,Prohibits Deceptive Advertisements at Anit-Abortion Centers,"Bill Passed
                           - House
                      

                      
                          (43 - 19)"
"March 30, 2023",CO,HB 23-1011,Authorizes Individuals Right to Repair Agriculture Equipment,"Conference Report Adopted
                           - Senate
                      

                      
                          (23 - 10)"
"March 22, 2023",CO,SB 23-190,Prohibits Deceptive Advertisements at Anit-Abortion Centers,"Bill Passed
                           - Senate
                      

                      
                          (22 - 13)"
"March 21, 2023",CO,SB 23-150,Amends Regulations Regarding Disposable Wipes,"Bill Passed
                           - House
                      

                      
                          (54 - 11)"
"March 20, 2023",CO,HB 23-1186,Authorizes Remote Participation in County Court Residential Eviction Filings,"Bill Passed
                           - House
                      

                      
                          (44 - 18)"
"March 20, 2023",CO,SB 23-1196,Authorizes Individuals to Seek Legal Remedies for Breaches of the Colorado Youth Employment Opportunity Act of 1971,"Bill Passed
                           - House
                      

                      
                          (44 - 18)"
"March 15, 2023",CO,SB 23-1006,Requires Employer Notification of Employee Income Tax Credit Eligibility,"Bill Passed
                           - Senate
                      

                      
                          (22 - 12)"
"March 13, 2023",CO,SB 23-170,Expands Access to Extreme Risk Protection Orders,"Bill Passed
                           - Senate
                      

                      
                          (22 - 13)"
"March 13, 2023",CO,SB 23-168,Repeals Current Limits on Product Liability Actions Against Firearm Manufacturers,"Bill Passed
                           - Senate
                      

                      
                          (21 - 14)"
"March 13, 2023",CO,SB 23-169,Increases Legal Age to Buy Firearms to 21,"Bill Passed
                           - Senate
                      

                      
                          (20 - 15)"
"March 11, 2023",CO,HB 23-1219,Establishes a 3-Day Waiting Period to Purchase Firearms,"Bill Passed
                           - House
                      

                      
                          (44 - 20)"
"March 10, 2023",CO,SB 23-093,Prohibits Annual Medical Debt Interest from Exceeding 3%,"Bill Passed
                           - Senate
                      

                      
                          (26 - 9)"
"March 8, 2023",CO,SB 23-084,Extends Federal Student Loan Forgiveness Eligibility to Adjunct Professors,"Bill Passed
                           - House
                      

                      
                          (44 - 18)"
"March 8, 2023",CO,HB 23-1185,Establishes Limitations on Candidates Who Can Replace Recalled Elected Officials,(48 - 14)
"March 7, 2023",CO,SB 23-150,Amends Regulations Regarding Disposable Wipes,"Bill Passed
                           - Senate
                      

                      
                          (30 - 5)"
"Feb. 27, 2023",CO,HB 23-1100,Prohibits Government Participation in Civil Immigration Detention,"Bill Passed
                           - House
                      

                      
                          (41 - 22)"
"Feb. 16, 2023",CO,SB 23-128,Appropriates Funding for the State Department of Public Health and Environment,"Bill Passed
                           - House
                      

                      
                          (46 - 18)"
"Feb. 9, 2023",CO,SB 23-128,Appropriates Funding for the State Department of Public Health and Environment,"Bill Passed
                           - Senate
                      

                      
                          (25 - 9)"
"Feb. 9, 2023",CO,HB 23-1064,Establishes the Interstate Teacher Mobility Compact to Help With Colorado's Teacher Shortage,"Bill Passed
                           - House
                      

                      
                          (46 - 16)"
"Feb. 2, 2023",CO,SB 23-1006,Requires Employer Notification of Employee Income Tax Credit Eligibility,"Bill Passed
                           - House
                      

                      
                          (43 - 20)"
"Jan. 31, 2023",CO,HB 23-1058,"Amends Definition of ""Child-Occupied Facility"" as Relates to Lead-Based Paint Abatement","Bill Passed
                           - House
                      

                      
                          (54 - 9)"
