"state","year","bill_num","bill_type","num_only","special","special_num","num_bill_mentions","share_cong_mentions","share_state_mentions","source","ex_article_path"
"HI",2013,"hb0775","HB",775,0,NA,1,0,0,"newsbank","HI-Adv/2013/01/31/1303F18E28037C08_20130131_144341E9D3609628.xml"
"MD",2013,"hb0780","HB",780,0,NA,1,0,1,"lexisnexis","MD_2013_1.pdf --- Article Number: 37"
"MS",2013,"hb0781","HB",781,0,NA,1,0,1,"newsbank","MS/2013/03/15/0C9C367FBB8A8780_20130315_1450CCFE98853CA8.xml"
"HI",2013,"hb0785","HB",785,0,NA,3,0.333333333333333,0,"newsbank","HI-Adv/2013/04/09/1303F18E28037C08_20130409_145999616EC06240.xml"
"NC",2013,"hb0786","HB",786,0,NA,10,0.2,0.4,"newsbank","NC/2013/05/02/0C9C34A99F5CE700_20130502_1460A395D8E15E98.xml"
"FL",2013,"hb0789","HB",789,0,NA,1,0,0,"lexisnexis","FL_2013_7.pdf --- Article Number: 46"
"PA",2013,"hb0790","HB",790,0,NA,8,0,0.25,"newsbank","PA/2013/02/24/0C9C352AB17A8D80_20130224_144A9569B2FACBE8.xml"
"TX",2013,"hb0792","HB",792,0,NA,1,0,0,"lexisnexis","TX_2013_11.pdf --- Article Number: 4"
"TX",2013,"hb0792","HB",792,1,NA,1,0,0,"newsbank","TX/2013/05/10/0C9C30CEEF1DD980_20130510_14635597344FDC68.xml"
"FL",2013,"hb0797","HB",797,0,NA,1,0,0,"lexisnexis","FL_2013_8.pdf --- Article Number: 34"
"TX",2013,"hb0800","HB",800,0,NA,3,0,0.666666666666667,"newsbank","TX/2013/02/21/0C9C30CEEF1DD980_20130221_144ABE53F7473AD8.xml"
"TX",2013,"hb0800","HB",800,1,1,1,0,0,"lexisnexis","TX_2013_s1_2.pdf --- Article Number: 34"
"TX",2013,"hb0800","HB",800,1,NA,1,0,0,"newsbank","TX/2013/05/23/0C9C30CEEF1DD980_20130523_1467E2A73013ADA0.xml"
"MO",2013,"hb0801","HB",801,0,NA,1,0,1,"newsbank","MO/2013/06/12/0C9C364D5DACAA80_20130612_146E1E02766B7CF0.xml"
"NC",2013,"hb0805","HB",805,0,NA,1,0,0,"newsbank","NC/2013/05/08/0C9C34A99F5CE700_20130508_1462A099B4081950.xml"
"PA",2013,"hb0810","HB",810,0,NA,1,0,1,"newsbank","PA/2013/12/12/0C9C352AB17A8D80_20131212_14AA73F29FD575B8.xml"
"IL",2013,"hb0815","HB",815,0,NA,1,0,1,"lexisnexis","IL_2013_1.pdf --- Article Number: 43"
"NC",2013,"hb0815","HB",815,0,NA,1,0,0,"newsbank","NC/2013/05/14/0C9C34A99F5CE700_20130514_1464A94A36DEA180.xml"
"NC",2013,"hb0817","HB",817,0,NA,3,0,0,"newsbank","NC/2013/05/06/0C9C34A99F5CE700_20130506_146206D71083EBA8.xml"
"PA",2013,"hb0818","HB",818,0,NA,7,0.285714285714286,0.428571428571429,"newsbank","PA/2013/05/05/0C9C352AB17A8D80_20130505_1461A5320561A7B0.xml"
"HI",2013,"hb0820","HB",820,0,NA,1,0,0,"newsbank","HI-Adv/2013/04/27/1303F18E28037C08_20130427_145F8E3535BDB4A8.xml"
"NC",2013,"hb0820","HB",820,0,NA,1,0,0,"newsbank","NC/2013/05/13/0C9C34A99F5CE700_20130513_1464516A37F541A0.xml"
"LA",2013,"hb0822","HB",822,0,NA,2,0,0,"newsbank","LA/2013/07/26/0C9C307698CA2800_20130726_147CBB359BD89DC8.xml"
"FL",2013,"hb0827","HB",827,0,NA,2,0,0,"lexisnexis","FL_2013_12.pdf --- Article Number: 67"
"HI",2013,"hb0827","HB",827,0,NA,1,0,0,"newsbank","HI-Adv/2013/04/29/1303F18E28037C08_20130429_146099CFB1C93570.xml"
"NC",2013,"hb0829","HB",829,0,NA,1,1,1,"newsbank","NC/2013/10/18/0C9C34A99F5CE700_20131018_14986512663EA640.xml"
"NC",2013,"hb0834","HB",834,0,NA,4,0,0.25,"newsbank","NC/2013/05/15/0C9C34A99F5CE700_20130515_1464EC87244D3E50.xml"
"NC",2013,"hb0842","HB",842,0,NA,1,0,0,"newsbank","NC/2013/05/14/0C9C34A99F5CE700_20130514_1464A949D1B376B0.xml"
"MS",2013,"hb0844","HB",844,0,NA,1,0,0,"newsbank","MS/2013/03/09/0C9C367FBB8A8780_20130309_144ED644846B35D8.xml"
"FL",2013,"hb0845","HB",845,0,NA,2,0,0.5,"lexisnexis","FL_2013_10.pdf --- Article Number: 58"
"MO",2013,"hb0848","HB",848,0,NA,2,0,0,"newsbank","MO/2013/04/03/0C9C364D5DACAA80_20130403_14570A48528C94B8.xml"
"HI",2013,"hb0853","HB",853,0,NA,1,1,0,"newsbank","HI-Adv/2013/02/24/1303F18E28037C08_20130224_144AD74D54ADA3E0.xml"
"NC",2013,"hb0855","HB",855,0,NA,1,0,0,"newsbank","NC/2013/05/16/0C9C34A99F5CE700_20130516_14654486215CCD50.xml"
"HI",2013,"hb0856","HB",856,0,NA,3,0,0,"newsbank","HI-Adv/2013/02/10/1303F18E28037C08_20130210_1446363B9F7A1EE8.xml"
"HI",2013,"hb0858","HB",858,0,NA,3,0,0,"newsbank","HI-Adv/2013/02/25/1303F18E28037C08_20130225_144B7F118B45AE60.xml"
"HI",2013,"hb0862","HB",862,0,NA,1,1,0,"newsbank","HI-Adv/2013/02/24/1303F18E28037C08_20130224_144AD74D54ADA3E0.xml"
"HI",2013,"hb0864","HB",864,0,NA,1,1,0,"newsbank","HI-Adv/2013/02/24/1303F18E28037C08_20130224_144AD74D54ADA3E0.xml"
"HI",2013,"hb0865","HB",865,0,NA,6,0,0.333333333333333,"newsbank","HI-Adv/2013/02/16/1303F18E28037C08_20130216_14488AECD1F26410.xml"
"LA",2013,"hb0865","HB",865,0,NA,1,0,0,"newsbank","LA/2013/08/13/0C9C307698CA2800_20130813_1482A9B6CDB1CC60.xml"
"TX",2013,"hb0866","HB",866,0,NA,5,0,0,"newsbank","TX/2013/05/23/0C9C30CEEF1DD980_20130523_1467E01D5C675108.xml"
"TX",2013,"hb0866","HB",866,1,1,2,0,0,"lexisnexis","TX_2013_s1_1.pdf --- Article Number: 21"
"TX",2013,"hb0866","HB",866,1,2,1,0,0,"lexisnexis","TX_2013_s2_1.pdf --- Article Number: 44"
