Date,State,Bill No,Title,Action
"May 9, 2018",CO,SB 18-272,Establishes School Grants for Suicide-Prevention Training,"Bill Passed
                           - House
                      

                      
                          (53 - 12)"
"May 8, 2018",CO,SB 18-223,Requires Autopsies of Minors to Remain Confidential,"Bill Passed
                           - House
                      

                      
                          (63 - 2)"
"May 7, 2018",CO,SB 18-272,Establishes School Grants for Suicide-Prevention Training,"Bill Passed
                           - Senate
                      

                      
                          (27 - 8)"
"April 27, 2018",CO,HB 18-1403,Expands Disclosure Requirements,"Bill Passed
                           - House
                      

                      
                          (35 - 29)"
"April 26, 2018",CO,SB 18-166,Amends Sentencing Requirements for Certain Crimes,"Bill Passed
                           - House
                      

                      
                          (36 - 29)"
"April 18, 2018",CO,HB 18-1391,Establishes Requirements for Sexual Misconduct Policies,"Bill Passed
                           - House
                      

                      
                          (34 - 28)"
"April 17, 2018",CO,SB 18-083,Establishes Educational Tax Credit System,"Bill Passed
                           - Senate
                      

                      
                          (18 - 17)"
"April 17, 2018",CO,SB 18-220,Prohibits Jurisdictions From Establishing Sanctuary Status,"Bill Passed
                           - Senate
                      

                      
                          (18 - 17)"
"April 10, 2018",CO,SB 18-043,Specifies Rules of Nominee Rejections,"Bill Passed
                           - Senate
                      

                      
                          (18 - 16)"
"April 5, 2018",CO,HB 18-1322,Establishes Budget for Fiscal Year 2018-2019,"Bill Passed
                           - Senate
                      

                      
                          (26 - 8)"
"March 29, 2018",CO,HB 18-1322,Establishes Budget for Fiscal Year 2018-2019,"Bill Passed
                           - House
                      

                      
                          (42 - 22)"
"March 27, 2018",CO,SB 18-200,Amends Public Retirement System Policies,"Bill Passed
                           - Senate
                      

                      
                          (19 - 16)"
"Feb. 2, 2018",CO,HB 18-1033,Expands Employee Leave,"Bill Passed
                           - House
                      

                      
                          (35 - 28)"
