Date,State,Bill No,Title,Action
"May 3, 2019",CO,HB 19-1289,Increases State Consumer Protection Laws,"Concurrence Vote Passed
                           - House
                      

                      
                          (42 - 22)"
"May 3, 2019",CO,HB 19-1298,Prohibits Drivers of Fossil Fuel-Powered Cars and Non-Charging Electric Vehicles to Park in Front of Charging Stat ...,"Concurrence Vote Passed
                           - House
                      

                      
                          (40 - 23)"
"May 3, 2019",CO,HB 19-1318,Amends Campaign Finance Regulations,"Concurrence Vote Passed
                           - House
                      

                      
                          (40 - 24)"
"May 3, 2019",CO,HB 19-1245,Reduces Sales Tax Vendor Fee Allowance and Increases Funding for Affordable Housing,"Concurrence Vote Passed
                           - House
                      

                      
                          (37 - 27)"
"May 3, 2019",CO,HB 19-1168,Establishes a Plan for a State Innovation Waiver Reinsurance Program,"Concurrence Vote Passed
                           - House
                      

                      
                          (45 - 19)"
"May 3, 2019",CO,HB 19-1263,Amends Criminal Classification of Certain Drug Possessions,"Concurrence Vote Passed
                           - House
                      

                      
                          (43 - 20)"
"May 3, 2019",CO,HB 19-1210,Authorizes Local Governments to Establish Their Own Minimum Wage,"Concurrence Vote Passed
                           - House
                      

                      
                          (39 - 25)"
"May 3, 2019",CO,HB 19-1120,Reduces the Age at Which a Child Can Seek Mental Health Treatment Without Parental Consent,"Concurrence Vote Passed
                           - House
                      

                      
                          (40 - 24)"
"May 3, 2019",CO,HB 19-1032,Amends Sex Education Standards,"Bill Passed
                           - Senate
                      

                      
                          (21 - 14)"
"May 3, 2019",CO,HB 19-1263,Amends Criminal Classification of Certain Drug Possessions,"Bill Passed
                           - Senate
                      

                      
                          (20 - 15)"
"May 3, 2019",CO,HB 19-1298,Prohibits Drivers of Fossil Fuel-Powered Cars and Non-Charging Electric Vehicles to Park in Front of Charging Stat ...,"Bill Passed
                           - Senate
                      

                      
                          (20 - 15)"
"May 3, 2019",CO,HB 19-1124,Prohibits Local Law Enforcement from Helping to Enforce Federal Civil Immigration Laws,"Bill Passed
                           - Senate
                      

                      
                          (19 - 16)"
"May 3, 2019",CO,HB 19-1327,Authorizes Sports Betting,"Bill Passed
                           - Senate
                      

                      
                          (27 - 8)"
"May 2, 2019",CO,HB 19-1174,Reduces Surprise Medical Billing,"Concurrence Vote Passed
                           - House
                      

                      
                          (60 - 3)"
"May 2, 2019",CO,SB 19-005,Authorizes the Import of Prescription Drugs from Canada,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (20 - 15)"
"May 2, 2019",CO,HB 19-1230,Authorizes Marijuana Consumption on the Premises of Hospitality Establishments,"Concurrence Vote Passed
                           - House
                      

                      
                          (41 - 22)"
"May 2, 2019",CO,SB 19-005,Authorizes the Import of Prescription Drugs from Canada,"Bill Passed
                           - House
                      

                      
                          (41 - 22)"
"May 2, 2019",CO,HB 19-1289,Increases State Consumer Protection Laws,"Bill Passed
                           - Senate
                      

                      
                          (23 - 12)"
"May 2, 2019",CO,HB 19-1168,Establishes a Plan for a State Innovation Waiver Reinsurance Program,"Bill Passed
                           - Senate
                      

                      
                          (24 - 11)"
"May 2, 2019",CO,HB 19-1210,Authorizes Local Governments to Establish Their Own Minimum Wage,"Bill Passed
                           - Senate
                      

                      
                          (19 - 16)"
"May 2, 2019",CO,HB 19-1245,Reduces Sales Tax Vendor Fee Allowance and Increases Funding for Affordable Housing,"Bill Passed
                           - Senate
                      

                      
                          (23 - 12)"
"May 2, 2019",CO,HB 19-1318,Amends Campaign Finance Regulations,"Bill Passed
                           - Senate
                      

                      
                          (20 - 15)"
"May 2, 2019",CO,SB 19-235,Expands Automatic Voter Registration System,"Bill Passed
                           - House
                      

                      
                          (40 - 23)"
"May 2, 2019",CO,HB 19-1120,Reduces the Age at Which a Child Can Seek Mental Health Treatment Without Parental Consent,"Bill Passed
                           - Senate
                      

                      
                          (21 - 14)"
"May 1, 2019",CO,SB 19-188,Establishes A Task Force Related To Paid-Family-Leave,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (19 - 16)"
"May 1, 2019",CO,HB 19-1261,Authorizes Regulations on Greenhouse Gases,"Concurrence Vote Passed
                           - House
                      

                      
                          (38 - 24)"
"May 1, 2019",CO,HB 19-1230,Authorizes Marijuana Consumption on the Premises of Hospitality Establishments,"Bill Passed
                           - Senate
                      

                      
                          (23 - 12)"
"May 1, 2019",CO,HB 19-1261,Authorizes Regulations on Greenhouse Gases,"Bill Passed
                           - Senate
                      

                      
                          (20 - 15)"
"May 1, 2019",CO,HB 19-1234,Authorizes the Delivery of Marijuana,"Bill Passed
                           - Senate
                      

                      
                          (20 - 14)"
"May 1, 2019",CO,HB 19-1333,"Establishes a Tax on Cigarette, Tobacco, and Nicotine Products","Bill Passed
                           - House
                      

                      
                          (34 - 31)"
"April 30, 2019",CO,HB 19-1216,Limits the Cost of Insulin and Authorizes Insulin-Pricing Study,"Concurrence Vote Passed
                           - House
                      

                      
                          (53 - 12)"
