Date,State,Bill No,Title,Action
"April 21, 2016",CO,HB 1430,Requires Oil and Gas Companies to Provide Certain Information,"Bill Passed
                           - House
                      

                      
                          (34 - 31)"
"March 29, 2016",CO,SB 157,Requires Suspension of Clean Power Plan Implementation,"Bill Passed
                           - Senate
                      

                      
                          (18 - 17)"
"March 28, 2016",CO,HB 1166,Prohibits Employers from Discussing Salary History,"Bill Passed
                           - House
                      

                      
                          (34 - 31)"
"March 28, 2016",CO,HB 1296,Increases Penalties for Unlicensed Car Dealers,"Bill Passed
                           - House
                      

                      
                          (34 - 31)"
"March 24, 2016",CO,HB 1001,Requires State Contractors to Comply with Federal Equal Pay Standards,"Bill Passed
                           - House
                      

                      
                          (34 - 29)"
"March 17, 2016",CO,HB 1210,Prohibits Conversion Therapy for Minors,"Bill Passed
                           - House
                      

                      
                          (35 - 29)"
"March 2, 2016",CO,SB 74,Authorizes Voters to Opt Out of Mail Ballots,"Bill Passed
                           - Senate
                      

                      
                          (18 - 17)"
"March 1, 2016",CO,HB 1231,Limits Use of Automated Vehicle Identification Systems,"Bill Passed
                           - House
                      

                      
                          (33 - 31)"
"Feb. 25, 2016",CO,SB 80,Establishes Regulations for Secured Medical Marijuana Cultivation,"Bill Passed
                           - Senate
                      

                      
                          (19 - 15)"
"Feb. 24, 2016",CO,SB 112,Requires Certain Number of Polling Centers,"Bill Passed
                           - Senate
                      

                      
                          (18 - 17)"
"Feb. 23, 2016",CO,SB 17,Authorizes the Concealed Carry of a Firearm Without a Permit,"Bill Passed
                           - Senate
                      

                      
                          (18 - 17)"
"Feb. 22, 2016",CO,SB 70,Prohibits Employers from Requiring Union Membership,"Bill Passed
                           - Senate
                      

                      
                          (18 - 16)"
"Feb. 9, 2016",CO,HB 1004,Amends Climate Impact Plan,"Bill Passed
                           - House
                      

                      
                          (34 - 31)"
"Feb. 4, 2016",CO,HB 1002,Authorizes Leave for Academic Activities,"Bill Passed
                           - House
                      

                      
                          (35 - 30)"
