Date,State,Bill No,Title,Action
"May 10, 2017",CO,HB 1329,Establishes Requirements for Youth Corrections Centers,(21 - 14)
"May 10, 2017",CO,HB 1329,Establishes Requirements for Youth Corrections Centers,"Nonconcurrence Vote Passed
                           - House
                      

                      
                          (43 - 22)"
"May 9, 2017",CO,HB 1375,Requires School Districts to Develop a Plan to Equitably Distribute Funds,"Bill Passed
                           - House
                      

                      
                          (65 - 0)"
"May 9, 2017",CO,SB 301,Amends Funds and Regulations for Renewable Energy Programs,"Bill Passed
                           - Senate
                      

                      
                          (23 - 12)"
"April 12, 2017",CO,SB 192,Authorizes Transfers of Retail Marijuana to Medical Marijuana Licensees,"Bill Passed
                           - Senate
                      

                      
                          (28 - 7)"
"March 31, 2017",CO,HB 1242,Increases State Sales Tax,"Bill Passed
                           - House
                      

                      
                          (41 - 24)"
