Date,State,Bill No,Title,Action
"May 4, 2015",CO,SB 14,Authorizes Caregivers to Administer Medical Marijuana Treatments to Certain Students on School Property,"Bill Passed
                           - House
                      

                      
                          (51 - 13)"
"May 1, 2015",CO,SB 213,Limits Immunity for Public Schools in Incidents of School Violence,"Bill Passed
                           - House
                      

                      
                          (43 - 21)"
"April 28, 2015",CO,HB 1346,Amends Taxation on Certain Corporate Income,"Bill Passed
                           - House
                      

                      
                          (33 - 31)"
"April 28, 2015",CO,SB 268,"Amends Definition of ""Person"" for Assault and Homicide","Bill Passed
                           - Senate
                      

                      
                          (18 - 17)"
"April 22, 2015",CO,HB 1290,Prohibits a Peace Office from Seizing a Recording Device Without Consent or Warrant,"Bill Passed
                           - House
                      

                      
                          (47 - 16)"
"April 15, 2015",CO,HB 1165,Requires Approval to Use Native American School Mascots,"Bill Passed
                           - House
                      

                      
                          (33 - 32)"
"April 14, 2015",CO,HB 1288,"Amends Law Enforcing ""Profiling"" Regulations","Bill Passed
                           - House
                      

                      
                          (36 - 28)"
"April 2, 2015",CO,HB 1265,Authorizes Gender Changes on Birth Certificates,"Bill Passed
                           - House
                      

                      
                          (40 - 25)"
"March 25, 2015",CO,SB 45,Establishes Tax Credits for Private School Tuition,"Bill Passed
                           - Senate
                      

                      
                          (18 - 17)"
"March 25, 2015",CO,SB 86,Repeals Background Check Requirement for Firearm Transfers,"Bill Passed
                           - Senate
                      

                      
                          (18 - 17)"
"March 23, 2015",CO,HB 1259,Authorizes Collection of Rooftop Precipitation,"Bill Passed
                           - House
                      

                      
                          (45 - 20)"
"March 10, 2015",CO,HB 1175,Prohibits Sexual Orientation Conversion Therapy on Minors,"Bill Passed
                           - House
                      

                      
                          (35 - 29)"
"March 6, 2015",CO,HB 1173,Requires Snow Tires or Chains on Vehicles,"Bill Passed
                           - House
                      

                      
                          (43 - 21)"
"Feb. 24, 2015",CO,SB 93,Requires Compensation for Mineral Rights Owners,"Bill Passed
                           - Senate
                      

                      
                          (18 - 15)"
"Feb. 19, 2015",CO,SB 32,Authorizes Concealed Handguns Without a Permit,"Bill Passed
                           - Senate
                      

                      
                          (18 - 17)"
"Feb. 19, 2015",CO,HB 1144,Prohibits Production and Sale of Products Containing Microbeads,"Bill Passed
                           - House
                      

                      
                          (47 - 18)"
"Feb. 19, 2015",CO,HB 1072,Amends Definition of Harassment,"Bill Passed
                           - House
                      

                      
                          (43 - 22)"
"Feb. 12, 2015",CO,SB 77,Extends Parental Rights in Education and Health Care,"Bill Passed
                           - Senate
                      

                      
                          (18 - 16)"
"Feb. 9, 2015",CO,SB 65,Prohibits Withdrawing Public Assistance Funds at Certain Places,"Bill Passed
                           - Senate
                      

                      
                          (23 - 12)"
"Feb. 2, 2015",CO,HB 1031,Prohibits the Sale of Powdered Alcohol,"Bill Passed
                           - House
                      

                      
                          (46 - 17)"
"Jan. 27, 2015",CO,SB 52,Expands Legislative Oversight of the Colorado Health Benefit Exchange,"Bill Passed
                           - Senate
                      

                      
                          (24 - 11)"
